# comment: None given                          Feff8L (EXAFS)       0.1      
# Source:
# Structure Summary:  Eu1 Ti1 O3
# Reduced formula:  EuTiO3
# space group: (Pm-3m), space number:  (221)
# abc:  3.903878   3.903887   3.903878
# angles: 90.000000  90.000000  90.000000
# sites: 5
# mp-22246
# POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
# Abs   Z=22 Rmt= 1.248 Rnm= 1.365 K  shell
# Pot 1 Z=63 Rmt= 1.790 Rnm= 1.818
# Pot 2 Z= 8 Rmt= 1.038 Rnm= 1.091
# Gam_ch=9.030E-01 H-L exch
# Mu=-5.871E+00 kf=1.993E+00 Vint=-2.101E+01 Rs_int= 1.819
# PATH  Rmax= 6.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000                                        Global_sig2= 0.00000
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00      6.00     2   1.9519
#           2       0.00000     18.61     24.00     3   3.3322
#           3       0.00000     54.93      8.00     2   3.3809
#           4       0.00000     17.29      6.00     3   3.9039
#           5       0.00000     27.78      6.00     4   3.9039
#           6       0.00000     10.27      6.00     4   3.9039
#           8       0.00000     21.69     48.00     3   4.0466
#           9       0.00000     57.56     24.00     2   4.3647
#          10       0.00000     58.21     48.00     3   4.5385
#          11       0.00000      7.25     24.00     4   4.7124
#          12       0.00000     14.73     24.00     4   4.7124
#          13       0.00000      8.01     24.00     4   4.7124
#          14       0.00000     22.91     24.00     4   4.7124
#          16       0.00000     20.73     48.00     3   5.0570
#          17       0.00000     12.08     48.00     3   5.1103
#          18       0.00000     48.78     96.00     3   5.2530
#          20       0.00000      5.10     48.00     5   5.2841
#          21       0.00000     15.75     48.00     5   5.2841
#          22       0.00000     16.89     48.00     5   5.2841
#          25       0.00000      8.79     48.00     4   5.3328
#          26       0.00000     12.27     48.00     4   5.3328
#          27       0.00000      7.76     96.00     4   5.4269
#          28       0.00000     14.11     96.00     4   5.4269
#          29       0.00000     22.88     96.00     4   5.4269
#          30       0.00000     13.41     96.00     3   5.5489
#          31       0.00000      5.19     48.00     4   5.7228
#          32       0.00000      4.95     96.00     4   5.7228
#          33       0.00000      7.58     96.00     4   5.7228
#          34       0.00000      8.60     72.00     3   5.7449
#          35       0.00000     32.55     30.00     2   5.8558
#          37       0.00000     13.88     12.00     3   5.8558
#          39       0.00000      7.38      6.00     4   5.8558
#          40       0.00000      5.94     12.00     6   5.8558
#          42       0.00000     10.09     12.00     5   5.8558
#          43       0.00000      8.04      6.00     6   5.8558
#          44       0.00000      8.85     48.00     3   5.9188
#          45       0.00000      9.30     48.00     4   5.9188
#          46       0.00000     10.11     96.00     4   5.9188
#          47       0.00000      4.12     96.00     4   5.9188
#          48       0.00000     10.90     96.00     4   5.9188
#          49       0.00000     52.91     48.00     3   5.9986
#          50       0.00000      4.52     48.00     4   5.9986
#          51       0.00000      8.44     96.00     4   5.9986
#          52       0.00000      8.02     48.00     5   5.9986
#    44/  48 paths used
#  -----------------------------------------------------------------------
#       k          chi          mag           phase @#
     0.0000   -8.100245E-01  8.100558E-01 -1.561996E+00
     0.0500   -8.117208E-01  8.117581E-01 -1.561222E+00
     0.1000   -8.134606E-01  8.135045E-01 -1.560405E+00
     0.1500   -8.189691E-01  8.190409E-01 -1.557548E+00
     0.2000   -8.248334E-01  8.249460E-01 -1.554277E+00
     0.2500   -8.353938E-01  8.356228E-01 -1.547386E+00
     0.3000   -8.467301E-01  8.471521E-01 -1.539230E+00
     0.3500   -8.636476E-01  8.645598E-01 -1.524855E+00
     0.4000   -8.814010E-01  8.831477E-01 -1.507892E+00
     0.4500   -9.044383E-01  9.080762E-01 -1.481255E+00
     0.5000   -9.272052E-01  9.339466E-01 -1.450573E+00
     0.5500   -9.522031E-01  9.652069E-01 -1.406462E+00
     0.6000   -9.736691E-01  9.962863E-01 -1.357311E+00
     0.6500   -9.904975E-01  1.030141E+00 -1.292470E+00
     0.7000   -9.980808E-01  1.061901E+00 -1.222338E+00
     0.7500   -9.906597E-01  1.092423E+00 -1.135740E+00
     0.8000   -9.669733E-01  1.118467E+00 -1.044259E+00
     0.8500   -9.175703E-01  1.138713E+00 -9.370184E-01
     0.9000   -8.467886E-01  1.152110E+00 -8.256509E-01
     0.9500   -7.446022E-01  1.155598E+00 -7.001647E-01
     1.0000   -6.221417E-01  1.150348E+00 -5.714226E-01
     1.0500   -4.728885E-01  1.132398E+00 -4.308015E-01
     1.1000   -3.136191E-01  1.104693E+00 -2.878560E-01
     1.1500   -1.436698E-01  1.063102E+00 -1.355568E-01
     1.2000    1.818249E-02  1.011854E+00  1.797044E-02
     1.2500    1.678012E-01  9.474124E-01  1.780546E-01
     1.3000    2.897086E-01  8.746102E-01  3.376208E-01
     1.3500    3.790746E-01  7.910568E-01  4.997432E-01
     1.4000    4.289483E-01  7.016717E-01  6.577317E-01
     1.4500    4.389307E-01  6.054537E-01  8.109787E-01
     1.5000    4.127638E-01  5.073276E-01  9.503243E-01
     1.5500    3.570737E-01  4.081703E-01  1.065055E+00
     1.6000    2.840847E-01  3.140584E-01  1.130346E+00
     1.6500    2.057288E-01  2.315003E-01  1.094449E+00
     1.7000    1.360486E-01  1.763305E-01  8.812806E-01
     1.7500    8.623157E-02  1.696143E-01  5.333234E-01
     1.8000    6.441257E-02  2.064745E-01  3.172593E-01
     1.8500    7.453939E-02  2.615373E-01  2.890115E-01
     1.9000    1.139481E-01  3.166791E-01  3.680772E-01
     1.9500    1.770015E-01  3.668164E-01  5.035459E-01
     2.0000    2.523388E-01  4.060952E-01  6.705007E-01
     2.0500    3.306729E-01  4.335776E-01  8.674179E-01
     2.1000    3.921758E-01  4.462828E-01  1.073259E+00
     2.1500    4.258927E-01  4.442924E-01  1.281997E+00
     2.2000    4.269749E-01  4.284174E-01  1.488712E+00
     2.2500    3.857301E-01  3.888340E-01  1.697235E+00
     2.3000    3.225315E-01  3.383469E-01  1.877756E+00
     2.3500    2.556377E-01  2.824586E-01  2.010107E+00
     2.4000    2.022649E-01  2.292272E-01  2.060702E+00
     2.4500    1.944024E-01  2.121010E-01  1.982211E+00
