
======== running Feff module feff8l_genfmt ========
 Calculating EXAFS parameters...
    Curved wave chi amplitude ratio   4.00%
    Discard feff.dat for paths with cw ratio <   2.67%
    path  cw ratio     deg    nleg  reff
      1   100.000     6.000     2   1.9519
      2    18.606    24.000     3   3.3322
      3    54.933     8.000     2   3.3809
      4    17.288     6.000     3   3.9039
      5    27.777     6.000     4   3.9039
      6    10.267     6.000     4   3.9039
      7     2.139    24.000     4   3.9039 neglected
      8    21.687    48.000     3   4.0466
      9    57.556    24.000     2   4.3647
     10    58.215    48.000     3   4.5385
     11     7.252    24.000     4   4.7124
     12    14.729    24.000     4   4.7124
     13     8.008    24.000     4   4.7124
     14    22.908    24.000     4   4.7124
     15     2.192    48.000     4   4.7124 neglected
     16    20.734    48.000     3   5.0570
     17    12.081    48.000     3   5.1103
     18    48.780    96.000     3   5.2530
     19     3.497    48.000     4   5.2841
     20     5.097    48.000     5   5.2841
     21    15.747    48.000     5   5.2841
     22    16.889    48.000     5   5.2841
     23     0.425    96.000     5   5.2841 neglected
     24     1.774    48.000     5   5.2841 neglected
     25     8.792    48.000     4   5.3328
     26    12.265    48.000     4   5.3328
     27     7.763    96.000     4   5.4269
     28    14.105    96.000     4   5.4269
     29    22.875    96.000     4   5.4269
     30    13.405    96.000     3   5.5489
     31     5.186    48.000     4   5.7228
     32     4.955    96.000     4   5.7228
     33     7.582    96.000     4   5.7228
     34     8.595    72.000     3   5.7449
     35    32.551    30.000     2   5.8558
     36     0.557    48.000     6   5.8558 neglected
     37    13.884    12.000     3   5.8558
     38     3.268     6.000     4   5.8558
     39     7.377     6.000     4   5.8558
     40     5.944    12.000     6   5.8558
     41     3.563    12.000     5   5.8558
     42    10.087    12.000     5   5.8558
     43     8.041     6.000     6   5.8558
     44     8.854    48.000     3   5.9188
     45     9.296    48.000     4   5.9188
     46    10.109    96.000     4   5.9188
     47     4.116    96.000     4   5.9188
     48    10.900    96.000     4   5.9188
     49    52.914    48.000     3   5.9986
     50     4.516    48.000     4   5.9986
     51     8.435    96.000     4   5.9986
     52     8.022    48.000     5   5.9986
     53     2.015    48.000     5   5.9986 neglected
     54     3.221    48.000     5   5.9986
   48 paths kept,   54 examined.
 Done with module 5: F_eff.
Note: The following floating-point exceptions are signalling: IEEE_UNDERFLOW_FLAG IEEE_DENORMAL
