PATH  Rmax= 6.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 -----------------------------------------------------------------------
  pathindex     sig2   amp ratio    deg    nlegs  r effective
        1     0.00000   100.000     6.000     2   1.9519
        2     0.00000    18.606    24.000     3   3.3322
        3     0.00000    54.933     8.000     2   3.3809
        4     0.00000    17.288     6.000     3   3.9039
        5     0.00000    27.777     6.000     4   3.9039
        6     0.00000    10.267     6.000     4   3.9039
        8     0.00000    21.687    48.000     3   4.0466
        9     0.00000    57.556    24.000     2   4.3647
       10     0.00000    58.215    48.000     3   4.5385
       11     0.00000     7.252    24.000     4   4.7124
       12     0.00000    14.729    24.000     4   4.7124
       13     0.00000     8.008    24.000     4   4.7124
       14     0.00000    22.908    24.000     4   4.7124
       16     0.00000    20.734    48.000     3   5.0570
       17     0.00000    12.081    48.000     3   5.1103
       18     0.00000    48.780    96.000     3   5.2530
       19     0.00000     3.497    48.000     4   5.2841
       20     0.00000     5.097    48.000     5   5.2841
       21     0.00000    15.747    48.000     5   5.2841
       22     0.00000    16.889    48.000     5   5.2841
       25     0.00000     8.792    48.000     4   5.3328
       26     0.00000    12.265    48.000     4   5.3328
       27     0.00000     7.763    96.000     4   5.4269
       28     0.00000    14.105    96.000     4   5.4269
       29     0.00000    22.875    96.000     4   5.4269
       30     0.00000    13.405    96.000     3   5.5489
       31     0.00000     5.186    48.000     4   5.7228
       32     0.00000     4.955    96.000     4   5.7228
       33     0.00000     7.582    96.000     4   5.7228
       34     0.00000     8.595    72.000     3   5.7449
       35     0.00000    32.551    30.000     2   5.8558
       37     0.00000    13.884    12.000     3   5.8558
       38     0.00000     3.268     6.000     4   5.8558
       39     0.00000     7.377     6.000     4   5.8558
       40     0.00000     5.944    12.000     6   5.8558
       41     0.00000     3.563    12.000     5   5.8558
       42     0.00000    10.087    12.000     5   5.8558
       43     0.00000     8.041     6.000     6   5.8558
       44     0.00000     8.854    48.000     3   5.9188
       45     0.00000     9.296    48.000     4   5.9188
       46     0.00000    10.109    96.000     4   5.9188
       47     0.00000     4.116    96.000     4   5.9188
       48     0.00000    10.900    96.000     4   5.9188
       49     0.00000    52.914    48.000     3   5.9986
       50     0.00000     4.516    48.000     4   5.9986
       51     0.00000     8.435    96.000     4   5.9986
       52     0.00000     8.022    48.000     5   5.9986
       54     0.00000     3.221    48.000     5   5.9986
