# comment: None given                          Feff8L (EXAFS)       0.1      
# Source:
# Structure Summary:  Eu1 Ti1 O3
# Reduced formula:  EuTiO3
# space group: (Pm-3m), space number:  (221)
# abc:  3.903878   3.903887   3.903878
# angles: 90.000000  90.000000  90.000000
# sites: 5
# mp-22246
# POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
# Abs   Z=22 Rmt= 1.248 Rnm= 1.365 K  shell
# Pot 1 Z=63 Rmt= 1.790 Rnm= 1.818
# Pot 2 Z= 8 Rmt= 1.038 Rnm= 1.091
# Gam_ch=9.030E-01 H-L exch
# Mu=-5.871E+00 kf=1.993E+00 Vint=-2.101E+01 Rs_int= 1.819
# PATH  Rmax= 6.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000                                        Global_sig2= 0.00000
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00      6.00     2   1.9519
#           2       0.00000     18.61     24.00     3   3.3322
#           3       0.00000     54.93      8.00     2   3.3809
#           4       0.00000     17.29      6.00     3   3.9039
#           5       0.00000     27.78      6.00     4   3.9039
#           6       0.00000     10.27      6.00     4   3.9039
#           8       0.00000     21.69     48.00     3   4.0466
#           9       0.00000     57.56     24.00     2   4.3647
#          10       0.00000     58.21     48.00     3   4.5385
#          11       0.00000      7.25     24.00     4   4.7124
#          12       0.00000     14.73     24.00     4   4.7124
#          13       0.00000      8.01     24.00     4   4.7124
#          14       0.00000     22.91     24.00     4   4.7124
#          16       0.00000     20.73     48.00     3   5.0570
#          17       0.00000     12.08     48.00     3   5.1103
#          18       0.00000     48.78     96.00     3   5.2530
#          20       0.00000      5.10     48.00     5   5.2841
#          21       0.00000     15.75     48.00     5   5.2841
#          22       0.00000     16.89     48.00     5   5.2841
#          25       0.00000      8.79     48.00     4   5.3328
#          26       0.00000     12.27     48.00     4   5.3328
#          27       0.00000      7.76     96.00     4   5.4269
#          28       0.00000     14.11     96.00     4   5.4269
#          29       0.00000     22.88     96.00     4   5.4269
#          30       0.00000     13.41     96.00     3   5.5489
#          31       0.00000      5.19     48.00     4   5.7228
#          32       0.00000      4.95     96.00     4   5.7228
#          33       0.00000      7.58     96.00     4   5.7228
#          34       0.00000      8.60     72.00     3   5.7449
#          35       0.00000     32.55     30.00     2   5.8558
#          37       0.00000     13.88     12.00     3   5.8558
#          39       0.00000      7.38      6.00     4   5.8558
#          40       0.00000      5.94     12.00     6   5.8558
#          42       0.00000     10.09     12.00     5   5.8558
#          43       0.00000      8.04      6.00     6   5.8558
#          44       0.00000      8.85     48.00     3   5.9188
#          45       0.00000      9.30     48.00     4   5.9188
#          46       0.00000     10.11     96.00     4   5.9188
#          47       0.00000      4.12     96.00     4   5.9188
#          48       0.00000     10.90     96.00     4   5.9188
#          49       0.00000     52.91     48.00     3   5.9986
#          50       0.00000      4.52     48.00     4   5.9986
#          51       0.00000      8.44     96.00     4   5.9986
#          52       0.00000      8.02     48.00     5   5.9986
#    44/  48 paths used
#  xsedge+50, used to normalize mu           4.7468E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
    4969.821     -5.871   0.000 -2.33627E-01  4.03672E-01 -8.10024E-01
    4969.830     -5.862   0.050 -2.24701E-01  4.14361E-01 -8.11721E-01
    4969.859     -5.833   0.100 -2.15811E-01  4.25049E-01 -8.13461E-01
    4969.907     -5.785   0.150 -1.90684E-01  4.55803E-01 -8.18969E-01
    4969.973     -5.719   0.200 -1.65856E-01  4.86556E-01 -8.24833E-01
    4970.059     -5.633   0.250 -1.34593E-01  5.28329E-01 -8.35394E-01
    4970.164     -5.528   0.300 -1.04002E-01  5.70103E-01 -8.46730E-01
    4970.288     -5.404   0.350 -8.28033E-02  6.07828E-01 -8.63648E-01
    4970.431     -5.261   0.400 -6.23959E-02  6.45553E-01 -8.81401E-01
    4970.592     -5.100   0.450 -5.72358E-02  6.73222E-01 -9.04438E-01
    4970.773     -4.919   0.500 -5.20603E-02  7.00891E-01 -9.27205E-01
    4970.973     -4.719   0.550 -5.74756E-02  7.20751E-01 -9.52203E-01
    4971.193     -4.499   0.600 -6.02471E-02  7.40611E-01 -9.73669E-01
    4971.431     -4.261   0.650 -6.47574E-02  7.55804E-01 -9.90498E-01
    4971.688     -4.004   0.700 -6.17531E-02  7.70996E-01 -9.98081E-01
    4971.964     -3.728   0.750 -4.94424E-02  7.83544E-01 -9.90660E-01
    4972.259     -3.433   0.800 -2.32534E-02  7.96093E-01 -9.66973E-01
    4972.574     -3.118   0.850  2.32638E-02  8.07111E-01 -9.17570E-01
    4972.907     -2.785   0.900  8.88774E-02  8.18130E-01 -8.46789E-01
    4973.259     -2.433   0.950  1.81561E-01  8.28201E-01 -7.44602E-01
    4973.631     -2.061   1.000  2.93478E-01  8.38273E-01 -6.22142E-01
    4974.021     -1.671   1.050  4.30087E-01  8.47684E-01 -4.72888E-01
    4974.431     -1.261   1.100  5.77825E-01  8.57095E-01 -3.13619E-01
    4974.860     -0.832   1.150  7.36969E-01  8.65968E-01 -1.43670E-01
    4975.307     -0.385   1.200  8.91303E-01  8.74842E-01  1.81825E-02
    4975.774      0.082   1.250  1.03634E+00  8.83207E-01  1.67801E-01
    4976.260      0.568   1.300  1.15807E+00  8.91572E-01  2.89709E-01
    4976.765      1.073   1.350  1.25076E+00  8.99408E-01  3.79075E-01
    4977.289      1.597   1.400  1.30783E+00  9.07244E-01  4.28948E-01
    4977.831      2.139   1.450  1.32731E+00  9.14501E-01  4.38931E-01
    4978.393      2.701   1.500  1.31268E+00  9.21759E-01  4.12764E-01
    4978.974      3.282   1.550  1.26872E+00  9.28378E-01  3.57074E-01
    4979.575      3.883   1.600  1.20749E+00  9.34998E-01  2.84085E-01
    4980.194      4.502   1.650  1.13937E+00  9.40922E-01  2.05729E-01
    4980.832      5.140   1.700  1.07882E+00  9.46845E-01  1.36049E-01
    4981.489      5.797   1.750  1.03607E+00  9.52018E-01  8.62316E-02
    4982.165      6.473   1.800  1.02028E+00  9.57192E-01  6.44126E-02
    4982.861      7.169   1.850  1.03486E+00  9.61570E-01  7.45394E-02
    4983.575      7.883   1.900  1.07844E+00  9.65948E-01  1.13948E-01
    4984.308      8.616   1.950  1.14475E+00  9.69475E-01  1.77002E-01
    4985.061      9.369   2.000  1.22364E+00  9.73002E-01  2.52339E-01
    4985.832     10.140   2.050  1.30432E+00  9.75285E-01  3.30673E-01
    4986.623     10.931   2.100  1.36850E+00  9.77567E-01  3.92176E-01
    4987.433     11.741   2.150  1.40515E+00  9.79850E-01  4.25893E-01
    4988.261     12.569   2.200  1.40927E+00  9.82132E-01  4.26975E-01
    4989.109     13.417   2.250  1.36869E+00  9.82997E-01  3.85730E-01
    4989.976     14.284   2.300  1.30621E+00  9.83862E-01  3.22531E-01
    4990.862     15.170   2.350  1.24010E+00  9.84727E-01  2.55638E-01
    4991.766     16.074   2.400  1.18756E+00  9.85593E-01  2.02265E-01
    4992.690     16.998   2.450  1.18109E+00  9.87257E-01  1.94402E-01
    4993.633     17.941   2.500  1.19787E+00  9.88922E-01  2.09868E-01
    4994.595     18.903   2.550  1.22926E+00  9.90587E-01  2.40074E-01
    4995.576     19.884   2.600  1.26251E+00  9.92252E-01  2.72235E-01
    4996.577     20.885   2.650  1.26316E+00  9.90788E-01  2.74248E-01
    4997.596     21.904   2.700  1.24998E+00  9.89324E-01  2.62349E-01
    4998.634     22.942   2.750  1.22137E+00  9.87860E-01  2.34922E-01
    4999.691     23.999   2.800  1.17750E+00  9.86397E-01  1.92183E-01
    5000.768     25.076   2.850  1.12764E+00  9.86563E-01  1.41671E-01
    5001.863     26.171   2.900  1.06645E+00  9.86729E-01  7.99411E-02
    5002.977     27.285   2.950  9.97283E-01  9.86896E-01  1.04006E-02
    5004.111     28.419   3.000  9.24277E-01  9.87062E-01 -6.27762E-02
    5005.263     29.571   3.050  8.52142E-01  9.86970E-01 -1.34737E-01
    5006.435     30.743   3.100  7.85376E-01  9.86879E-01 -2.01256E-01
