# comment: None given                          Feff8L (EXAFS)       0.1      
# Source:
# Structure Summary:  Fe4
# Reduced formula:  Fe
# space group: (P2_1/m), space number:  (11)
# abc:  2.415373   4.273093   4.717366
# angles: 90.002423  90.156211  89.902685
# sites: 4
# mp-1271198
# POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
# Abs   Z=26 Rmt= 1.361 Rnm= 1.409 K  shell
# Pot 1 Z=26 Rmt= 1.370 Rnm= 1.419
# Gam_ch=1.309E+00 H-L exch
# Mu=-1.151E+01 kf=2.016E+00 Vint=-2.699E+01 Rs_int= 1.799
# PATH  Rmax= 6.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000                                        Global_sig2= 0.00000
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00      2.00     2   2.4154
#           2       0.00000     93.94      2.00     2   2.4888
#           3       0.00000     82.48      2.00     2   2.6470
#           4       0.00000     82.10      2.00     2   2.6528
#           5       0.00000     40.22      1.00     2   2.6783
#           6       0.00000     40.11      1.00     2   2.6817
#           7       0.00000     40.06      1.00     2   2.6833
#           8       0.00000     39.96      1.00     2   2.6865
#           9       0.00000     22.75      1.00     2   3.4574
#          10       0.00000     22.68      1.00     2   3.4624
#          11       0.00000     22.50      1.00     2   3.4738
#          12       0.00000     22.42      1.00     2   3.4789
#          13       0.00000      4.28      4.00     3   3.8575
#          14       0.00000      6.59      4.00     3   3.8576
#          15       0.00000     31.04      2.00     2   4.0505
#          16       0.00000     27.14      2.00     2   4.2731
#          17       0.00000     26.43      2.00     2   4.3179
#          18       0.00000     26.26      2.00     2   4.3286
#          19       0.00000     13.08      1.00     2   4.3356
#          20       0.00000     13.03      1.00     2   4.3417
#          21       0.00000     13.01      1.00     2   4.3447
#          22       0.00000     12.96      1.00     2   4.3508
#          23       0.00000     12.74      1.00     2   4.3798
#          24       0.00000     12.73      1.00     2   4.3816
#          25       0.00000     12.67      1.00     2   4.3897
#          26       0.00000     12.65      1.00     2   4.3919
#          27       0.00000      4.85      4.00     3   4.6901
#          28       0.00000      6.07      4.00     3   4.6900
#          29       0.00000      6.08      4.00     3   4.6900
#          30       0.00000      6.08      4.00     3   4.6984
#          31       0.00000      6.09      4.00     3   4.6984
#          32       0.00000     10.54      1.00     2   4.7136
#          33       0.00000     10.53      1.00     2   4.7145
#          34       0.00000     31.55      3.00     2   4.7174
#          35       0.00000     10.51      1.00     2   4.7184
#          36       0.00000     19.76      2.00     2   4.8307
#          37       0.00000      9.79      2.00     3   4.8307
#          38       0.00000     56.40      4.00     3   4.8307
#          39       0.00000     12.50      2.00     4   4.8307
#          40       0.00000      4.93      2.00     4   4.8307
#          41       0.00000     48.26      2.00     4   4.8307
#          42       0.00000     18.98      2.00     2   4.9049
#          43       0.00000     18.91      2.00     2   4.9121
#          44       0.00000      4.28      2.00     4   4.9774
#          45       0.00000      6.88      4.00     3   5.0085
#          46       0.00000      6.88      4.00     3   5.0086
#          47       0.00000     17.81      2.00     2   5.0248
#          48       0.00000     35.55      4.00     2   5.0278
#          49       0.00000     17.74      2.00     2   5.0314
#          50       0.00000      5.92      2.00     3   5.0974
#          51       0.00000      8.47      2.00     3   5.0974
#          52       0.00000      8.30      2.00     3   5.0973
#          53       0.00000      5.81      2.00     3   5.0985
#          54       0.00000      8.01      2.00     3   5.0984
#          55       0.00000      7.84      2.00     3   5.0984
#          56       0.00000      5.91      2.00     3   5.1010
#          57       0.00000      8.47      2.00     3   5.1009
#          58       0.00000      8.29      2.00     3   5.1008
#          59       0.00000      5.80      2.00     3   5.1017
#          60       0.00000      8.01      2.00     3   5.1016
#          61       0.00000      7.84      2.00     3   5.1016
#          80       0.00000     15.48      2.00     2   5.2939
#          81       0.00000      7.07      2.00     3   5.2939
#          82       0.00000     41.31      4.00     3   5.2939
#          83       0.00000      8.33      2.00     4   5.2939
#          85       0.00000     32.87      2.00     4   5.2939
#          86       0.00000     15.39      2.00     2   5.3056
#          87       0.00000      7.01      2.00     3   5.3056
#          88       0.00000     41.00      4.00     3   5.3056
#          89       0.00000      8.25      2.00     4   5.3056
#          91       0.00000     32.56      2.00     4   5.3056
#          92       0.00000      7.26      1.00     2   5.4204
#          93       0.00000      7.24      1.00     2   5.4268
#          94       0.00000      7.18      1.00     2   5.4414
#          95       0.00000      7.16      1.00     2   5.4479
#          96       0.00000      6.82      1.00     2   5.5448
#          97       0.00000      6.81      1.00     2   5.5494
#          98       0.00000      6.74      1.00     2   5.5685
#          99       0.00000      6.73      1.00     2   5.5734
#    79/  99 paths used
#  -----------------------------------------------------------------------
#       k          chi          mag           phase @#
     0.0000   -3.971678E-01  4.228182E-01 -1.220685E+00
     0.0500   -3.958945E-01  4.222535E-01 -1.215592E+00
     0.1000   -3.946103E-01  4.216877E-01 -1.210488E+00
     0.1500   -3.907370E-01  4.200209E-01 -1.195175E+00
     0.2000   -3.867666E-01  4.183435E-01 -1.179772E+00
     0.2500   -3.800701E-01  4.156131E-01 -1.154223E+00
     0.3000   -3.731105E-01  4.128501E-01 -1.128435E+00
     0.3500   -3.631957E-01  4.091223E-01 -1.092420E+00
     0.4000   -3.527841E-01  4.053234E-01 -1.055967E+00
     0.4500   -3.391346E-01  4.006417E-01 -1.009336E+00
     0.5000   -3.247233E-01  3.958302E-01 -9.620404E-01
     0.5500   -3.067669E-01  3.902116E-01 -9.045632E-01
     0.6000   -2.878125E-01  3.843831E-01 -8.461962E-01
     0.6500   -2.650634E-01  3.777981E-01 -7.776413E-01
     0.7000   -2.412061E-01  3.709043E-01 -7.080043E-01
     0.7500   -2.134872E-01  3.632723E-01 -6.281862E-01
     0.8000   -1.848083E-01  3.552216E-01 -5.471577E-01
     0.8500   -1.525465E-01  3.464206E-01 -4.559890E-01
     0.9000   -1.198772E-01  3.370925E-01 -3.635785E-01
     0.9500   -8.442077E-02  3.269828E-01 -2.611390E-01
     1.0000   -4.962275E-02  3.162563E-01 -1.575578E-01
     1.0500   -1.345172E-02  3.047189E-01 -4.415904E-02
     1.1000    2.049026E-02  2.925138E-01  7.010630E-02
     1.1500    5.384949E-02  2.795411E-01  1.938471E-01
     1.2000    8.312402E-02  2.659078E-01  3.179339E-01
     1.2500    1.095665E-01  2.514767E-01  4.508075E-01
     1.3000    1.302203E-01  2.364728E-01  5.831758E-01
     1.3500    1.461894E-01  2.208476E-01  7.234134E-01
     1.4000    1.554619E-01  2.048307E-01  8.617412E-01
     1.4500    1.592093E-01  1.884408E-01  1.006335E+00
     1.5000    1.567130E-01  1.719475E-01  1.146675E+00
     1.5500    1.493900E-01  1.554516E-01  1.290620E+00
     1.6000    1.378154E-01  1.392669E-01  1.426292E+00
     1.6500    1.236178E-01  1.236239E-01  1.560937E+00
     1.7000    1.082138E-01  1.088685E-01  1.680525E+00
     1.7500    9.309818E-02  9.541743E-02  1.791728E+00
     1.8000    7.970905E-02  8.364212E-02  1.878679E+00
     1.8500    6.883275E-02  7.414731E-02  1.951713E+00
     1.9000    6.108632E-02  6.717112E-02  1.999721E+00
     1.9500    5.604367E-02  6.315615E-02  2.049956E+00
     2.0000    5.314564E-02  6.164008E-02  2.102010E+00
     2.0500    5.015706E-02  6.255886E-02  2.211362E+00
     2.1000    4.618949E-02  6.464613E-02  2.345687E+00
     2.1500    3.989560E-02  6.725691E-02  2.506587E+00
     2.2000    3.037758E-02  6.984418E-02  2.691628E+00
     2.2500    1.351016E-02  7.219833E-02  2.953357E+00
     2.3000   -6.549314E-03  7.368670E-02  3.230591E+00
     2.3500   -2.737434E-02  7.411723E-02  3.519890E+00
     2.4000   -4.596564E-02  7.337397E-02  3.818592E+00
     2.4500   -6.161064E-02  7.375733E-02  4.130299E+00
     2.5000   -7.052373E-02  7.322364E-02  4.439989E+00
     2.5500   -7.179984E-02  7.184269E-02  4.746927E+00
     2.6000   -6.575923E-02  6.970118E-02  5.050313E+00
     2.6500   -5.823345E-02  7.108102E-02  5.323076E+00
     2.7000   -4.584708E-02  7.219275E-02  5.595093E+00
     2.7500   -2.958770E-02  7.302882E-02  5.866041E+00
     2.8000   -1.082476E-02  7.359213E-02  6.135558E+00
     2.8500    8.279975E-03  7.662423E-02  6.391456E+00
     2.9000    2.819674E-02  7.939145E-02  6.646271E+00
     2.9500    4.736305E-02  8.188630E-02  6.899951E+00
     3.0000    6.424226E-02  8.410545E-02  7.152412E+00
     3.0500    7.816732E-02  8.747804E-02  7.388410E+00
     3.1000    8.819193E-02  9.057972E-02  7.623860E+00
     3.1500    9.341136E-02  9.341239E-02  7.858688E+00
     3.2000    9.325554E-02  9.598120E-02  8.092868E+00
     3.2500    8.811395E-02  9.872563E-02  8.321891E+00
     3.3000    7.762939E-02  1.012205E-01  8.550729E+00
     3.3500    6.223599E-02  1.034698E-01  8.779414E+00
     3.4000    4.269539E-02  1.054756E-01  9.008030E+00
     3.4500    2.035613E-02  1.073511E-01  9.234001E+00
     3.5000   -3.871231E-03  1.089817E-01  9.460307E+00
     3.5500   -2.861613E-02  1.103538E-01  9.687088E+00
     3.6000   -5.241910E-02  1.114450E-01  9.914475E+00
     3.6500   -7.363978E-02  1.119342E-01  1.014278E+01
     3.7000   -9.098945E-02  1.121004E-01  1.037180E+01
     3.7500   -1.033295E-01  1.119065E-01  1.060151E+01
     3.8000   -1.098226E-01  1.113115E-01  1.083183E+01
