PATH  Rmax= 6.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 -----------------------------------------------------------------------
  pathindex     sig2   amp ratio    deg    nlegs  r effective
        1     0.00000   100.000     2.000     2   2.4154
        2     0.00000    93.940     2.000     2   2.4888
        3     0.00000    82.483     2.000     2   2.6470
        4     0.00000    82.098     2.000     2   2.6528
        5     0.00000    40.221     1.000     2   2.6783
        6     0.00000    40.115     1.000     2   2.6817
        7     0.00000    40.063     1.000     2   2.6833
        8     0.00000    39.961     1.000     2   2.6865
        9     0.00000    22.753     1.000     2   3.4574
       10     0.00000    22.676     1.000     2   3.4624
       11     0.00000    22.502     1.000     2   3.4738
       12     0.00000    22.424     1.000     2   3.4789
       13     0.00000     4.279     4.000     3   3.8575
       14     0.00000     6.594     4.000     3   3.8576
       15     0.00000    31.042     2.000     2   4.0505
       16     0.00000    27.139     2.000     2   4.2731
       17     0.00000    26.431     2.000     2   4.3179
       18     0.00000    26.264     2.000     2   4.3286
       19     0.00000    13.078     1.000     2   4.3356
       20     0.00000    13.031     1.000     2   4.3417
       21     0.00000    13.008     1.000     2   4.3447
       22     0.00000    12.962     1.000     2   4.3508
       23     0.00000    12.744     1.000     2   4.3798
       24     0.00000    12.731     1.000     2   4.3816
       25     0.00000    12.671     1.000     2   4.3897
       26     0.00000    12.655     1.000     2   4.3919
       27     0.00000     4.847     4.000     3   4.6901
       28     0.00000     6.065     4.000     3   4.6900
       29     0.00000     6.084     4.000     3   4.6900
       30     0.00000     6.077     4.000     3   4.6984
       31     0.00000     6.093     4.000     3   4.6984
       32     0.00000    10.540     1.000     2   4.7136
       33     0.00000    10.534     1.000     2   4.7145
       34     0.00000    31.554     3.000     2   4.7174
       35     0.00000    10.512     1.000     2   4.7184
       36     0.00000    19.764     2.000     2   4.8307
       37     0.00000     9.789     2.000     3   4.8307
       38     0.00000    56.401     4.000     3   4.8307
       39     0.00000    12.500     2.000     4   4.8307
       40     0.00000     4.927     2.000     4   4.8307
       41     0.00000    48.255     2.000     4   4.8307
       42     0.00000    18.985     2.000     2   4.9049
       43     0.00000    18.912     2.000     2   4.9121
       44     0.00000     4.275     2.000     4   4.9774
       45     0.00000     6.877     4.000     3   5.0085
       46     0.00000     6.880     4.000     3   5.0086
       47     0.00000    17.805     2.000     2   5.0248
       48     0.00000    35.554     4.000     2   5.0278
       49     0.00000    17.743     2.000     2   5.0314
       50     0.00000     5.918     2.000     3   5.0974
       51     0.00000     8.471     2.000     3   5.0974
       52     0.00000     8.298     2.000     3   5.0973
       53     0.00000     5.810     2.000     3   5.0985
       54     0.00000     8.011     2.000     3   5.0984
       55     0.00000     7.843     2.000     3   5.0984
       56     0.00000     5.907     2.000     3   5.1010
       57     0.00000     8.468     2.000     3   5.1009
       58     0.00000     8.292     2.000     3   5.1008
       59     0.00000     5.802     2.000     3   5.1017
       60     0.00000     8.009     2.000     3   5.1016
       61     0.00000     7.838     2.000     3   5.1016
       62     0.00000     3.028     2.000     3   5.1333
       63     0.00000     3.854     2.000     3   5.1333
       64     0.00000     3.857     2.000     3   5.1333
       65     0.00000     3.020     2.000     3   5.1401
       66     0.00000     3.838     2.000     3   5.1401
       67     0.00000     3.841     2.000     3   5.1401
       68     0.00000     3.217     2.000     4   5.1670
       71     0.00000     3.215     2.000     4   5.1705
       74     0.00000     2.997     2.000     4   5.1721
       77     0.00000     2.996     2.000     4   5.1752
       80     0.00000    15.478     2.000     2   5.2939
       81     0.00000     7.071     2.000     3   5.2939
       82     0.00000    41.311     4.000     3   5.2939
       83     0.00000     8.332     2.000     4   5.2939
       84     0.00000     3.196     2.000     4   5.2940
       85     0.00000    32.869     2.000     4   5.2939
       86     0.00000    15.385     2.000     2   5.3056
       87     0.00000     7.015     2.000     3   5.3056
       88     0.00000    40.997     4.000     3   5.3056
       89     0.00000     8.250     2.000     4   5.3056
       90     0.00000     3.163     2.000     4   5.3057
       91     0.00000    32.565     2.000     4   5.3056
       92     0.00000     7.258     1.000     2   5.4204
       93     0.00000     7.235     1.000     2   5.4268
       94     0.00000     7.182     1.000     2   5.4414
       95     0.00000     7.159     1.000     2   5.4479
       96     0.00000     6.822     1.000     2   5.5448
       97     0.00000     6.807     1.000     2   5.5494
       98     0.00000     6.743     1.000     2   5.5685
       99     0.00000     6.727     1.000     2   5.5734
      100     0.00000     2.692     2.000     3   5.6466
      101     0.00000     2.997     2.000     3   5.6466
      102     0.00000     2.687     2.000     3   5.6523
      103     0.00000     2.992     2.000     3   5.6523
      104     0.00000     2.676     2.000     3   5.6653
      105     0.00000     2.979     2.000     3   5.6653
      106     0.00000     2.670     2.000     3   5.6711
      107     0.00000     2.974     2.000     3   5.6711
