 Calculating EXAFS parameters...
    Curved wave chi amplitude ratio   4.00%
    Discard feff.dat for paths with cw ratio <   2.67%
    path  cw ratio     deg    nleg  reff
      1   100.000     2.000     2   2.4154
      2    93.940     2.000     2   2.4888
      3    82.483     2.000     2   2.6470
      4    82.098     2.000     2   2.6528
      5    40.221     1.000     2   2.6783
      6    40.115     1.000     2   2.6817
      7    40.063     1.000     2   2.6833
      8    39.961     1.000     2   2.6865
      9    22.753     1.000     2   3.4574
     10    22.676     1.000     2   3.4624
     11    22.502     1.000     2   3.4738
     12    22.424     1.000     2   3.4789
     13     4.279     4.000     3   3.8575
     14     6.594     4.000     3   3.8576
     15    31.042     2.000     2   4.0505
     16    27.139     2.000     2   4.2731
     17    26.431     2.000     2   4.3179
     18    26.264     2.000     2   4.3286
     19    13.078     1.000     2   4.3356
     20    13.031     1.000     2   4.3417
     21    13.008     1.000     2   4.3447
     22    12.962     1.000     2   4.3508
     23    12.744     1.000     2   4.3798
     24    12.731     1.000     2   4.3816
     25    12.671     1.000     2   4.3897
     26    12.655     1.000     2   4.3919
     27     4.847     4.000     3   4.6901
     28     6.065     4.000     3   4.6900
     29     6.084     4.000     3   4.6900
     30     6.077     4.000     3   4.6984
     31     6.093     4.000     3   4.6984
     32    10.540     1.000     2   4.7136
     33    10.534     1.000     2   4.7145
     34    31.554     3.000     2   4.7174
     35    10.512     1.000     2   4.7184
     36    19.764     2.000     2   4.8307
     37     9.789     2.000     3   4.8307
     38    56.401     4.000     3   4.8307
     39    12.500     2.000     4   4.8307
     40     4.927     2.000     4   4.8307
     41    48.255     2.000     4   4.8307
     42    18.985     2.000     2   4.9049
     43    18.912     2.000     2   4.9121
     44     4.275     2.000     4   4.9774
     45     6.877     4.000     3   5.0085
     46     6.880     4.000     3   5.0086
     47    17.805     2.000     2   5.0248
     48    35.554     4.000     2   5.0278
     49    17.743     2.000     2   5.0314
     50     5.918     2.000     3   5.0974
     51     8.471     2.000     3   5.0974
     52     8.298     2.000     3   5.0973
     53     5.810     2.000     3   5.0985
     54     8.011     2.000     3   5.0984
     55     7.843     2.000     3   5.0984
     56     5.907     2.000     3   5.1010
     57     8.468     2.000     3   5.1009
     58     8.292     2.000     3   5.1008
     59     5.802     2.000     3   5.1017
     60     8.009     2.000     3   5.1016
     61     7.838     2.000     3   5.1016
     62     3.028     2.000     3   5.1333
     63     3.854     2.000     3   5.1333
     64     3.857     2.000     3   5.1333
     65     3.020     2.000     3   5.1401
     66     3.838     2.000     3   5.1401
     67     3.841     2.000     3   5.1401
     68     3.217     2.000     4   5.1670
     69     2.084     1.000     4   5.1669 neglected
     70     2.086     1.000     4   5.1669 neglected
     71     3.215     2.000     4   5.1705
     72     2.086     1.000     4   5.1704 neglected
     73     2.088     1.000     4   5.1703 neglected
     74     2.997     2.000     4   5.1721
     75     1.869     1.000     4   5.1720 neglected
     76     1.885     1.000     4   5.1719 neglected
     77     2.996     2.000     4   5.1752
     78     1.871     1.000     4   5.1751 neglected
     79     1.886     1.000     4   5.1750 neglected
     80    15.478     2.000     2   5.2939
     81     7.071     2.000     3   5.2939
     82    41.311     4.000     3   5.2939
     83     8.332     2.000     4   5.2939
     84     3.196     2.000     4   5.2940
     85    32.869     2.000     4   5.2939
     86    15.385     2.000     2   5.3056
     87     7.015     2.000     3   5.3056
     88    40.997     4.000     3   5.3056
     89     8.250     2.000     4   5.3056
     90     3.163     2.000     4   5.3057
     91    32.565     2.000     4   5.3056
     92     7.258     1.000     2   5.4204
     93     7.235     1.000     2   5.4268
     94     7.182     1.000     2   5.4414
     95     7.159     1.000     2   5.4479
     96     6.822     1.000     2   5.5448
     97     6.807     1.000     2   5.5494
     98     6.743     1.000     2   5.5685
     99     6.727     1.000     2   5.5734
    100     2.692     2.000     3   5.6466
    101     2.997     2.000     3   5.6466
    102     2.687     2.000     3   5.6523
    103     2.992     2.000     3   5.6523
    104     2.676     2.000     3   5.6653
    105     2.979     2.000     3   5.6653
    106     2.670     2.000     3   5.6711
    107     2.974     2.000     3   5.6711
   99 paths kept,  107 examined.
 Done with module 5: F_eff.
