# comment: None given                          Feff8L (EXAFS)       0.1      
# Source:
# Structure Summary:  Fe4
# Reduced formula:  Fe
# space group: (P2_1/m), space number:  (11)
# abc:  2.415373   4.273093   4.717366
# angles: 90.002423  90.156211  89.902685
# sites: 4
# mp-1271198
# POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
# Abs   Z=26 Rmt= 1.361 Rnm= 1.409 K  shell
# Pot 1 Z=26 Rmt= 1.370 Rnm= 1.419
# Gam_ch=1.309E+00 H-L exch
# Mu=-1.151E+01 kf=2.016E+00 Vint=-2.699E+01 Rs_int= 1.799
# PATH  Rmax= 6.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000                                        Global_sig2= 0.00000
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00      2.00     2   2.4154
#           2       0.00000     93.94      2.00     2   2.4888
#           3       0.00000     82.48      2.00     2   2.6470
#           4       0.00000     82.10      2.00     2   2.6528
#           5       0.00000     40.22      1.00     2   2.6783
#           6       0.00000     40.11      1.00     2   2.6817
#           7       0.00000     40.06      1.00     2   2.6833
#           8       0.00000     39.96      1.00     2   2.6865
#           9       0.00000     22.75      1.00     2   3.4574
#          10       0.00000     22.68      1.00     2   3.4624
#          11       0.00000     22.50      1.00     2   3.4738
#          12       0.00000     22.42      1.00     2   3.4789
#          13       0.00000      4.28      4.00     3   3.8575
#          14       0.00000      6.59      4.00     3   3.8576
#          15       0.00000     31.04      2.00     2   4.0505
#          16       0.00000     27.14      2.00     2   4.2731
#          17       0.00000     26.43      2.00     2   4.3179
#          18       0.00000     26.26      2.00     2   4.3286
#          19       0.00000     13.08      1.00     2   4.3356
#          20       0.00000     13.03      1.00     2   4.3417
#          21       0.00000     13.01      1.00     2   4.3447
#          22       0.00000     12.96      1.00     2   4.3508
#          23       0.00000     12.74      1.00     2   4.3798
#          24       0.00000     12.73      1.00     2   4.3816
#          25       0.00000     12.67      1.00     2   4.3897
#          26       0.00000     12.65      1.00     2   4.3919
#          27       0.00000      4.85      4.00     3   4.6901
#          28       0.00000      6.07      4.00     3   4.6900
#          29       0.00000      6.08      4.00     3   4.6900
#          30       0.00000      6.08      4.00     3   4.6984
#          31       0.00000      6.09      4.00     3   4.6984
#          32       0.00000     10.54      1.00     2   4.7136
#          33       0.00000     10.53      1.00     2   4.7145
#          34       0.00000     31.55      3.00     2   4.7174
#          35       0.00000     10.51      1.00     2   4.7184
#          36       0.00000     19.76      2.00     2   4.8307
#          37       0.00000      9.79      2.00     3   4.8307
#          38       0.00000     56.40      4.00     3   4.8307
#          39       0.00000     12.50      2.00     4   4.8307
#          40       0.00000      4.93      2.00     4   4.8307
#          41       0.00000     48.26      2.00     4   4.8307
#          42       0.00000     18.98      2.00     2   4.9049
#          43       0.00000     18.91      2.00     2   4.9121
#          44       0.00000      4.28      2.00     4   4.9774
#          45       0.00000      6.88      4.00     3   5.0085
#          46       0.00000      6.88      4.00     3   5.0086
#          47       0.00000     17.81      2.00     2   5.0248
#          48       0.00000     35.55      4.00     2   5.0278
#          49       0.00000     17.74      2.00     2   5.0314
#          50       0.00000      5.92      2.00     3   5.0974
#          51       0.00000      8.47      2.00     3   5.0974
#          52       0.00000      8.30      2.00     3   5.0973
#          53       0.00000      5.81      2.00     3   5.0985
#          54       0.00000      8.01      2.00     3   5.0984
#          55       0.00000      7.84      2.00     3   5.0984
#          56       0.00000      5.91      2.00     3   5.1010
#          57       0.00000      8.47      2.00     3   5.1009
#          58       0.00000      8.29      2.00     3   5.1008
#          59       0.00000      5.80      2.00     3   5.1017
#          60       0.00000      8.01      2.00     3   5.1016
#          61       0.00000      7.84      2.00     3   5.1016
#          80       0.00000     15.48      2.00     2   5.2939
#          81       0.00000      7.07      2.00     3   5.2939
#          82       0.00000     41.31      4.00     3   5.2939
#          83       0.00000      8.33      2.00     4   5.2939
#          85       0.00000     32.87      2.00     4   5.2939
#          86       0.00000     15.39      2.00     2   5.3056
#          87       0.00000      7.01      2.00     3   5.3056
#          88       0.00000     41.00      4.00     3   5.3056
#          89       0.00000      8.25      2.00     4   5.3056
#          91       0.00000     32.56      2.00     4   5.3056
#          92       0.00000      7.26      1.00     2   5.4204
#          93       0.00000      7.24      1.00     2   5.4268
#          94       0.00000      7.18      1.00     2   5.4414
#          95       0.00000      7.16      1.00     2   5.4479
#          96       0.00000      6.82      1.00     2   5.5448
#          97       0.00000      6.81      1.00     2   5.5494
#          98       0.00000      6.74      1.00     2   5.5685
#          99       0.00000      6.73      1.00     2   5.5734
#    79/  99 paths used
#  xsedge+50, used to normalize mu           3.2077E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
    7120.921    -11.506   0.000  9.63937E-02  4.00251E-01 -3.97168E-01
    7120.931    -11.496   0.050  1.04460E-01  4.07555E-01 -3.95895E-01
    7120.959    -11.467   0.100  1.12537E-01  4.14859E-01 -3.94610E-01
    7121.007    -11.420   0.150  1.36389E-01  4.36366E-01 -3.90737E-01
    7121.074    -11.353   0.200  1.60328E-01  4.57872E-01 -3.86767E-01
    7121.159    -11.267   0.250  1.96781E-01  4.90167E-01 -3.80070E-01
    7121.264    -11.163   0.300  2.33473E-01  5.22462E-01 -3.73111E-01
    7121.388    -11.039   0.350  2.74624E-01  5.57233E-01 -3.63196E-01
    7121.531    -10.896   0.400  3.16235E-01  5.92005E-01 -3.52784E-01
    7121.693    -10.734   0.450  3.55190E-01  6.21805E-01 -3.39135E-01
    7121.874    -10.553   0.500  3.94870E-01  6.51605E-01 -3.24723E-01
    7122.074    -10.353   0.550  4.30598E-01  6.74749E-01 -3.06767E-01
    7122.293    -10.134   0.600  4.67315E-01  6.97892E-01 -2.87812E-01
    7122.531     -9.896   0.650  5.01960E-01  7.15885E-01 -2.65063E-01
    7122.788     -9.639   0.700  5.37777E-01  7.33878E-01 -2.41206E-01
    7123.064     -9.362   0.750  5.73544E-01  7.48493E-01 -2.13487E-01
    7123.360     -9.067   0.800  6.10464E-01  7.63109E-01 -1.84808E-01
    7123.674     -8.753   0.850  6.48526E-01  7.75576E-01 -1.52546E-01
    7124.007     -8.419   0.900  6.87376E-01  7.88043E-01 -1.19877E-01
    7124.360     -8.067   0.950  7.27598E-01  7.99094E-01 -8.44208E-02
    7124.731     -7.696   1.000  7.67765E-01  8.10146E-01 -4.96227E-02
    7125.122     -7.305   1.050  8.08602E-01  8.20189E-01 -1.34517E-02
    7125.531     -6.895   1.100  8.48030E-01  8.30232E-01  2.04903E-02
    7125.960     -6.467   1.150  8.86637E-01  8.39473E-01  5.38495E-02
    7126.408     -6.019   1.200  9.22120E-01  8.48714E-01  8.31240E-02
    7126.874     -5.552   1.250  9.54774E-01  8.57245E-01  1.09566E-01
    7127.360     -5.067   1.300  9.82607E-01  8.65775E-01  1.30220E-01
    7127.865     -4.562   1.350  1.00576E+00  8.73618E-01  1.46189E-01
    7128.389     -4.038   1.400  1.02303E+00  8.81462E-01  1.55462E-01
    7128.932     -3.495   1.450  1.03458E+00  8.88607E-01  1.59209E-01
    7129.494     -2.933   1.500  1.04042E+00  8.95751E-01  1.56713E-01
    7130.075     -2.352   1.550  1.04093E+00  9.02168E-01  1.49390E-01
    7130.675     -1.752   1.600  1.03738E+00  9.08585E-01  1.37815E-01
    7131.294     -1.133   1.650  1.03038E+00  9.14239E-01  1.23618E-01
    7131.932     -0.495   1.700  1.02210E+00  9.19894E-01  1.08214E-01
    7132.589      0.163   1.750  1.01308E+00  9.24754E-01  9.30982E-02
    7133.266      0.839   1.800  1.00557E+00  9.29615E-01  7.97090E-02
    7133.961      1.534   1.850  9.99479E-01  9.33652E-01  6.88328E-02
    7134.675      2.248   1.900  9.96315E-01  9.37689E-01  6.10863E-02
    7135.409      2.982   1.950  9.94774E-01  9.40846E-01  5.60437E-02
    7136.161      3.734   2.000  9.95277E-01  9.44003E-01  5.31456E-02
    7136.933      4.506   2.050  9.94107E-01  9.45666E-01  5.01571E-02
    7137.723      5.296   2.100  9.91985E-01  9.47328E-01  4.61895E-02
    7138.533      6.106   2.150  9.87603E-01  9.48990E-01  3.98956E-02
    7139.362      6.935   2.200  9.80085E-01  9.50652E-01  3.03776E-02
    7140.209      7.782   2.250  9.63875E-01  9.50801E-01  1.35102E-02
    7141.076      8.649   2.300  9.44620E-01  9.50950E-01 -6.54931E-03
    7141.962      9.535   2.350  9.24673E-01  9.51098E-01 -2.73743E-02
    7142.867     10.440   2.400  9.06928E-01  9.51247E-01 -4.59656E-02
    7143.791     11.364   2.450  8.96631E-01  9.56176E-01 -6.16106E-02
    7144.734     12.307   2.500  8.92784E-01  9.61104E-01 -7.05237E-02
    7145.696     13.269   2.550  8.96312E-01  9.66033E-01 -7.17998E-02
    7146.677     14.250   2.600  9.06955E-01  9.70962E-01 -6.57592E-02
    7147.677     15.250   2.650  9.16871E-01  9.73684E-01 -5.82334E-02
    7148.696     16.269   2.700  9.31574E-01  9.76407E-01 -4.58471E-02
    7149.734     17.307   2.750  9.50129E-01  9.79130E-01 -2.95877E-02
    7150.792     18.365   2.800  9.71218E-01  9.81853E-01 -1.08248E-02
    7151.868     19.441   2.850  9.91368E-01  9.83219E-01  8.27997E-03
    7152.963     20.536   2.900  1.01238E+00  9.84585E-01  2.81967E-02
    7154.078     21.651   2.950  1.03272E+00  9.85951E-01  4.73631E-02
    7155.211     22.784   3.000  1.05087E+00  9.87318E-01  6.42423E-02
