# comment: None given                          Feff8L (EXAFS)       0.1      
# Source:
# Structure Summary:  Fe2
# Reduced formula:  Fe
# space group: (Im-3m), space number:  (229)
# abc:  2.477813   2.477809   4.054295
# angles: 90.000038  90.000320 109.469837
# sites: 2
# mp-13
# POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
# Abs   Z=26 Rmt= 1.346 Rnm= 1.393 K  shell
# Pot 1 Z=26 Rmt= 1.354 Rnm= 1.403
# Gam_ch=1.309E+00 H-L exch
# Mu=-1.199E+01 kf=2.042E+00 Vint=-2.788E+01 Rs_int= 1.776
# PATH  Rmax= 6.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000                                        Global_sig2= 0.00000
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00      4.00     2   2.4778
#           2       0.00000     99.72      4.00     2   2.4811
#           3       0.00000     36.51      2.00     2   2.8612
#           4       0.00000     72.85      4.00     2   2.8640
#           5       0.00000      6.15      8.00     3   3.9084
#           6       0.00000      6.40     16.00     3   3.9114
#           7       0.00000     12.23     16.00     3   3.9114
#           8       0.00000     12.30     16.00     3   3.9114
#           9       0.00000      6.12      8.00     3   3.9117
#          10       0.00000     16.15      2.00     2   4.0462
#          11       0.00000     64.53      8.00     2   4.0483
#          12       0.00000     16.07      2.00     2   4.0543
#          13       0.00000      6.76      8.00     3   4.5009
#          14       0.00000      9.34     16.00     3   4.5036
#          15       0.00000     13.50     16.00     3   4.5036
#          16       0.00000     13.50     16.00     3   4.5036
#          17       0.00000      6.73      8.00     3   4.5083
#          18       0.00000     21.64      4.00     2   4.7447
#          19       0.00000     64.87     12.00     2   4.7463
#          20       0.00000     43.13      8.00     2   4.7515
#          21       0.00000      6.24     16.00     3   4.8867
#          22       0.00000      6.24     16.00     3   4.8867
#          23       0.00000     19.34      4.00     2   4.9556
#          24       0.00000      9.28      4.00     3   4.9556
#          25       0.00000     54.35      8.00     3   4.9556
#          26       0.00000     11.63      4.00     4   4.9556
#          27       0.00000      4.52      4.00     4   4.9556
#          28       0.00000     45.11      4.00     4   4.9556
#          29       0.00000     19.27      4.00     2   4.9622
#          30       0.00000      9.24      4.00     3   4.9622
#          31       0.00000     54.11      8.00     3   4.9622
#          32       0.00000     11.56      4.00     4   4.9622
#          33       0.00000      4.49      4.00     4   4.9622
#          34       0.00000     44.86      4.00     4   4.9622
#          35       0.00000      5.16      8.00     3   5.0418
#          36       0.00000      6.91      8.00     3   5.0419
#          37       0.00000      7.12      8.00     3   5.0418
#          38       0.00000     10.29     16.00     3   5.0441
#          39       0.00000      5.14      8.00     3   5.0444
#          40       0.00000     13.77     16.00     3   5.0441
#          41       0.00000      6.88      8.00     3   5.0444
#          42       0.00000      7.09      8.00     3   5.0444
#          43       0.00000     14.20     16.00     3   5.0441
#          44       0.00000     10.30     16.00     3   5.0483
#          45       0.00000     13.78     16.00     3   5.0483
#          46       0.00000     14.21     16.00     3   5.0483
#          51       0.00000      9.26     32.00     3   5.6363
#          52       0.00000      6.59      2.00     2   5.7224
#          54       0.00000     16.58      4.00     3   5.7224
#          56       0.00000     12.30      2.00     4   5.7224
#          57       0.00000     13.14      4.00     2   5.7279
#          58       0.00000      5.52      4.00     3   5.7279
#          59       0.00000     33.05      8.00     3   5.7279
#          60       0.00000      6.05      4.00     4   5.7279
#          62       0.00000     24.49      4.00     4   5.7279
#          63       0.00000      4.05     16.00     4   5.9339
#          64       0.00000      4.05     16.00     4   5.9372
#    57/  63 paths used
#  -----------------------------------------------------------------------
#       k          chi          mag           phase @#
     0.0000   -5.850966E-01  5.902901E-01 -1.703545E+00
     0.0500   -5.853865E-01  5.899101E-01 -1.694717E+00
     0.1000   -5.856138E-01  5.895140E-01 -1.685891E+00
     0.1500   -5.860108E-01  5.883319E-01 -1.659653E+00
     0.2000   -5.858584E-01  5.870093E-01 -1.633428E+00
     0.2500   -5.846662E-01  5.847796E-01 -1.590498E+00
     0.3000   -5.820282E-01  5.821848E-01 -1.547598E+00
     0.3500   -5.765951E-01  5.785263E-01 -1.489065E+00
     0.4000   -5.685845E-01  5.742194E-01 -1.430588E+00
     0.4500   -5.558025E-01  5.686727E-01 -1.357639E+00
     0.5000   -5.393514E-01  5.621886E-01 -1.284790E+00
     0.5500   -5.164205E-01  5.543389E-01 -1.198782E+00
     0.6000   -4.891409E-01  5.453044E-01 -1.112947E+00
     0.6500   -4.543897E-01  5.348366E-01 -1.015200E+00
     0.7000   -4.154030E-01  5.230197E-01 -9.177551E-01
     0.7500   -3.690806E-01  5.097854E-01 -8.095722E-01
     0.8000   -3.197047E-01  4.951484E-01 -7.019063E-01
     0.8500   -2.644649E-01  4.792043E-01 -5.846210E-01
     0.9000   -2.084557E-01  4.619303E-01 -4.681889E-01
     0.9500   -1.492789E-01  4.435613E-01 -3.432467E-01
     1.0000   -9.240208E-02  4.240664E-01 -2.196574E-01
     1.0500   -3.578332E-02  4.037945E-01 -8.873406E-02
     1.1000    1.535281E-02  3.827287E-01  4.012485E-02
     1.1500    6.290426E-02  3.613148E-01  1.749899E-01
     1.2000    1.025587E-01  3.395565E-01  3.068290E-01
     1.2500    1.363735E-01  3.180336E-01  4.431664E-01
     1.3000    1.614307E-01  2.967090E-01  5.752812E-01
     1.3500    1.800676E-01  2.761731E-01  7.102325E-01
     1.4000    1.909250E-01  2.564421E-01  8.398084E-01
     1.4500    1.966538E-01  2.382393E-01  9.709928E-01
     1.5000    1.969653E-01  2.214171E-01  1.096396E+00
     1.5500    1.944249E-01  2.067523E-01  1.223733E+00
     1.6000    1.890170E-01  1.938528E-01  1.346964E+00
     1.6500    1.826627E-01  1.834955E-01  1.475488E+00
     1.7000    1.747746E-01  1.748741E-01  1.604538E+00
     1.7500    1.661558E-01  1.687213E-01  1.745406E+00
     1.8000    1.553478E-01  1.637645E-01  1.892793E+00
     1.8500    1.420254E-01  1.608019E-01  2.058882E+00
     1.9000    1.245200E-01  1.581984E-01  2.235478E+00
     1.9500    1.019223E-01  1.570333E-01  2.435259E+00
     2.0000    7.391745E-02  1.554457E-01  2.646038E+00
     2.0500    3.878016E-02  1.561137E-01  2.890554E+00
     2.1000   -3.162604E-04  1.557283E-01  3.143624E+00
     2.1500   -3.997369E-02  1.541946E-01  3.403830E+00
     2.2000   -7.636375E-02  1.514801E-01  3.669952E+00
     2.2500   -1.123746E-01  1.505462E-01  3.984297E+00
     2.3000   -1.352094E-01  1.477384E-01  4.297583E+00
     2.3500   -1.424750E-01  1.432464E-01  4.608560E+00
     2.4000   -1.344612E-01  1.372971E-01  4.915990E+00
     2.4500   -1.163448E-01  1.326743E-01  5.213769E+00
     2.5000   -8.880832E-02  1.266508E-01  5.506097E+00
     2.5500   -5.646825E-02  1.194572E-01  5.790825E+00
     2.6000   -2.407554E-02  1.113619E-01  6.065273E+00
     2.6500    5.609835E-03  1.059394E-01  6.336163E+00
     2.7000    3.138782E-02  1.000561E-01  6.602275E+00
     2.7500    5.135763E-02  9.387004E-02  6.862098E+00
     2.8000    6.461509E-02  8.752062E-02  7.113708E+00
     2.8500    7.123449E-02  8.092381E-02  7.359608E+00
     2.9000    7.139784E-02  7.387335E-02  7.594370E+00
