# comment: None given                          Feff8L (EXAFS)       0.1      
# Source:
# Structure Summary:  Fe2
# Reduced formula:  Fe
# space group: (Im-3m), space number:  (229)
# abc:  2.477813   2.477809   4.054295
# angles: 90.000038  90.000320 109.469837
# sites: 2
# mp-13
# POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
# Abs   Z=26 Rmt= 1.346 Rnm= 1.393 K  shell
# Pot 1 Z=26 Rmt= 1.354 Rnm= 1.403
# Gam_ch=1.309E+00 H-L exch
# Mu=-1.199E+01 kf=2.042E+00 Vint=-2.788E+01 Rs_int= 1.776
# PATH  Rmax= 6.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000                                        Global_sig2= 0.00000
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00      4.00     2   2.4778
#           2       0.00000     99.72      4.00     2   2.4811
#           3       0.00000     36.51      2.00     2   2.8612
#           4       0.00000     72.85      4.00     2   2.8640
#           5       0.00000      6.15      8.00     3   3.9084
#           6       0.00000      6.40     16.00     3   3.9114
#           7       0.00000     12.23     16.00     3   3.9114
#           8       0.00000     12.30     16.00     3   3.9114
#           9       0.00000      6.12      8.00     3   3.9117
#          10       0.00000     16.15      2.00     2   4.0462
#          11       0.00000     64.53      8.00     2   4.0483
#          12       0.00000     16.07      2.00     2   4.0543
#          13       0.00000      6.76      8.00     3   4.5009
#          14       0.00000      9.34     16.00     3   4.5036
#          15       0.00000     13.50     16.00     3   4.5036
#          16       0.00000     13.50     16.00     3   4.5036
#          17       0.00000      6.73      8.00     3   4.5083
#          18       0.00000     21.64      4.00     2   4.7447
#          19       0.00000     64.87     12.00     2   4.7463
#          20       0.00000     43.13      8.00     2   4.7515
#          21       0.00000      6.24     16.00     3   4.8867
#          22       0.00000      6.24     16.00     3   4.8867
#          23       0.00000     19.34      4.00     2   4.9556
#          24       0.00000      9.28      4.00     3   4.9556
#          25       0.00000     54.35      8.00     3   4.9556
#          26       0.00000     11.63      4.00     4   4.9556
#          27       0.00000      4.52      4.00     4   4.9556
#          28       0.00000     45.11      4.00     4   4.9556
#          29       0.00000     19.27      4.00     2   4.9622
#          30       0.00000      9.24      4.00     3   4.9622
#          31       0.00000     54.11      8.00     3   4.9622
#          32       0.00000     11.56      4.00     4   4.9622
#          33       0.00000      4.49      4.00     4   4.9622
#          34       0.00000     44.86      4.00     4   4.9622
#          35       0.00000      5.16      8.00     3   5.0418
#          36       0.00000      6.91      8.00     3   5.0419
#          37       0.00000      7.12      8.00     3   5.0418
#          38       0.00000     10.29     16.00     3   5.0441
#          39       0.00000      5.14      8.00     3   5.0444
#          40       0.00000     13.77     16.00     3   5.0441
#          41       0.00000      6.88      8.00     3   5.0444
#          42       0.00000      7.09      8.00     3   5.0444
#          43       0.00000     14.20     16.00     3   5.0441
#          44       0.00000     10.30     16.00     3   5.0483
#          45       0.00000     13.78     16.00     3   5.0483
#          46       0.00000     14.21     16.00     3   5.0483
#          51       0.00000      9.26     32.00     3   5.6363
#          52       0.00000      6.59      2.00     2   5.7224
#          54       0.00000     16.58      4.00     3   5.7224
#          56       0.00000     12.30      2.00     4   5.7224
#          57       0.00000     13.14      4.00     2   5.7279
#          58       0.00000      5.52      4.00     3   5.7279
#          59       0.00000     33.05      8.00     3   5.7279
#          60       0.00000      6.05      4.00     4   5.7279
#          62       0.00000     24.49      4.00     4   5.7279
#          63       0.00000      4.05     16.00     4   5.9339
#          64       0.00000      4.05     16.00     4   5.9372
#    57/  63 paths used
#  xsedge+50, used to normalize mu           3.2086E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
    7121.299    -11.989   0.000 -4.74845E-02  3.98132E-01 -5.85097E-01
    7121.309    -11.979   0.050 -4.07437E-02  4.05397E-01 -5.85386E-01
    7121.337    -11.951   0.100 -3.39555E-02  4.12662E-01 -5.85614E-01
    7121.385    -11.903   0.150 -1.37730E-02  4.34051E-01 -5.86011E-01
    7121.451    -11.836   0.200  6.82904E-03  4.55441E-01 -5.85858E-01
    7121.537    -11.751   0.250  3.83721E-02  4.87553E-01 -5.84666E-01
    7121.642    -11.646   0.300  7.10356E-02  5.19666E-01 -5.82028E-01
    7121.766    -11.522   0.350  1.07780E-01  5.54225E-01 -5.76595E-01
    7121.909    -11.379   0.400  1.46567E-01  5.88785E-01 -5.68584E-01
    7122.070    -11.217   0.450  1.83690E-01  6.18380E-01 -5.55802E-01
    7122.251    -11.036   0.500  2.23809E-01  6.47974E-01 -5.39351E-01
    7122.451    -10.836   0.550  2.62155E-01  6.70929E-01 -5.16420E-01
    7122.671    -10.617   0.600  3.04200E-01  6.93884E-01 -4.89141E-01
    7122.909    -10.379   0.650  3.47077E-01  7.11706E-01 -4.54390E-01
    7123.166    -10.122   0.700  3.93780E-01  7.29527E-01 -4.15403E-01
    7123.442     -9.846   0.750  4.43340E-01  7.43986E-01 -3.69081E-01
    7123.737     -9.550   0.800  4.95993E-01  7.58445E-01 -3.19705E-01
    7124.052     -9.236   0.850  5.51882E-01  7.70775E-01 -2.64465E-01
    7124.385     -8.903   0.900  6.09160E-01  7.83104E-01 -2.08456E-01
    7124.737     -8.550   0.950  6.68424E-01  7.94040E-01 -1.49279E-01
    7125.109     -8.179   1.000  7.26571E-01  8.04976E-01 -9.24021E-02
    7125.499     -7.788   1.050  7.84310E-01  8.14931E-01 -3.57833E-02
    7125.909     -7.379   1.100  8.38133E-01  8.24885E-01  1.53528E-02
    7126.338     -6.950   1.150  8.88802E-01  8.34070E-01  6.29043E-02
    7126.785     -6.502   1.200  9.33227E-01  8.43256E-01  1.02559E-01
    7127.252     -6.036   1.250  9.72363E-01  8.51768E-01  1.36374E-01
    7127.738     -5.550   1.300  1.00417E+00  8.60280E-01  1.61431E-01
    7128.243     -5.045   1.350  1.02986E+00  8.68146E-01  1.80068E-01
    7128.767     -4.521   1.400  1.04877E+00  8.76012E-01  1.90925E-01
    7129.309     -3.978   1.450  1.06241E+00  8.83220E-01  1.96654E-01
    7129.871     -3.416   1.500  1.07115E+00  8.90429E-01  1.96965E-01
    7130.452     -2.835   1.550  1.07647E+00  8.96952E-01  1.94425E-01
    7131.053     -2.235   1.600  1.07910E+00  9.03475E-01  1.89017E-01
    7131.672     -1.616   1.650  1.07994E+00  9.09278E-01  1.82663E-01
    7132.310     -0.978   1.700  1.07928E+00  9.15082E-01  1.74775E-01
    7132.967     -0.321   1.750  1.07697E+00  9.20131E-01  1.66156E-01
    7133.643      0.356   1.800  1.07251E+00  9.25180E-01  1.55348E-01
    7134.339      1.051   1.850  1.06465E+00  9.29443E-01  1.42025E-01
    7135.053      1.765   1.900  1.05271E+00  9.33706E-01  1.24520E-01
    7135.786      2.499   1.950  1.03482E+00  9.37126E-01  1.01922E-01
    7136.539      3.251   2.000  1.01160E+00  9.40545E-01  7.39174E-02
    7137.310      4.023   2.050  9.79946E-01  9.42609E-01  3.87802E-02
    7138.101      4.813   2.100  9.44369E-01  9.44673E-01 -3.16260E-04
    7138.911      5.623   2.150  9.08135E-01  9.46738E-01 -3.99737E-02
    7139.739      6.452   2.200  8.74946E-01  9.48802E-01 -7.63638E-02
    7140.587      7.299   2.250  8.40556E-01  9.49113E-01 -1.12375E-01
    7141.454      8.166   2.300  8.18961E-01  9.49424E-01 -1.35209E-01
