# comment: None given                          Feff8L (EXAFS)       0.1      
# Source:
# Structure Summary:  Fe2
# Reduced formula:  Fe
# space group: (P6_3/mmc), space number:  (194)
# abc:  2.434158   2.434157   3.841934
# angles: 90.000000  90.000000 120.000017
# sites: 2
# mp-136
# POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
# Abs   Z=26 Rmt= 1.279 Rnm= 1.315 K  shell
# Pot 1 Z=26 Rmt= 1.287 Rnm= 1.324
# Gam_ch=1.309E+00 H-L exch
# Mu=-1.432E+01 kf=2.220E+00 Vint=-3.309E+01 Rs_int= 1.634
# PATH  Rmax= 6.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000                                        Global_sig2= 0.00000
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00      6.00     2   2.3802
#           2       0.00000     95.36      6.00     2   2.4342
#           3       0.00000     44.73      6.00     2   3.4044
#           4       0.00000      5.69     12.00     3   3.5972
#           5       0.00000     12.74     24.00     3   3.5972
#           6       0.00000      5.82     12.00     3   3.6512
#           7       0.00000     11.09      2.00     2   3.8419
#           8       0.00000      7.76     24.00     3   4.1094
#           9       0.00000     12.10     24.00     3   4.1094
#          10       0.00000     12.21     24.00     3   4.1094
#          11       0.00000     53.61     12.00     2   4.1851
#          12       0.00000     26.31      6.00     2   4.2161
#          13       0.00000      7.14     12.00     3   4.3011
#          14       0.00000     11.24     24.00     3   4.4997
#          15       0.00000     17.39     24.00     3   4.4997
#          16       0.00000     17.49     24.00     3   4.4997
#          17       0.00000      5.28     12.00     3   4.5422
#          18       0.00000     16.13     24.00     3   4.5422
#          19       0.00000     43.24     12.00     2   4.5481
#          20       0.00000     11.92     12.00     3   4.6542
#          21       0.00000     30.81     24.00     3   4.6542
#          22       0.00000      4.67     12.00     4   4.7603
#          23       0.00000      4.79      6.00     4   4.7603
#          24       0.00000      6.46     12.00     4   4.7603
#          28       0.00000      4.73     24.00     4   4.8143
#          29       0.00000     18.07      6.00     2   4.8683
#          30       0.00000      8.74      6.00     3   4.8683
#          31       0.00000     52.38     12.00     3   4.8683
#          32       0.00000     11.43      6.00     4   4.8683
#          33       0.00000      4.29      6.00     4   4.8683
#          34       0.00000     42.72      6.00     4   4.8683
#          35       0.00000      5.82     24.00     3   5.0119
#          36       0.00000      6.22     24.00     3   5.0119
#          37       0.00000      7.11     24.00     3   5.1664
#          38       0.00000      7.86     24.00     3   5.3907
#          39       0.00000      5.12     24.00     3   5.4121
#          40       0.00000     27.07     12.00     2   5.4190
#          41       0.00000      6.41     24.00     3   5.5567
#          42       0.00000      8.78     24.00     3   5.6288
#          43       0.00000     11.36     24.00     3   5.6288
#          44       0.00000     12.14     24.00     3   5.6288
#          45       0.00000     23.52     12.00     2   5.7040
#          46       0.00000      5.19     24.00     4   5.7168
#          47       0.00000      5.20     24.00     4   5.7168
#          48       0.00000      8.24     12.00     3   5.7443
#          49       0.00000     18.01     12.00     3   5.7443
#          50       0.00000     16.75     12.00     3   5.7443
#          51       0.00000      5.12     24.00     4   5.7593
#          52       0.00000      4.85     24.00     4   5.7593
#          53       0.00000      6.29     24.00     3   5.7652
#          54       0.00000      6.40     12.00     4   5.7846
#          55       0.00000      7.14      6.00     4   5.7846
#          56       0.00000      6.55      6.00     4   5.7846
#          62       0.00000     10.55      6.00     2   5.9318
#          63       0.00000     10.51      6.00     2   5.9406
#    55/  58 paths used
#  -----------------------------------------------------------------------
#       k          chi          mag           phase @#
     0.0500   -7.828950E-01  8.212356E-01 -1.877568E+00
     0.1000   -7.833293E-01  8.195498E-01 -1.869209E+00
     0.1500   -7.842780E-01  8.145894E-01 -1.844452E+00
     0.2000   -7.845682E-01  8.095218E-01 -1.819733E+00
     0.2500   -7.839226E-01  8.012595E-01 -1.779198E+00
     0.3000   -7.815647E-01  7.927214E-01 -1.738766E+00
     0.3500   -7.761993E-01  7.811514E-01 -1.683457E+00
     0.4000   -7.678266E-01  7.690997E-01 -1.628344E+00
     0.4500   -7.541849E-01  7.542330E-01 -1.559501E+00
     0.5000   -7.363345E-01  7.386868E-01 -1.490970E+00
     0.5500   -7.113219E-01  7.206225E-01 -1.409960E+00
     0.6000   -6.813850E-01  7.017313E-01 -1.329402E+00
     0.6500   -6.432468E-01  6.806790E-01 -1.237618E+00
     0.7000   -6.003139E-01  6.587359E-01 -1.146459E+00
     0.7500   -5.493531E-01  6.350464E-01 -1.045269E+00
     0.8000   -4.947819E-01  6.105033E-01 -9.449185E-01
     0.8500   -4.336676E-01  5.846740E-01 -8.356393E-01
     0.9000   -3.711439E-01  5.581299E-01 -7.274639E-01
     0.9500   -3.046635E-01  5.307907E-01 -6.113585E-01
     1.0000   -2.396674E-01  5.029619E-01 -4.966832E-01
     1.0500   -1.739061E-01  4.748395E-01 -3.749671E-01
     1.1000   -1.126640E-01  4.465111E-01 -2.550778E-01
     1.1500   -5.379088E-02  4.184584E-01 -1.289020E-01
     1.2000   -1.968174E-03  3.905036E-01 -5.040114E-03
     1.2500    4.504193E-02  3.631098E-01  1.243653E-01
     1.3000    8.343901E-02  3.361077E-01  2.508741E-01
     1.3500    1.157345E-01  3.101316E-01  3.824328E-01
     1.4000    1.391127E-01  2.847897E-01  5.103414E-01
     1.4500    1.563234E-01  2.607671E-01  6.428450E-01
     1.5000    1.654809E-01  2.375587E-01  7.706332E-01
     1.5500    1.694466E-01  2.158724E-01  9.025975E-01
     1.6000    1.671009E-01  1.951288E-01  1.028182E+00
     1.6500    1.612348E-01  1.760668E-01  1.157393E+00
     1.7000    1.513198E-01  1.580700E-01  1.277501E+00
     1.7500    1.398386E-01  1.418934E-01  1.400407E+00
     1.8000    1.267455E-01  1.269800E-01  1.510007E+00
     1.8500    1.139480E-01  1.140951E-01  1.621586E+00
     1.9000    1.017625E-01  1.028306E-01  1.715055E+00
     1.9500    9.111680E-02  9.384257E-02  1.812408E+00
     2.0000    8.252916E-02  8.695503E-02  1.891221E+00
     2.0500    7.495970E-02  8.244772E-02  2.000285E+00
     2.1000    6.913153E-02  8.012563E-02  2.100832E+00
     2.1500    6.464834E-02  8.007987E-02  2.202033E+00
     2.2000    6.049778E-02  8.215549E-02  2.313886E+00
     2.2500    5.167174E-02  8.581834E-02  2.495456E+00
     2.3000    3.925614E-02  9.057342E-02  2.693311E+00
     2.3500    2.225054E-02  9.620510E-02  2.908197E+00
     2.4000    2.186453E-04  1.024740E-01  3.139459E+00
     2.4500   -2.746237E-02  1.086898E-01  3.397029E+00
     2.5000   -5.732303E-02  1.145080E-01  3.665888E+00
     2.5500   -8.629628E-02  1.198081E-01  3.945809E+00
     2.6000   -1.105619E-01  1.243970E-01  4.236274E+00
     2.6500   -1.288779E-01  1.314127E-01  4.515661E+00
     2.7000   -1.358740E-01  1.363234E-01  4.793608E+00
     2.7500   -1.304800E-01  1.392099E-01  5.068414E+00
     2.8000   -1.136038E-01  1.402066E-01  5.338590E+00
     2.8500   -9.360110E-02  1.436021E-01  5.573219E+00
     2.9000   -6.734937E-02  1.462617E-01  5.804659E+00
     2.9500   -3.676270E-02  1.482666E-01  6.032622E+00
     3.0000   -3.931157E-03  1.497087E-01  6.256924E+00
     3.0500    2.839176E-02  1.527557E-01  6.470136E+00
     3.1000    6.005174E-02  1.552865E-01  6.680253E+00
