 comment: None given                            Feff8L (EXAFS)       0.1
 Source:
 Structure Summary:  Fe2
 Reduced formula:  Fe
 space group: (P6_3/mmc), space number:  (194)
 abc:  2.434158   2.434157   3.841934
 angles: 90.000000  90.000000 120.000017
 sites: 2
 mp-136
 POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
 Abs   Z=26 Rmt= 1.279 Rnm= 1.315 K  shell
 Pot 1 Z=26 Rmt= 1.287 Rnm= 1.324
 Gam_ch=1.309E+00 H-L exch
 Mu=-1.432E+01 kf=2.220E+00 Vint=-3.309E+01 Rs_int= 1.634
 PATH  Rmax= 6.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 Path   44      icalc       2
 -----------------------------------------------------------------------
   3  24.000   5.6288    2.5023  -14.31620 nleg, deg, reff, rnrmav(bohr), edge
        x         y         z   pot at#
    -0.0000   -0.0000   -0.0000  0  26 Fe       absorbing atom
     4.8683    1.4054   -1.9210  1  26 Fe
     2.4342    1.4054   -1.9210  1  26 Fe
    k   real[2*phc]   mag[feff]  phase[feff] red factor   lambda     real[p]@#
  0.000  2.8243E+00  5.5765E-05 -6.5118E-01  1.012E+00  2.5849E+01  2.2201E+00
  0.100  2.8237E+00  2.4149E-02 -1.7498E+00  1.012E+00  2.5874E+01  2.2223E+00
  0.200  2.8217E+00  4.7505E-02 -2.8021E+00  1.012E+00  2.5946E+01  2.2287E+00
  0.300  2.8184E+00  6.9357E-02 -3.8063E+00  1.012E+00  2.6059E+01  2.2394E+00
  0.400  2.8138E+00  8.9138E-02 -4.7637E+00  1.012E+00  2.6200E+01  2.2543E+00
  0.500  2.8079E+00  1.0647E-01 -5.6757E+00  1.012E+00  2.6353E+01  2.2734E+00
  0.600  2.8007E+00  1.2114E-01 -6.5440E+00  1.012E+00  2.6499E+01  2.2964E+00
  0.700  2.7921E+00  1.3315E-01 -7.3704E+00  1.012E+00  2.6614E+01  2.3234E+00
  0.800  2.7821E+00  1.4259E-01 -8.1567E+00  1.013E+00  2.6675E+01  2.3542E+00
  0.900  2.7708E+00  1.4967E-01 -8.9044E+00  1.013E+00  2.6657E+01  2.3887E+00
  1.000  2.7581E+00  1.5462E-01 -9.6149E+00  1.014E+00  2.6540E+01  2.4268E+00
  1.100  2.7439E+00  1.5770E-01 -1.0290E+01  1.014E+00  2.6307E+01  2.4684E+00
  1.200  2.7282E+00  1.5918E-01 -1.0930E+01  1.015E+00  2.5947E+01  2.5133E+00
  1.300  2.7109E+00  1.5925E-01 -1.1536E+01  1.016E+00  2.5461E+01  2.5614E+00
  1.400  2.6919E+00  1.5811E-01 -1.2109E+01  1.018E+00  2.4855E+01  2.6127E+00
  1.500  2.6711E+00  1.5591E-01 -1.2650E+01  1.020E+00  2.4143E+01  2.6671E+00
  1.600  2.6484E+00  1.5278E-01 -1.3158E+01  1.022E+00  2.3348E+01  2.7246E+00
  1.700  2.6235E+00  1.4880E-01 -1.3635E+01  1.024E+00  2.2495E+01  2.7850E+00
  1.800  2.5962E+00  1.4406E-01 -1.4080E+01  1.027E+00  2.1613E+01  2.8485E+00
  1.900  2.5664E+00  1.3860E-01 -1.4493E+01  1.030E+00  2.0729E+01  2.9148E+00
  2.000  2.5337E+00  1.3247E-01 -1.4873E+01  1.034E+00  1.9870E+01  2.9842E+00
  2.200  2.4583E+00  1.1840E-01 -1.5533E+01  1.041E+00  1.8321E+01  3.1320E+00
  2.400  2.3690E+00  1.0182E-01 -1.6046E+01  1.048E+00  1.7133E+01  3.2926E+00
  2.600  2.2302E+00  8.4089E-02 -1.6315E+01  1.038E+00  1.6434E+01  3.4800E+00
  2.800  2.1370E+00  7.3102E-02 -1.6749E+01  1.178E+00  8.3534E+00  3.6470E+00
  3.000  2.1227E+00  6.0125E-02 -1.7537E+01  1.218E+00  6.9979E+00  3.7801E+00
  3.200  2.0942E+00  4.8489E-02 -1.8311E+01  1.236E+00  6.3649E+00  3.9178E+00
  3.400  2.0465E+00  4.0744E-02 -1.9031E+01  1.243E+00  6.0541E+00  4.0637E+00
  3.600  1.9877E+00  3.7899E-02 -1.9697E+01  1.235E+00  5.9134E+00  4.2149E+00
  3.800  1.9205E+00  4.0048E-02 -2.0273E+01  1.227E+00  5.8751E+00  4.3710E+00
  4.000  1.8471E+00  4.5931E-02 -2.0736E+01  1.212E+00  5.9050E+00  4.5314E+00
  4.200  1.7686E+00  5.4132E-02 -2.1115E+01  1.198E+00  5.9837E+00  4.6957E+00
  4.400  1.6866E+00  6.3682E-02 -2.1447E+01  1.185E+00  6.0996E+00  4.8634E+00
  4.600  1.6025E+00  7.2966E-02 -2.1739E+01  1.167E+00  6.2448E+00  5.0342E+00
  4.800  1.5162E+00  8.1716E-02 -2.2021E+01  1.153E+00  6.4141E+00  5.2078E+00
  5.000  1.4291E+00  8.9217E-02 -2.2293E+01  1.139E+00  6.6036E+00  5.3838E+00
  5.200  1.3419E+00  9.5082E-02 -2.2555E+01  1.125E+00  6.8107E+00  5.5620E+00
  5.400  1.2546E+00  9.9594E-02 -2.2812E+01  1.112E+00  7.0331E+00  5.7421E+00
  5.600  1.1678E+00  1.0263E-01 -2.3063E+01  1.100E+00  7.2693E+00  5.9240E+00
  5.800  1.0815E+00  1.0452E-01 -2.3309E+01  1.089E+00  7.5179E+00  6.1074E+00
  6.000  9.9562E-01  1.0506E-01 -2.3550E+01  1.078E+00  7.7780E+00  6.2921E+00
  6.500  7.8418E-01  1.0336E-01 -2.4140E+01  1.054E+00  8.4728E+00  6.7592E+00
  7.000  5.7815E-01  9.9897E-02 -2.4714E+01  1.035E+00  9.2240E+00  7.2322E+00
  7.500  3.7952E-01  9.7378E-02 -2.5256E+01  1.019E+00  1.0025E+01  7.7097E+00
  8.000  1.9011E-01  9.5822E-02 -2.5748E+01  1.005E+00  1.0871E+01  8.1909E+00
  8.500  8.4620E-03  9.4054E-02 -2.6190E+01  9.922E-01  1.1759E+01  8.6748E+00
  9.000 -1.6932E-01  9.1516E-02 -2.6582E+01  9.776E-01  1.2686E+01  9.1611E+00
  9.500 -3.4373E-01  8.7734E-02 -2.6937E+01  9.659E-01  1.3651E+01  9.6492E+00
 10.000 -5.1291E-01  8.2835E-02 -2.7260E+01  9.564E-01  1.4650E+01  1.0139E+01
 11.000 -8.3114E-01  7.0460E-02 -2.7832E+01  9.438E-01  1.6749E+01  1.1122E+01
