
======== running Feff module feff8l_genfmt ========
 Calculating EXAFS parameters...
    Curved wave chi amplitude ratio   4.00%
    Discard feff.dat for paths with cw ratio <   2.67%
    path  cw ratio     deg    nleg  reff
      1   100.000     6.000     2   2.3802
      2    95.357     6.000     2   2.4342
      3    44.730     6.000     2   3.4044
      4     5.692    12.000     3   3.5972
      5    12.737    24.000     3   3.5972
      6     5.825    12.000     3   3.6512
      7    11.092     2.000     2   3.8419
      8     7.755    24.000     3   4.1094
      9    12.103    24.000     3   4.1094
     10    12.209    24.000     3   4.1094
     11    53.613    12.000     2   4.1851
     12    26.306     6.000     2   4.2161
     13     7.143    12.000     3   4.3011
     14    11.238    24.000     3   4.4997
     15    17.393    24.000     3   4.4997
     16    17.487    24.000     3   4.4997
     17     5.278    12.000     3   4.5422
     18    16.130    24.000     3   4.5422
     19    43.237    12.000     2   4.5481
     20    11.922    12.000     3   4.6542
     21    30.810    24.000     3   4.6542
     22     4.673    12.000     4   4.7603
     23     4.788     6.000     4   4.7603
     24     6.457    12.000     4   4.7603
     25     3.429    24.000     4   4.8143
     26     3.674    12.000     4   4.8143
     27     3.748    12.000     4   4.8143
     28     4.731    24.000     4   4.8143
     29    18.068     6.000     2   4.8683
     30     8.738     6.000     3   4.8683
     31    52.381    12.000     3   4.8683
     32    11.425     6.000     4   4.8683
     33     4.293     6.000     4   4.8683
     34    42.724     6.000     4   4.8683
     35     5.822    24.000     3   5.0119
     36     6.215    24.000     3   5.0119
     37     7.110    24.000     3   5.1664
     38     7.861    24.000     3   5.3907
     39     5.116    24.000     3   5.4121
     40    27.074    12.000     2   5.4190
     41     6.409    24.000     3   5.5567
     42     8.777    24.000     3   5.6288
     43    11.359    24.000     3   5.6288
     44    12.142    24.000     3   5.6288
     45    23.520    12.000     2   5.7040
     46     5.190    24.000     4   5.7168
     47     5.196    24.000     4   5.7168
     48     8.240    12.000     3   5.7443
     49    18.012    12.000     3   5.7443
     50    16.752    12.000     3   5.7443
     51     5.120    24.000     4   5.7593
     52     4.848    24.000     4   5.7593
     53     6.292    24.000     3   5.7652
     54     6.403    12.000     4   5.7846
     55     7.145     6.000     4   5.7846
     56     6.552     6.000     4   5.7846
     57     2.483    24.000     4   5.7846 neglected
     58     2.368    24.000     4   5.8386 neglected
     59     1.811    12.000     4   5.8386 neglected
     60     1.705    12.000     4   5.8386 neglected
     61     2.436    24.000     4   5.8386 neglected
     62    10.549     6.000     2   5.9318
     63    10.506     6.000     2   5.9406
   58 paths kept,   63 examined.
 Done with module 5: F_eff.
Note: The following floating-point exceptions are signalling: IEEE_UNDERFLOW_FLAG IEEE_DENORMAL
