# comment: None given                          Feff8L (EXAFS)       0.1      
# Source:
# Structure Summary:  Fe2
# Reduced formula:  Fe
# space group: (P6_3/mmc), space number:  (194)
# abc:  2.434158   2.434157   3.841934
# angles: 90.000000  90.000000 120.000017
# sites: 2
# mp-136
# POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
# Abs   Z=26 Rmt= 1.279 Rnm= 1.315 K  shell
# Pot 1 Z=26 Rmt= 1.287 Rnm= 1.324
# Gam_ch=1.309E+00 H-L exch
# Mu=-1.432E+01 kf=2.220E+00 Vint=-3.309E+01 Rs_int= 1.634
# PATH  Rmax= 6.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000                                        Global_sig2= 0.00000
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00      6.00     2   2.3802
#           2       0.00000     95.36      6.00     2   2.4342
#           3       0.00000     44.73      6.00     2   3.4044
#           4       0.00000      5.69     12.00     3   3.5972
#           5       0.00000     12.74     24.00     3   3.5972
#           6       0.00000      5.82     12.00     3   3.6512
#           7       0.00000     11.09      2.00     2   3.8419
#           8       0.00000      7.76     24.00     3   4.1094
#           9       0.00000     12.10     24.00     3   4.1094
#          10       0.00000     12.21     24.00     3   4.1094
#          11       0.00000     53.61     12.00     2   4.1851
#          12       0.00000     26.31      6.00     2   4.2161
#          13       0.00000      7.14     12.00     3   4.3011
#          14       0.00000     11.24     24.00     3   4.4997
#          15       0.00000     17.39     24.00     3   4.4997
#          16       0.00000     17.49     24.00     3   4.4997
#          17       0.00000      5.28     12.00     3   4.5422
#          18       0.00000     16.13     24.00     3   4.5422
#          19       0.00000     43.24     12.00     2   4.5481
#          20       0.00000     11.92     12.00     3   4.6542
#          21       0.00000     30.81     24.00     3   4.6542
#          22       0.00000      4.67     12.00     4   4.7603
#          23       0.00000      4.79      6.00     4   4.7603
#          24       0.00000      6.46     12.00     4   4.7603
#          28       0.00000      4.73     24.00     4   4.8143
#          29       0.00000     18.07      6.00     2   4.8683
#          30       0.00000      8.74      6.00     3   4.8683
#          31       0.00000     52.38     12.00     3   4.8683
#          32       0.00000     11.43      6.00     4   4.8683
#          33       0.00000      4.29      6.00     4   4.8683
#          34       0.00000     42.72      6.00     4   4.8683
#          35       0.00000      5.82     24.00     3   5.0119
#          36       0.00000      6.22     24.00     3   5.0119
#          37       0.00000      7.11     24.00     3   5.1664
#          38       0.00000      7.86     24.00     3   5.3907
#          39       0.00000      5.12     24.00     3   5.4121
#          40       0.00000     27.07     12.00     2   5.4190
#          41       0.00000      6.41     24.00     3   5.5567
#          42       0.00000      8.78     24.00     3   5.6288
#          43       0.00000     11.36     24.00     3   5.6288
#          44       0.00000     12.14     24.00     3   5.6288
#          45       0.00000     23.52     12.00     2   5.7040
#          46       0.00000      5.19     24.00     4   5.7168
#          47       0.00000      5.20     24.00     4   5.7168
#          48       0.00000      8.24     12.00     3   5.7443
#          49       0.00000     18.01     12.00     3   5.7443
#          50       0.00000     16.75     12.00     3   5.7443
#          51       0.00000      5.12     24.00     4   5.7593
#          52       0.00000      4.85     24.00     4   5.7593
#          53       0.00000      6.29     24.00     3   5.7652
#          54       0.00000      6.40     12.00     4   5.7846
#          55       0.00000      7.14      6.00     4   5.7846
#          56       0.00000      6.55      6.00     4   5.7846
#          62       0.00000     10.55      6.00     2   5.9318
#          63       0.00000     10.51      6.00     2   5.9406
#    55/  58 paths used
#  xsedge+50, used to normalize mu           3.2213E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
    7123.585    -14.307   0.050 -1.91232E-01  3.98669E-01 -7.82895E-01
    7123.613    -14.278   0.100 -1.84743E-01  4.05817E-01 -7.83329E-01
    7123.661    -14.230   0.150 -1.65416E-01  4.26850E-01 -7.84278E-01
    7123.728    -14.164   0.200 -1.45593E-01  4.47882E-01 -7.84568E-01
    7123.813    -14.078   0.250 -1.15203E-01  4.79415E-01 -7.83923E-01
    7123.918    -13.973   0.300 -8.35079E-02  5.10948E-01 -7.81565E-01
    7124.042    -13.849   0.350 -4.78202E-02  5.44778E-01 -7.76199E-01
    7124.185    -13.707   0.400 -9.79710E-03  5.78608E-01 -7.67827E-01
    7124.347    -13.545   0.450  2.67365E-02  6.07403E-01 -7.54185E-01
    7124.528    -13.364   0.500  6.66240E-02  6.36198E-01 -7.36335E-01
    7124.728    -13.164   0.550  1.05052E-01  6.58321E-01 -7.11322E-01
    7124.947    -12.945   0.600  1.47545E-01  6.80444E-01 -6.81385E-01
    7125.185    -12.706   0.650  1.91202E-01  6.97416E-01 -6.43247E-01
    7125.442    -12.449   0.700  2.39028E-01  7.14388E-01 -6.00314E-01
    7125.718    -12.173   0.750  2.90018E-01  7.27998E-01 -5.49353E-01
    7126.014    -11.878   0.800  3.44458E-01  7.41609E-01 -4.94782E-01
    7126.328    -11.563   0.850  4.02483E-01  7.53117E-01 -4.33668E-01
    7126.661    -11.230   0.900  4.62371E-01  7.64625E-01 -3.71144E-01
    7127.014    -10.878   0.950  5.24800E-01  7.74801E-01 -3.04663E-01
    7127.385    -10.506   1.000  5.86826E-01  7.84978E-01 -2.39667E-01
    7127.776    -10.116   1.050  6.49367E-01  7.94270E-01 -1.73906E-01
    7128.185     -9.706   1.100  7.08962E-01  8.03562E-01 -1.12664E-01
    7128.614     -9.278   1.150  7.66694E-01  8.12215E-01 -5.37909E-02
    7129.062     -8.830   1.200  8.19189E-01  8.20867E-01 -1.96817E-03
    7129.528     -8.363   1.250  8.67720E-01  8.29007E-01  4.50419E-02
    7130.014     -7.877   1.300  9.09413E-01  8.37147E-01  8.34390E-02
    7130.519     -7.373   1.350  9.45821E-01  8.44825E-01  1.15734E-01
    7131.043     -6.849   1.400  9.74812E-01  8.52502E-01  1.39113E-01
    7131.586     -6.306   1.450  9.98166E-01  8.59726E-01  1.56323E-01
    7132.148     -5.744   1.500  1.01456E+00  8.66950E-01  1.65481E-01
    7132.729     -5.163   1.550  1.02588E+00  8.73702E-01  1.69447E-01
    7133.329     -4.563   1.600  1.03155E+00  8.80454E-01  1.67101E-01
    7133.948     -3.944   1.650  1.03341E+00  8.86702E-01  1.61235E-01
    7134.586     -3.305   1.700  1.03151E+00  8.92951E-01  1.51320E-01
    7135.243     -2.648   1.750  1.02744E+00  8.98656E-01  1.39839E-01
    7135.920     -1.972   1.800  1.02175E+00  9.04361E-01  1.26745E-01
    7136.615     -1.277   1.850  1.01556E+00  9.09480E-01  1.13948E-01
    7137.329     -0.562   1.900  1.00981E+00  9.14598E-01  1.01762E-01
    7138.063      0.171   1.950  1.00470E+00  9.19074E-01  9.11168E-02
    7138.815      0.924   2.000  1.00144E+00  9.23549E-01  8.25292E-02
    7139.587      1.695   2.050  9.98027E-01  9.27045E-01  7.49597E-02
    7140.377      2.486   2.100  9.96217E-01  9.30542E-01  6.91315E-02
    7141.187      3.295   2.150  9.95653E-01  9.34038E-01  6.46483E-02
    7142.016      4.124   2.200  9.95379E-01  9.37534E-01  6.04978E-02
    7142.863      4.972   2.250  9.88671E-01  9.39203E-01  5.16717E-02
    7143.730      5.839   2.300  9.78501E-01  9.40872E-01  3.92561E-02
