# comment: None given                          Feff8L (EXAFS)       0.1      
# Source:
# Structure Summary:  Fe4 O6
# Reduced formula:  Fe2O3
# space group: (R-3c), space number:  (167)
# abc:  5.091894   5.452030   5.091910
# angles: 62.162605 119.985134 117.837164
# sites: 10
# mp-19770
# POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
# Abs   Z=26 Rmt= 1.301 Rnm= 1.391 K  shell
# Pot 1 Z=26 Rmt= 1.304 Rnm= 1.397
# Pot 2 Z= 8 Rmt= 1.019 Rnm= 1.091
# Gam_ch=1.309E+00 H-L exch
# Mu=-9.980E-01 kf=2.225E+00 Vint=-1.987E+01 Rs_int= 1.630
# PATH  Rmax= 6.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000                                        Global_sig2= 0.00000
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00      3.00     2   1.9672
#           2       0.00000     28.22      1.00     2   2.1213
#           3       0.00000     56.41      2.00     2   2.1219
#           4       0.00000     15.09      1.00     2   2.8866
#           5       0.00000     13.79      1.00     2   2.9984
#           6       0.00000     13.79      1.00     2   2.9988
#           7       0.00000     13.78      1.00     2   2.9992
#           8       0.00000     10.22      1.00     2   3.3980
#           9       0.00000     20.43      2.00     2   3.3989
#          10       0.00000     18.15      2.00     2   3.4331
#          11       0.00000      9.06      1.00     2   3.4343
#          12       0.00000      5.16      4.00     3   3.4688
#          15       0.00000     15.96      2.00     2   3.6130
#          16       0.00000      7.98      1.00     2   3.6134
#          17       0.00000      4.20      2.00     3   3.6665
#          18       0.00000      4.20      2.00     3   3.6665
#          19       0.00000      4.20      2.00     3   3.6662
#          20       0.00000     32.60      4.00     2   3.7297
#          21       0.00000     16.29      2.00     2   3.7307
#          22       0.00000     13.85      2.00     2   3.8202
#          23       0.00000      6.92      1.00     2   3.8207
#          24       0.00000      7.06      4.00     3   3.9091
#          29       0.00000      5.44      3.00     4   3.9344
#          31       0.00000      6.85      1.00     2   4.0006
#          32       0.00000      8.73      2.00     3   4.0648
#          33       0.00000      8.73      2.00     3   4.0651
#          34       0.00000      8.73      2.00     3   4.0654
#          35       0.00000      5.96      2.00     4   4.0885
#          36       0.00000     11.91      4.00     4   4.0889
#          37       0.00000     16.90      3.00     2   4.1379
#          38       0.00000      4.82      6.00     3   4.2406
#          41       0.00000      9.36      2.00     2   4.4394
#          42       0.00000      4.68      1.00     2   4.4398
#          43       0.00000      4.95      6.00     3   4.4958
#          44       0.00000      4.13      4.00     3   4.5219
#          45       0.00000     12.02      4.00     3   4.5498
#          46       0.00000      6.01      2.00     3   4.5504
#          47       0.00000      4.31      1.00     2   4.5794
#          48       0.00000      4.31      1.00     2   4.5795
#          49       0.00000      4.31      1.00     2   4.5800
#          50       0.00000      6.31      2.00     3   4.6650
#          51       0.00000      6.31      2.00     3   4.6652
#          52       0.00000      6.31      2.00     3   4.6656
#          53       0.00000      4.07      1.00     2   4.6770
#          54       0.00000      8.14      2.00     2   4.6783
#          56       0.00000     11.76      3.00     2   4.7446
#          69       0.00000      8.47      6.00     3   4.9683
#          75       0.00000      7.17      2.00     3   5.0126
#          76       0.00000      7.16      2.00     3   5.0137
#          77       0.00000      7.16      2.00     3   5.0134
#          79       0.00000      7.62      2.00     4   5.0227
#          80       0.00000     14.73      4.00     2   5.0919
#          81       0.00000      7.36      2.00     2   5.0930
#          82       0.00000      5.05      4.00     3   5.2461
#          83       0.00000      4.22      4.00     3   5.2461
#          89       0.00000     18.37      6.00     2   5.4520
#          91       0.00000      5.04      2.00     2   5.5738
#          92       0.00000      4.24      4.00     3   5.5934
#          95       0.00000      5.36      4.00     3   5.6355
#          96       0.00000      7.23      3.00     2   5.6619
#          99       0.00000      5.04      2.00     2   5.8527
#         100       0.00000      5.03      2.00     2   5.8536
#         101       0.00000      5.03      2.00     2   5.8542
#         111       0.00000      4.24      2.00     2   5.9276
#    64/ 103 paths used
#  -----------------------------------------------------------------------
#       k          chi          mag           phase @#
     0.0500    1.998051E-01  8.794366E-01  2.291982E-01
     0.1000    2.038739E-01  8.790805E-01  2.340481E-01
     0.1500    2.159907E-01  8.780061E-01  2.485527E-01
     0.2000    2.280309E-01  8.769021E-01  2.630652E-01
     0.2500    2.478652E-01  8.750289E-01  2.871970E-01
     0.3000    2.674613E-01  8.730750E-01  3.113500E-01
     0.3500    2.943658E-01  8.702720E-01  3.450521E-01
     0.4000    3.207326E-01  8.673142E-01  3.787935E-01
     0.4500    3.536379E-01  8.634410E-01  4.219806E-01
     0.5000    3.855117E-01  8.593188E-01  4.652259E-01
     0.5500    4.227406E-01  8.540684E-01  5.178035E-01
     0.6000    4.581869E-01  8.484602E-01  5.704628E-01
     0.6500    4.974031E-01  8.416137E-01  6.323118E-01
     0.7000    5.337933E-01  8.342888E-01  6.942618E-01
     0.7500    5.718727E-01  8.255637E-01  7.652339E-01
     0.8000    6.057946E-01  8.162340E-01  8.363210E-01
     0.8500    6.388889E-01  8.053289E-01  9.162540E-01
     0.9000    6.662800E-01  7.936920E-01  9.963057E-01
     0.9500    6.900272E-01  7.803022E-01  1.085009E+00
     1.0000    7.064844E-01  7.660586E-01  1.173816E+00
     1.0500    7.164493E-01  7.498867E-01  1.271046E+00
     1.1000    7.177872E-01  7.327536E-01  1.368337E+00
     1.1500    7.101733E-01  7.135277E-01  1.473792E+00
     1.2000    6.932321E-01  6.932567E-01  1.579219E+00
     1.2500    6.657905E-01  6.707513E-01  1.692493E+00
     1.3000    6.294014E-01  6.471543E-01  1.805567E+00
     1.3500    5.824324E-01  6.212246E-01  1.926059E+00
     1.4000    5.283622E-01  5.942138E-01  2.046046E+00
     1.4500    4.655231E-01  5.648328E-01  2.172842E+00
     1.5000    3.990529E-01  5.344624E-01  2.298591E+00
     1.5500    3.276073E-01  5.017855E-01  2.430208E+00
     1.6000    2.573573E-01  4.683261E-01  2.559796E+00
     1.6500    1.874242E-01  4.327475E-01  2.693660E+00
     1.7000    1.240342E-01  3.967558E-01  2.823641E+00
     1.7500    6.662433E-02  3.590455E-01  2.954951E+00
     1.8000    2.023815E-02  3.215414E-01  3.078610E+00
     1.8500   -1.580943E-02  2.830505E-01  3.197475E+00
     1.9000   -3.883920E-02  2.458437E-01  3.300241E+00
     1.9500   -5.018033E-02  2.090979E-01  3.383943E+00
     2.0000   -5.022992E-02  1.758265E-01  3.431307E+00
     2.0500   -4.099441E-02  1.456510E-01  3.426904E+00
     2.1000   -2.567200E-02  1.244190E-01  3.349421E+00
     2.1500   -8.463906E-03  1.153736E-01  3.215019E+00
     2.2000    6.606815E-03  1.191743E-01  3.086126E+00
     2.2500    1.789866E-02  1.333858E-01  3.007000E+00
     2.3000    1.997722E-02  1.541388E-01  3.011622E+00
     2.3500    1.077315E-02  1.770365E-01  3.080702E+00
     2.4000   -1.010419E-02  1.994320E-01  3.192279E+00
     2.4500   -4.141433E-02  2.202119E-01  3.330785E+00
     2.5000   -8.101792E-02  2.368075E-01  3.490771E+00
     2.5500   -1.240241E-01  2.486654E-01  3.663759E+00
     2.6000   -1.652278E-01  2.556475E-01  3.844333E+00
     2.6500   -1.981789E-01  2.575609E-01  4.019564E+00
     2.7000   -2.225455E-01  2.566589E-01  4.190917E+00
     2.7500   -2.377016E-01  2.534876E-01  4.357615E+00
     2.8000   -2.439751E-01  2.486002E-01  4.519192E+00
     2.8500   -2.447271E-01  2.448564E-01  4.679885E+00
     2.9000   -2.384475E-01  2.403649E-01  4.838783E+00
     2.9500   -2.259230E-01  2.353111E-01  4.995812E+00
     3.0000   -2.081007E-01  2.298604E-01  5.151017E+00
     3.0500   -1.855186E-01  2.240361E-01  5.307521E+00
     3.1000   -1.595453E-01  2.180155E-01  5.462215E+00
     3.1500   -1.312438E-01  2.119138E-01  5.615301E+00
     3.2000   -1.015736E-01  2.058164E-01  5.767058E+00
     3.2500   -7.133199E-02  1.997885E-01  5.918091E+00
     3.3000   -4.142365E-02  1.938992E-01  6.067891E+00
     3.3500   -1.246870E-02  1.881837E-01  6.216879E+00
