# comment: None given                          Feff8L (EXAFS)       0.1      
# Source:
# Structure Summary:  Fe4 O6
# Reduced formula:  Fe2O3
# space group: (R-3c), space number:  (167)
# abc:  5.091894   5.452030   5.091910
# angles: 62.162605 119.985134 117.837164
# sites: 10
# mp-19770
# POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
# Abs   Z=26 Rmt= 1.301 Rnm= 1.391 K  shell
# Pot 1 Z=26 Rmt= 1.304 Rnm= 1.397
# Pot 2 Z= 8 Rmt= 1.019 Rnm= 1.091
# Gam_ch=1.309E+00 H-L exch
# Mu=-9.980E-01 kf=2.225E+00 Vint=-1.987E+01 Rs_int= 1.630
# PATH  Rmax= 6.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000                                        Global_sig2= 0.00000
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00      3.00     2   1.9672
#           2       0.00000     28.22      1.00     2   2.1213
#           3       0.00000     56.41      2.00     2   2.1219
#           4       0.00000     15.09      1.00     2   2.8866
#           5       0.00000     13.79      1.00     2   2.9984
#           6       0.00000     13.79      1.00     2   2.9988
#           7       0.00000     13.78      1.00     2   2.9992
#           8       0.00000     10.22      1.00     2   3.3980
#           9       0.00000     20.43      2.00     2   3.3989
#          10       0.00000     18.15      2.00     2   3.4331
#          11       0.00000      9.06      1.00     2   3.4343
#          12       0.00000      5.16      4.00     3   3.4688
#          15       0.00000     15.96      2.00     2   3.6130
#          16       0.00000      7.98      1.00     2   3.6134
#          17       0.00000      4.20      2.00     3   3.6665
#          18       0.00000      4.20      2.00     3   3.6665
#          19       0.00000      4.20      2.00     3   3.6662
#          20       0.00000     32.60      4.00     2   3.7297
#          21       0.00000     16.29      2.00     2   3.7307
#          22       0.00000     13.85      2.00     2   3.8202
#          23       0.00000      6.92      1.00     2   3.8207
#          24       0.00000      7.06      4.00     3   3.9091
#          29       0.00000      5.44      3.00     4   3.9344
#          31       0.00000      6.85      1.00     2   4.0006
#          32       0.00000      8.73      2.00     3   4.0648
#          33       0.00000      8.73      2.00     3   4.0651
#          34       0.00000      8.73      2.00     3   4.0654
#          35       0.00000      5.96      2.00     4   4.0885
#          36       0.00000     11.91      4.00     4   4.0889
#          37       0.00000     16.90      3.00     2   4.1379
#          38       0.00000      4.82      6.00     3   4.2406
#          41       0.00000      9.36      2.00     2   4.4394
#          42       0.00000      4.68      1.00     2   4.4398
#          43       0.00000      4.95      6.00     3   4.4958
#          44       0.00000      4.13      4.00     3   4.5219
#          45       0.00000     12.02      4.00     3   4.5498
#          46       0.00000      6.01      2.00     3   4.5504
#          47       0.00000      4.31      1.00     2   4.5794
#          48       0.00000      4.31      1.00     2   4.5795
#          49       0.00000      4.31      1.00     2   4.5800
#          50       0.00000      6.31      2.00     3   4.6650
#          51       0.00000      6.31      2.00     3   4.6652
#          52       0.00000      6.31      2.00     3   4.6656
#          53       0.00000      4.07      1.00     2   4.6770
#          54       0.00000      8.14      2.00     2   4.6783
#          56       0.00000     11.76      3.00     2   4.7446
#          69       0.00000      8.47      6.00     3   4.9683
#          75       0.00000      7.17      2.00     3   5.0126
#          76       0.00000      7.16      2.00     3   5.0137
#          77       0.00000      7.16      2.00     3   5.0134
#          79       0.00000      7.62      2.00     4   5.0227
#          80       0.00000     14.73      4.00     2   5.0919
#          81       0.00000      7.36      2.00     2   5.0930
#          82       0.00000      5.05      4.00     3   5.2461
#          83       0.00000      4.22      4.00     3   5.2461
#          89       0.00000     18.37      6.00     2   5.4520
#          91       0.00000      5.04      2.00     2   5.5738
#          92       0.00000      4.24      4.00     3   5.5934
#          95       0.00000      5.36      4.00     3   5.6355
#          96       0.00000      7.23      3.00     2   5.6619
#          99       0.00000      5.04      2.00     2   5.8527
#         100       0.00000      5.03      2.00     2   5.8536
#         101       0.00000      5.03      2.00     2   5.8542
#         111       0.00000      4.24      2.00     2   5.9276
#    64/ 103 paths used
#  xsedge+50, used to normalize mu           3.2008E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
    7116.524     -0.988   0.050  6.52309E-01  4.70953E-01  1.99805E-01
    7116.552     -0.960   0.100  6.64579E-01  4.79460E-01  2.03874E-01
    7116.600     -0.912   0.150  7.00818E-01  5.04474E-01  2.15991E-01
    7116.666     -0.846   0.200  7.37012E-01  5.29489E-01  2.28031E-01
    7116.752     -0.760   0.250  7.92883E-01  5.66894E-01  2.47865E-01
    7116.857     -0.655   0.300  8.48604E-01  6.04299E-01  2.67461E-01
    7116.981     -0.531   0.350  9.13717E-01  6.44165E-01  2.94366E-01
    7117.124     -0.388   0.400  9.78459E-01  6.84032E-01  3.20733E-01
    7117.286     -0.226   0.450  1.04312E+00  7.17493E-01  3.53638E-01
    7117.466     -0.046   0.500  1.10702E+00  7.50955E-01  3.85512E-01
    7117.667      0.155   0.550  1.16785E+00  7.76019E-01  4.22741E-01
    7117.886      0.374   0.600  1.22727E+00  8.01083E-01  4.58187E-01
    7118.124      0.612   0.650  1.28405E+00  8.19571E-01  4.97403E-01
    7118.381      0.869   0.700  1.33846E+00  8.38058E-01  5.33793E-01
    7118.657      1.145   0.750  1.39045E+00  8.52121E-01  5.71873E-01
    7118.952      1.440   0.800  1.43881E+00  8.66184E-01  6.05795E-01
    7119.267      1.755   0.850  1.48384E+00  8.77340E-01  6.38889E-01
    7119.600      2.088   0.900  1.52371E+00  8.88496E-01  6.66280E-01
    7119.952      2.441   0.950  1.55836E+00  8.97680E-01  6.90027E-01
    7120.324      2.812   1.000  1.58621E+00  9.06865E-01  7.06484E-01
    7120.714      3.203   1.050  1.60645E+00  9.14628E-01  7.16449E-01
    7121.124      3.612   1.100  1.61841E+00  9.22391E-01  7.17787E-01
    7121.553      4.041   1.150  1.62044E+00  9.29052E-01  7.10173E-01
    7122.000      4.488   1.200  1.61329E+00  9.35712E-01  6.93232E-01
    7122.467      4.955   1.250  1.59461E+00  9.41448E-01  6.65790E-01
    7122.953      5.441   1.300  1.56691E+00  9.47185E-01  6.29401E-01
    7123.458      5.946   1.350  1.52747E+00  9.52098E-01  5.82432E-01
    7123.982      6.470   1.400  1.48068E+00  9.57010E-01  5.28362E-01
    7124.524      7.012   1.450  1.42384E+00  9.61151E-01  4.65523E-01
    7125.086      7.574   1.500  1.36303E+00  9.65293E-01  3.99053E-01
    7125.667      8.155   1.550  1.29597E+00  9.68693E-01  3.27607E-01
    7126.268      8.756   1.600  1.22978E+00  9.72092E-01  2.57357E-01
    7126.887      9.375   1.650  1.16275E+00  9.74767E-01  1.87424E-01
    7127.525     10.013   1.700  1.10205E+00  9.77442E-01  1.24034E-01
    7128.182     10.670   1.750  1.04641E+00  9.79403E-01  6.66243E-02
    7128.858     11.346   1.800  1.00174E+00  9.81365E-01  2.02382E-02
    7129.554     12.042   1.850  9.66700E-01  9.82623E-01 -1.58094E-02
    7130.268     12.756   1.900  9.44746E-01  9.83881E-01 -3.88392E-02
    7131.001     13.489   1.950  9.33862E-01  9.84410E-01 -5.01803E-02
    7131.754     14.242   2.000  9.34355E-01  9.84939E-01 -5.02299E-02
    7132.525     15.013   2.050  9.43277E-01  9.84507E-01 -4.09944E-02
    7133.316     15.804   2.100  9.58288E-01  9.84074E-01 -2.56720E-02
    7134.126     16.614   2.150  9.75151E-01  9.83642E-01 -8.46391E-03
    7134.954     17.442   2.200  9.89828E-01  9.83209E-01  6.60681E-03
    7135.802     18.290   2.250  9.98402E-01  9.80539E-01  1.78987E-02
    7136.669     19.157   2.300  9.97730E-01  9.77869E-01  1.99772E-02
    7137.555     20.043   2.350  9.85868E-01  9.75199E-01  1.07731E-02
    7138.459     20.947   2.400  9.62560E-01  9.72529E-01 -1.01042E-02
    7139.383     21.871   2.450  9.31817E-01  9.72622E-01 -4.14143E-02
    7140.326     22.814   2.500  8.92991E-01  9.72715E-01 -8.10179E-02
    7141.288     23.776   2.550  8.50921E-01  9.72809E-01 -1.24024E-01
    7142.269     24.757   2.600  8.10729E-01  9.72902E-01 -1.65228E-01
    7143.270     25.758   2.650  7.82308E-01  9.77386E-01 -1.98179E-01
    7144.289     26.777   2.700  7.62174E-01  9.81871E-01 -2.22546E-01
