PATH  Rmax= 6.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 -----------------------------------------------------------------------
  pathindex     sig2   amp ratio    deg    nlegs  r effective
        1     0.00000   100.000     2.000     2   1.9210
        2     0.00000    49.977     1.000     2   1.9214
        3     0.00000    49.963     1.000     2   1.9217
        4     0.00000     4.942     2.000     3   3.4892
        5     0.00000     4.932     2.000     3   3.4891
        6     0.00000     9.888     4.000     3   3.4896
        7     0.00000     4.934     2.000     3   3.4900
        8     0.00000     4.989     2.000     3   3.4913
        9     0.00000    13.565     1.000     2   3.4979
       10     0.00000    27.092     2.000     2   3.5000
       11     0.00000    27.084     2.000     2   3.5004
       12     0.00000    27.068     2.000     2   3.5012
       13     0.00000    13.533     1.000     2   3.5014
       14     0.00000    40.591     3.000     2   3.5016
       15     0.00000    13.527     1.000     2   3.5019
       16     0.00000    24.343     2.000     2   3.5140
       17     0.00000    12.144     1.000     2   3.5172
       18     0.00000    24.273     2.000     2   3.5180
       19     0.00000    12.133     1.000     2   3.5184
       20     0.00000    24.261     2.000     2   3.5187
       21     0.00000    12.127     1.000     2   3.5191
       22     0.00000    12.123     1.000     2   3.5196
       23     0.00000    12.116     1.000     2   3.5204
       24     0.00000    12.112     1.000     2   3.5209
       25     0.00000    48.716     4.000     2   3.6564
       26     0.00000     5.468     2.000     3   3.7388
       27     0.00000     5.460     2.000     3   3.7388
       28     0.00000     5.462     2.000     3   3.7399
       29     0.00000     5.458     2.000     3   3.7400
       30     0.00000     5.460     2.000     3   3.7396
       31     0.00000     5.459     2.000     3   3.7403
       32     0.00000     5.453     2.000     3   3.7405
       33     0.00000     5.454     2.000     3   3.7408
       34     0.00000     5.452     2.000     3   3.7410
       35     0.00000     5.449     2.000     3   3.7413
       36     0.00000     5.448     2.000     3   3.7408
       37     0.00000     5.448     2.000     3   3.7416
       38     0.00000     2.728     1.000     4   3.8413
       39     0.00000     2.726     1.000     4   3.8421
       40     0.00000     2.724     1.000     4   3.8429
       41     0.00000     2.722     1.000     4   3.8434
       54     0.00000     6.796     6.000     3   4.2137
       55     0.00000    25.113     4.000     2   4.5384
       56     0.00000    12.553     2.000     2   4.5388
       57     0.00000     6.271     1.000     2   4.5402
       58     0.00000     6.270     1.000     2   4.5405
       59     0.00000    18.803     3.000     2   4.5412
       60     0.00000     6.267     1.000     2   4.5414
       61     0.00000    16.381     4.000     3   4.6449
       62     0.00000     8.139     2.000     3   4.6462
       63     0.00000     8.141     2.000     3   4.6465
