 Calculating EXAFS parameters...
    Curved wave chi amplitude ratio   4.00%
    Discard feff.dat for paths with cw ratio <   2.67%
    path  cw ratio     deg    nleg  reff
      1   100.000     2.000     2   1.9210
      2    49.977     1.000     2   1.9214
      3    49.963     1.000     2   1.9217
      4     4.942     2.000     3   3.4892
      5     4.932     2.000     3   3.4891
      6     9.888     4.000     3   3.4896
      7     4.934     2.000     3   3.4900
      8     4.989     2.000     3   3.4913
      9    13.565     1.000     2   3.4979
     10    27.092     2.000     2   3.5000
     11    27.084     2.000     2   3.5004
     12    27.068     2.000     2   3.5012
     13    13.533     1.000     2   3.5014
     14    40.591     3.000     2   3.5016
     15    13.527     1.000     2   3.5019
     16    24.343     2.000     2   3.5140
     17    12.144     1.000     2   3.5172
     18    24.273     2.000     2   3.5180
     19    12.133     1.000     2   3.5184
     20    24.261     2.000     2   3.5187
     21    12.127     1.000     2   3.5191
     22    12.123     1.000     2   3.5196
     23    12.116     1.000     2   3.5204
     24    12.112     1.000     2   3.5209
     25    48.716     4.000     2   3.6564
     26     5.468     2.000     3   3.7388
     27     5.460     2.000     3   3.7388
     28     5.462     2.000     3   3.7399
     29     5.458     2.000     3   3.7400
     30     5.460     2.000     3   3.7396
     31     5.459     2.000     3   3.7403
     32     5.453     2.000     3   3.7405
     33     5.454     2.000     3   3.7408
     34     5.452     2.000     3   3.7410
     35     5.449     2.000     3   3.7413
     36     5.448     2.000     3   3.7408
     37     5.448     2.000     3   3.7416
     38     2.728     1.000     4   3.8413
     39     2.726     1.000     4   3.8421
     40     2.724     1.000     4   3.8429
     41     2.722     1.000     4   3.8434
     42     1.112     1.000     4   3.9785 neglected
     43     1.108     1.000     4   3.9781 neglected
     44     1.112     1.000     4   3.9788 neglected
     45     1.106     1.000     4   3.9791 neglected
     46     1.108     1.000     4   3.9792 neglected
     47     1.098     1.000     4   3.9797 neglected
     48     1.107     1.000     4   3.9800 neglected
     49     1.106     1.000     4   3.9804 neglected
