# comment: None given                          Feff8L (EXAFS)       0.1      
# Source:
# Structure Summary:  Fe6 O8
# Reduced formula:  Fe3O4
# space group: (F-43m), space number:  (216)
# abc:  6.432635   6.432635   6.432635
# angles: 60.000000  60.000000  60.000000
# sites: 14
# mp-611817
# POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
# Abs   Z=26 Rmt= 1.319 Rnm= 1.463 K  shell
# Pot 1 Z=26 Rmt= 1.382 Rnm= 1.457
# Pot 2 Z= 8 Rmt= 1.018 Rnm= 1.105
# Gam_ch=1.309E+00 H-L exch
# Mu=-2.234E+00 kf=2.107E+00 Vint=-1.914E+01 Rs_int= 1.721
# PATH  Rmax= 6.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000                                        Global_sig2= 0.00000
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00      4.00     2   2.0131
#           2       0.00000     13.69     12.00     3   3.6569
#           3       0.00000     77.84     12.00     2   3.7280
#           4       0.00000     64.28     12.00     2   3.8194
#           5       0.00000     37.06     24.00     3   3.9058
#           6       0.00000      5.12      4.00     4   4.0263
#           7       0.00000      4.78     12.00     4   4.0263
#           8       0.00000     11.18     12.00     4   4.0836
#           9       0.00000     24.84     48.00     3   4.5283
#          10       0.00000     23.43      6.00     2   4.5486
#          12       0.00000     32.52     12.00     2   4.9279
#          13       0.00000     13.77     48.00     3   4.9619
#          14       0.00000     40.47     24.00     3   5.0431
#          15       0.00000      9.53     24.00     3   5.0513
#          16       0.00000      6.87     24.00     3   5.0643
#          17       0.00000     16.50     12.00     4   5.1583
#          18       0.00000      6.43     24.00     3   5.1629
#          20       0.00000      7.81     48.00     4   5.2421
#          21       0.00000      5.45     24.00     3   5.2737
#          22       0.00000      4.51     24.00     3   5.2895
#          23       0.00000      8.61     12.00     4   5.3006
#          24       0.00000     13.68     48.00     3   5.3632
#          25       0.00000     14.33     48.00     3   5.3921
#          26       0.00000      9.66     48.00     4   5.4784
#          27       0.00000     11.55     48.00     4   5.5410
#          28       0.00000      7.16     48.00     4   5.5495
#          30       0.00000      4.54     48.00     4   5.5699
#          31       0.00000      8.97      4.00     2   5.5758
#          32       0.00000     19.98      8.00     3   5.5758
#          33       0.00000     11.11      4.00     4   5.5758
#          34       0.00000      9.49     48.00     5   5.6562
#          35       0.00000      5.28     24.00     5   5.6700
#          36       0.00000     20.45     24.00     3   5.7244
#          37       0.00000      4.12     48.00     3   5.7275
#          39       0.00000     21.33     12.00     2   5.7279
#          41       0.00000      4.65     24.00     4   5.7411
#          43       0.00000      8.32     24.00     4   5.8325
#          44       0.00000      7.21     48.00     4   5.8325
#          45       0.00000      6.98     24.00     3   5.9162
#          50       0.00000      7.03     48.00     3   5.9857
#    40/  46 paths used
#  -----------------------------------------------------------------------
#       k          chi          mag           phase @#
     0.0500   -4.678479E-01  8.359407E-01 -5.939832E-01
     0.1000   -4.631944E-01  8.364120E-01 -5.869060E-01
     0.1500   -4.490863E-01  8.377606E-01 -5.657577E-01
     0.2000   -4.346537E-01  8.389927E-01 -5.445884E-01
     0.2500   -4.100311E-01  8.408267E-01 -5.093987E-01
     0.3000   -3.846013E-01  8.423414E-01 -4.741541E-01
     0.3500   -3.480167E-01  8.440175E-01 -4.250139E-01
     0.4000   -3.101395E-01  8.450820E-01 -3.757748E-01
     0.4500   -2.602700E-01  8.457273E-01 -3.128242E-01
     0.5000   -2.089293E-01  8.453942E-01 -2.497259E-01
     0.5500   -1.453717E-01  8.439623E-01 -1.731124E-01
     0.6000   -8.087827E-02  8.411312E-01 -9.630296E-02
     0.6500   -5.336803E-03  8.364644E-01 -6.380234E-03
     0.7000    6.945718E-02  8.299623E-01  8.378514E-02
     0.7500    1.524124E-01  8.208923E-01  1.867504E-01
     0.8000    2.314972E-01  8.095678E-01  2.899993E-01
     0.8500    3.137180E-01  7.950292E-01  4.056318E-01
     0.9000    3.875787E-01  7.778808E-01  5.215786E-01
     0.9500    4.578094E-01  7.569650E-01  6.495097E-01
     1.0000    5.144958E-01  7.332011E-01  7.777973E-01
     1.0500    5.601585E-01  7.053501E-01  9.176186E-01
     1.1000    5.877566E-01  6.745765E-01  1.057839E+00
     1.1500    5.982825E-01  6.396466E-01  1.209199E+00
     1.2000    5.887290E-01  6.019234E-01  1.361030E+00
     1.2500    5.596305E-01  5.602522E-01  1.523681E+00
     1.3000    5.126716E-01  5.161500E-01  1.686957E+00
     1.3500    4.490411E-01  4.686305E-01  1.860955E+00
     1.4000    3.747279E-01  4.192800E-01  2.035975E+00
     1.4500    2.921234E-01  3.673230E-01  2.222129E+00
     1.5000    2.098926E-01  3.143574E-01  2.410494E+00
     1.5500    1.312474E-01  2.598773E-01  2.612169E+00
     1.6000    6.480199E-02  2.054071E-01  2.820630E+00
     1.6500    1.324938E-02  1.508130E-01  3.053626E+00
     1.7000   -1.781555E-02  9.761737E-02  3.325125E+00
     1.7500   -2.795517E-02  4.736890E-02  3.772848E+00
     1.8000   -1.656898E-02  2.273030E-02  5.466416E+00
     1.8500    1.330481E-02  6.083917E-02  6.503655E+00
     1.9000    5.744899E-02  1.047003E-01  6.863993E+00
     1.9500    1.096102E-01  1.459499E-01  7.132780E+00
     2.0000    1.631477E-01  1.838000E-01  7.375375E+00
     2.0500    2.105196E-01  2.169476E-01  7.609945E+00
     2.1000    2.458555E-01  2.458861E-01  7.838191E+00
     2.1500    2.645633E-01  2.704230E-01  8.062534E+00
     2.2000    2.639578E-01  2.904142E-01  8.284136E+00
     2.2500    2.414189E-01  3.027409E-01  8.501731E+00
     2.3000    2.024878E-01  3.107216E-01  8.714995E+00
     2.3500    1.509833E-01  3.147625E-01  8.924495E+00
     2.4000    9.137352E-02  3.152612E-01  9.130724E+00
