# comment: None given                          Feff8L (EXAFS)       0.1      
# Source:
# Structure Summary:  Fe6 O8
# Reduced formula:  Fe3O4
# space group: (F-43m), space number:  (216)
# abc:  6.432635   6.432635   6.432635
# angles: 60.000000  60.000000  60.000000
# sites: 14
# mp-611817
# POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
# Abs   Z=26 Rmt= 1.319 Rnm= 1.463 K  shell
# Pot 1 Z=26 Rmt= 1.382 Rnm= 1.457
# Pot 2 Z= 8 Rmt= 1.018 Rnm= 1.105
# Gam_ch=1.309E+00 H-L exch
# Mu=-2.234E+00 kf=2.107E+00 Vint=-1.914E+01 Rs_int= 1.721
# PATH  Rmax= 6.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000                                        Global_sig2= 0.00000
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00      4.00     2   2.0131
#           2       0.00000     13.69     12.00     3   3.6569
#           3       0.00000     77.84     12.00     2   3.7280
#           4       0.00000     64.28     12.00     2   3.8194
#           5       0.00000     37.06     24.00     3   3.9058
#           6       0.00000      5.12      4.00     4   4.0263
#           7       0.00000      4.78     12.00     4   4.0263
#           8       0.00000     11.18     12.00     4   4.0836
#           9       0.00000     24.84     48.00     3   4.5283
#          10       0.00000     23.43      6.00     2   4.5486
#          12       0.00000     32.52     12.00     2   4.9279
#          13       0.00000     13.77     48.00     3   4.9619
#          14       0.00000     40.47     24.00     3   5.0431
#          15       0.00000      9.53     24.00     3   5.0513
#          16       0.00000      6.87     24.00     3   5.0643
#          17       0.00000     16.50     12.00     4   5.1583
#          18       0.00000      6.43     24.00     3   5.1629
#          20       0.00000      7.81     48.00     4   5.2421
#          21       0.00000      5.45     24.00     3   5.2737
#          22       0.00000      4.51     24.00     3   5.2895
#          23       0.00000      8.61     12.00     4   5.3006
#          24       0.00000     13.68     48.00     3   5.3632
#          25       0.00000     14.33     48.00     3   5.3921
#          26       0.00000      9.66     48.00     4   5.4784
#          27       0.00000     11.55     48.00     4   5.5410
#          28       0.00000      7.16     48.00     4   5.5495
#          30       0.00000      4.54     48.00     4   5.5699
#          31       0.00000      8.97      4.00     2   5.5758
#          32       0.00000     19.98      8.00     3   5.5758
#          33       0.00000     11.11      4.00     4   5.5758
#          34       0.00000      9.49     48.00     5   5.6562
#          35       0.00000      5.28     24.00     5   5.6700
#          36       0.00000     20.45     24.00     3   5.7244
#          37       0.00000      4.12     48.00     3   5.7275
#          39       0.00000     21.33     12.00     2   5.7279
#          41       0.00000      4.65     24.00     4   5.7411
#          43       0.00000      8.32     24.00     4   5.8325
#          44       0.00000      7.21     48.00     4   5.8325
#          45       0.00000      6.98     24.00     3   5.9162
#          50       0.00000      7.03     48.00     3   5.9857
#    40/  46 paths used
#  xsedge+50, used to normalize mu           3.2217E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
    7115.690     -2.225   0.050  4.91591E-02  4.26844E-01 -4.67848E-01
    7115.719     -2.196   0.100  6.03243E-02  4.34503E-01 -4.63194E-01
    7115.767     -2.149   0.150  9.35475E-02  4.57050E-01 -4.49086E-01
    7115.833     -2.082   0.200  1.27079E-01  4.79598E-01 -4.34654E-01
    7115.919     -1.996   0.250  1.79813E-01  5.13445E-01 -4.10031E-01
    7116.024     -1.892   0.300  2.33336E-01  5.47292E-01 -3.84601E-01
    7116.148     -1.768   0.350  2.98355E-01  5.83708E-01 -3.48017E-01
    7116.290     -1.625   0.400  3.64704E-01  6.20124E-01 -3.10140E-01
    7116.452     -1.463   0.450  4.35761E-01  6.51291E-01 -2.60270E-01
    7116.633     -1.282   0.500  5.08495E-01  6.82457E-01 -2.08929E-01
    7116.833     -1.082   0.550  5.84790E-01  7.06610E-01 -1.45372E-01
    7117.052     -0.863   0.600  6.62554E-01  7.30763E-01 -8.08783E-02
    7117.291     -0.625   0.650  7.44961E-01  7.49494E-01 -5.33680E-03
    7117.548     -0.368   0.700  8.27644E-01  7.68225E-01  6.94572E-02
    7117.824     -0.091   0.750  9.14806E-01  7.83405E-01  1.52412E-01
    7118.119      0.204   0.800  9.99708E-01  7.98585E-01  2.31497E-01
    7118.434      0.518   0.850  1.08630E+00  8.11514E-01  3.13718E-01
    7118.767      0.852   0.900  1.16668E+00  8.24442E-01  3.87579E-01
    7119.119      1.204   0.950  1.24354E+00  8.35895E-01  4.57809E-01
    7119.491      1.576   1.000  1.30929E+00  8.47348E-01  5.14496E-01
    7119.881      1.966   1.050  1.36493E+00  8.57752E-01  5.60158E-01
    7120.291      2.376   1.100  1.40476E+00  8.68156E-01  5.87757E-01
    7120.720      2.804   1.150  1.42846E+00  8.77726E-01  5.98283E-01
    7121.167      3.252   1.200  1.43368E+00  8.87297E-01  5.88729E-01
    7121.634      3.719   1.250  1.41962E+00  8.96119E-01  5.59630E-01
    7122.120      4.204   1.300  1.38829E+00  9.04941E-01  5.12672E-01
    7122.625      4.709   1.350  1.33953E+00  9.13025E-01  4.49041E-01
    7123.148      5.233   1.400  1.27966E+00  9.21108E-01  3.74728E-01
    7123.691      5.776   1.450  1.20983E+00  9.28422E-01  2.92123E-01
    7124.253      6.338   1.500  1.13929E+00  9.35736E-01  2.09893E-01
    7124.834      6.919   1.550  1.07026E+00  9.42221E-01  1.31247E-01
    7125.434      7.519   1.600  1.01230E+00  9.48707E-01  6.48020E-02
    7126.054      8.138   1.650  9.67367E-01  9.54299E-01  1.32494E-02
    7126.692      8.776   1.700  9.42230E-01  9.59890E-01 -1.78155E-02
    7127.349      9.434   1.750  9.36698E-01  9.64520E-01 -2.79552E-02
    7128.025     10.110   1.800  9.52594E-01  9.69149E-01 -1.65690E-02
    7128.721     10.805   1.850  9.86077E-01  9.72745E-01  1.33048E-02
    7129.435     11.520   1.900  1.03407E+00  9.76342E-01  5.74490E-02
