
======== running Feff module feff8l_genfmt ========
 Calculating EXAFS parameters...
    Curved wave chi amplitude ratio   4.00%
    Discard feff.dat for paths with cw ratio <   2.67%
    path  cw ratio     deg    nleg  reff
      1   100.000     6.000     2   2.0161
      2    24.504     2.000     2   2.5022
      3    59.952     6.000     2   2.7384
      4     6.166    12.000     3   3.2672
      5     7.878    12.000     3   3.3853
      6    10.045    24.000     3   3.3853
      7    30.516     6.000     2   3.4005
      8     7.115    12.000     3   3.4960
      9    57.596    12.000     2   3.7094
     10    25.277    24.000     3   3.8708
     11    15.640     6.000     3   4.0323
     12    15.052     6.000     4   4.0323
     13     4.842     6.000     4   4.0323
     14     7.159    12.000     4   4.0323
     15    19.570     6.000     2   4.0726
     16     4.623    24.000     3   4.0775
     17    11.172    24.000     3   4.0775
     18    16.756    24.000     3   4.0775
     19     5.958    12.000     3   4.2955
     20    11.159    12.000     3   4.2955
     21    32.814    12.000     2   4.3660
     22     6.021    24.000     3   4.4750
     23     6.429    24.000     3   4.4750
     24     1.902    12.000     4   4.5183 neglected
     25     1.781     6.000     4   4.5183 neglected
     26    10.502    24.000     3   4.5243
     27    11.778    24.000     3   4.5603
     28    20.600    24.000     3   4.5603
     29    27.562    24.000     3   4.5603
     30     4.944    24.000     3   4.5630
     31    15.120     6.000     2   4.7430
     32     3.836    24.000     4   4.7545
     33     6.700    24.000     4   4.7545
     34     6.484    12.000     4   4.7545
     35     9.082    12.000     4   4.7545
     36     3.526    12.000     4   4.7545
     37     3.909    24.000     4   4.7545
     38     9.687    24.000     4   4.7545
     39     7.967    24.000     3   4.8991
     40    12.124     6.000     2   4.9077
     41    23.293    12.000     3   4.9418
     42     6.297    12.000     4   4.9759
     43    11.782     6.000     4   4.9759
     44     1.196    12.000     4   4.9759 neglected
     45     4.356     2.000     2   5.0043
     46    12.782     4.000     3   5.0043
     47     2.729     2.000     4   5.0043
     48    10.674     2.000     4   5.0043
     49     8.228    24.000     3   5.0458
     50     3.127    48.000     3   5.0786
     51     5.431    24.000     3   5.0786
     52     5.299    12.000     3   5.0798
     53     3.607    12.000     3   5.0799
     54     5.019    12.000     3   5.0799
     55     6.249    24.000     3   5.1099
     56    12.766    24.000     3   5.1454
     57     5.705    24.000     4   5.2072
     58     6.213    24.000     3   5.2525
     59     4.010    24.000     3   5.3166
     60     8.486    24.000     3   5.3166
     61     3.703    24.000     4   5.3507
     62     8.432    24.000     4   5.3507
     63    21.604    12.000     2   5.3626
     64    19.060    12.000     3   5.3896
     65    17.359    12.000     3   5.3896
     66     3.484    24.000     4   5.4167
     67     8.874     6.000     4   5.4167
     68     7.807     6.000     4   5.4167
     69     3.734    24.000     4   5.4167
     70    10.187     6.000     2   5.4768
     71     4.176     6.000     3   5.4768
     72    27.764    12.000     3   5.4768
     73     5.319     6.000     4   5.4768
     74    21.613     6.000     4   5.4768
     75     7.964    24.000     4   5.4780
     76     8.275    24.000     5   5.5122
     77     2.852    24.000     4   5.5574
     78    16.910    12.000     2   5.6200
     79    11.078    24.000     3   5.6727
     80    23.243    24.000     3   5.6727
     81    18.175    12.000     2   5.7046
     82     6.965    24.000     4   5.7255
     83     2.669    24.000     4   5.7255
     84     8.676    12.000     4   5.7255
     85    12.861    24.000     3   5.8342
     86     5.881    24.000     4   5.8342
     87    14.394    24.000     4   5.8342
     88    15.267    12.000     2   5.8361
     89     3.348    24.000     3   5.8724
     90     4.655    24.000     3   5.8724
     91     3.440    24.000     4   5.8870
     92     9.628    24.000     4   5.8870
     93     3.682    24.000     5   5.8870
     94     2.729    24.000     5   5.8870
     95    11.479    24.000     5   5.8870
     96     1.169    24.000     5   5.8870 neglected
     97     1.249    24.000     5   5.8870 neglected
     98     1.159    24.000     5   5.8870 neglected
     99    11.025    24.000     3   5.8967
    100     8.336    24.000     3   5.8967
    101     7.109    24.000     3   5.8967
    102     3.966    48.000     3   5.9052
    103     5.843    48.000     3   5.9052
    104     5.520    48.000     3   5.9052
    105     4.678    24.000     3   5.9295
    106     3.684    24.000     3   5.9295
    107     5.317    24.000     3   5.9295
    108     1.676    24.000     4   5.9295 neglected
    109     4.791    24.000     4   5.9295
    110     5.008    24.000     4   5.9295
    111     4.017    24.000     4   5.9295
    112     4.534    24.000     3   5.9581
    113     5.736    24.000     3   5.9581
    114     6.091    24.000     3   5.9581
    115     5.587    24.000     3   5.9875
    116    11.037    24.000     3   5.9875
    117    14.914    24.000     3   5.9875
    118     7.463    24.000     3   5.9901
  111 paths kept,  118 examined.
 Done with module 5: F_eff.
Note: The following floating-point exceptions are signalling: IEEE_UNDERFLOW_FLAG IEEE_DENORMAL
