PATH  Rmax= 6.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 -----------------------------------------------------------------------
  pathindex     sig2   amp ratio    deg    nlegs  r effective
        1     0.00000   100.000     6.000     2   2.0161
        2     0.00000    24.504     2.000     2   2.5022
        3     0.00000    59.952     6.000     2   2.7384
        4     0.00000     6.166    12.000     3   3.2672
        5     0.00000     7.878    12.000     3   3.3853
        6     0.00000    10.045    24.000     3   3.3853
        7     0.00000    30.516     6.000     2   3.4005
        8     0.00000     7.115    12.000     3   3.4960
        9     0.00000    57.596    12.000     2   3.7094
       10     0.00000    25.277    24.000     3   3.8708
       11     0.00000    15.640     6.000     3   4.0323
       12     0.00000    15.052     6.000     4   4.0323
       13     0.00000     4.842     6.000     4   4.0323
       14     0.00000     7.159    12.000     4   4.0323
       15     0.00000    19.570     6.000     2   4.0726
       16     0.00000     4.623    24.000     3   4.0775
       17     0.00000    11.172    24.000     3   4.0775
       18     0.00000    16.756    24.000     3   4.0775
       19     0.00000     5.958    12.000     3   4.2955
       20     0.00000    11.159    12.000     3   4.2955
       21     0.00000    32.814    12.000     2   4.3660
       22     0.00000     6.021    24.000     3   4.4750
       23     0.00000     6.429    24.000     3   4.4750
       26     0.00000    10.502    24.000     3   4.5243
       27     0.00000    11.778    24.000     3   4.5603
       28     0.00000    20.600    24.000     3   4.5603
       29     0.00000    27.562    24.000     3   4.5603
       30     0.00000     4.944    24.000     3   4.5630
       31     0.00000    15.120     6.000     2   4.7430
       32     0.00000     3.836    24.000     4   4.7545
       33     0.00000     6.700    24.000     4   4.7545
       34     0.00000     6.484    12.000     4   4.7545
       35     0.00000     9.082    12.000     4   4.7545
       36     0.00000     3.526    12.000     4   4.7545
       37     0.00000     3.909    24.000     4   4.7545
       38     0.00000     9.687    24.000     4   4.7545
       39     0.00000     7.967    24.000     3   4.8991
       40     0.00000    12.124     6.000     2   4.9077
       41     0.00000    23.293    12.000     3   4.9418
       42     0.00000     6.297    12.000     4   4.9759
       43     0.00000    11.782     6.000     4   4.9759
       45     0.00000     4.356     2.000     2   5.0043
       46     0.00000    12.782     4.000     3   5.0043
       47     0.00000     2.729     2.000     4   5.0043
       48     0.00000    10.674     2.000     4   5.0043
       49     0.00000     8.228    24.000     3   5.0458
       50     0.00000     3.127    48.000     3   5.0786
       51     0.00000     5.431    24.000     3   5.0786
       52     0.00000     5.299    12.000     3   5.0798
       53     0.00000     3.607    12.000     3   5.0799
       54     0.00000     5.019    12.000     3   5.0799
       55     0.00000     6.249    24.000     3   5.1099
       56     0.00000    12.766    24.000     3   5.1454
       57     0.00000     5.705    24.000     4   5.2072
       58     0.00000     6.213    24.000     3   5.2525
       59     0.00000     4.010    24.000     3   5.3166
       60     0.00000     8.486    24.000     3   5.3166
       61     0.00000     3.703    24.000     4   5.3507
       62     0.00000     8.432    24.000     4   5.3507
       63     0.00000    21.604    12.000     2   5.3626
       64     0.00000    19.060    12.000     3   5.3896
       65     0.00000    17.359    12.000     3   5.3896
       66     0.00000     3.484    24.000     4   5.4167
       67     0.00000     8.874     6.000     4   5.4167
       68     0.00000     7.807     6.000     4   5.4167
       69     0.00000     3.734    24.000     4   5.4167
       70     0.00000    10.187     6.000     2   5.4768
       71     0.00000     4.176     6.000     3   5.4768
       72     0.00000    27.764    12.000     3   5.4768
       73     0.00000     5.319     6.000     4   5.4768
       74     0.00000    21.613     6.000     4   5.4768
       75     0.00000     7.964    24.000     4   5.4780
       76     0.00000     8.275    24.000     5   5.5122
       77     0.00000     2.852    24.000     4   5.5574
       78     0.00000    16.910    12.000     2   5.6200
       79     0.00000    11.078    24.000     3   5.6727
       80     0.00000    23.243    24.000     3   5.6727
       81     0.00000    18.175    12.000     2   5.7046
       82     0.00000     6.965    24.000     4   5.7255
       83     0.00000     2.669    24.000     4   5.7255
       84     0.00000     8.676    12.000     4   5.7255
       85     0.00000    12.861    24.000     3   5.8342
       86     0.00000     5.881    24.000     4   5.8342
       87     0.00000    14.394    24.000     4   5.8342
       88     0.00000    15.267    12.000     2   5.8361
       89     0.00000     3.348    24.000     3   5.8724
       90     0.00000     4.655    24.000     3   5.8724
       91     0.00000     3.440    24.000     4   5.8870
       92     0.00000     9.628    24.000     4   5.8870
       93     0.00000     3.682    24.000     5   5.8870
       94     0.00000     2.729    24.000     5   5.8870
       95     0.00000    11.479    24.000     5   5.8870
       99     0.00000    11.025    24.000     3   5.8967
      100     0.00000     8.336    24.000     3   5.8967
      101     0.00000     7.109    24.000     3   5.8967
      102     0.00000     3.966    48.000     3   5.9052
      103     0.00000     5.843    48.000     3   5.9052
      104     0.00000     5.520    48.000     3   5.9052
      105     0.00000     4.678    24.000     3   5.9295
      106     0.00000     3.684    24.000     3   5.9295
      107     0.00000     5.317    24.000     3   5.9295
      109     0.00000     4.791    24.000     4   5.9295
      110     0.00000     5.008    24.000     4   5.9295
      111     0.00000     4.017    24.000     4   5.9295
      112     0.00000     4.534    24.000     3   5.9581
      113     0.00000     5.736    24.000     3   5.9581
      114     0.00000     6.091    24.000     3   5.9581
      115     0.00000     5.587    24.000     3   5.9875
      116     0.00000    11.037    24.000     3   5.9875
      117     0.00000    14.914    24.000     3   5.9875
      118     0.00000     7.463    24.000     3   5.9901
