# comment: None given                          Feff8L (EXAFS)       0.1      
# Source:
# Structure Summary:  Fe2 N2
# Reduced formula:  FeN
# space group: (P4_2/mmc), space number:  (131)
# abc:  3.438948   3.438948   4.764827
# angles: 90.000000  90.000000  90.000000
# sites: 4
# mp-1417269
# POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
# Abs   Z=26 Rmt= 1.138 Rnm= 1.339 K  shell
# Pot 1 Z=26 Rmt= 1.141 Rnm= 1.347
# Pot 2 Z= 7 Rmt= 0.888 Rnm= 1.094
# Gam_ch=1.309E+00 H-L exch
# Mu=-9.454E-01 kf=2.278E+00 Vint=-2.072E+01 Rs_int= 1.592
# PATH  Rmax= 6.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000                                        Global_sig2= 0.00000
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00      2.00     2   1.7195
#           2       0.00000     57.27      2.00     2   2.3824
#           3       0.00000     61.49      4.00     2   2.9381
#           4       0.00000     48.37      4.00     2   3.4389
#           5       0.00000     19.89      2.00     3   3.4389
#           6       0.00000     76.45      4.00     3   3.4389
#           7       0.00000     17.48      2.00     4   3.4389
#           8       0.00000      6.62      2.00     4   3.4389
#           9       0.00000     60.83      2.00     4   3.4389
#          10       0.00000      6.12      8.00     3   3.5200
#          11       0.00000     17.67      8.00     3   3.5200
#          12       0.00000     31.90      4.00     2   3.8449
#          13       0.00000     14.70     16.00     3   4.0309
#          14       0.00000     58.48      8.00     2   4.1836
#          15       0.00000     10.29      8.00     3   4.4206
#          16       0.00000     14.60      8.00     3   4.4206
#          17       0.00000      7.36      8.00     3   4.5016
#          18       0.00000      7.56      8.00     3   4.5016
#          19       0.00000     42.07      8.00     2   4.5231
#          23       0.00000     10.35      2.00     2   4.7648
#          24       0.00000      5.09      2.00     3   4.7648
#          25       0.00000     31.31      4.00     3   4.7648
#          26       0.00000      7.41      2.00     4   4.7648
#          28       0.00000     28.77      2.00     4   4.7648
#          29       0.00000     21.60     16.00     3   4.8234
#          30       0.00000     19.59      4.00     2   4.8634
#          31       0.00000      5.77     16.00     3   5.0025
#          32       0.00000      6.51     16.00     3   5.0025
#          33       0.00000      5.98      8.00     4   5.0025
#          35       0.00000     15.59      4.00     2   5.0656
#          36       0.00000      6.37     16.00     3   5.0936
#          37       0.00000      5.20      8.00     4   5.1237
#          38       0.00000      5.50      8.00     4   5.1237
#          39       0.00000      7.43      2.00     2   5.1584
#          40       0.00000      6.95      4.00     3   5.1584
#          41       0.00000     17.85      4.00     3   5.1584
#          42       0.00000     15.47      4.00     3   5.1584
#          43       0.00000      6.11      4.00     4   5.1584
#          44       0.00000      6.48      4.00     4   5.1584
#          45       0.00000      8.93      4.00     4   5.1584
#          47       0.00000      4.49      2.00     4   5.1584
#          48       0.00000     21.16      4.00     4   5.1584
#          49       0.00000     18.90      4.00     4   5.1584
#          50       0.00000     10.70      2.00     4   5.1584
#          51       0.00000     10.18      2.00     4   5.1584
#          52       0.00000     11.93      4.00     6   5.1584
#          54       0.00000      7.71      4.00     5   5.1584
#          55       0.00000      8.76      4.00     5   5.1584
#          56       0.00000      8.90      4.00     5   5.1584
#          58       0.00000      6.87      4.00     5   5.1584
#          62       0.00000     27.18      4.00     5   5.1584
#          63       0.00000     25.77      4.00     5   5.1584
#          65       0.00000      5.40      4.00     6   5.1584
#          67       0.00000     18.43      2.00     6   5.1584
#          68       0.00000      6.97      8.00     3   5.1930
#          69       0.00000     10.32      8.00     3   5.1931
#          71       0.00000      9.23     16.00     3   5.2131
#          72       0.00000      6.39      8.00     3   5.2139
#          73       0.00000      5.21      8.00     3   5.2139
#          74       0.00000      7.93      8.00     3   5.2139
#          81       0.00000      7.15     16.00     3   5.3752
#          82       0.00000     29.24      8.00     2   5.4156
#          83       0.00000      6.64     16.00     3   5.4501
#          84       0.00000      5.14     16.00     3   5.4501
#          86       0.00000     10.11     16.00     4   5.4501
#          87       0.00000     11.42      4.00     2   5.6820
#          88       0.00000      6.32     16.00     3   5.7040
#          89       0.00000      6.41     16.00     5   5.7504
#          91       0.00000      6.96      8.00     3   5.7925
#          92       0.00000      8.62      8.00     3   5.7925
#          93       0.00000      6.66     16.00     3   5.8291
#          94       0.00000      9.57     16.00     3   5.8291
#          97       0.00000     23.32      8.00     2   5.8762
#          98       0.00000      6.07      4.00     3   5.8762
#          99       0.00000     22.76      8.00     3   5.8762
#         101       0.00000     11.14      4.00     4   5.8762
#    76/  89 paths used
#  -----------------------------------------------------------------------
#       k          chi          mag           phase @#
     0.0500   -3.379459E-01  3.945628E-01 -2.113129E+00
     0.1000   -3.398025E-01  3.954042E-01 -2.107536E+00
     0.1500   -3.452834E-01  3.978835E-01 -2.090834E+00
     0.2000   -3.506589E-01  4.003082E-01 -2.074145E+00
     0.2500   -3.593451E-01  4.042188E-01 -2.046465E+00
     0.3000   -3.677129E-01  4.079789E-01 -2.018823E+00
     0.3500   -3.788119E-01  4.129749E-01 -1.980407E+00
     0.4000   -3.892210E-01  4.176794E-01 -1.942071E+00
     0.4500   -4.014656E-01  4.232834E-01 -1.893266E+00
     0.5000   -4.124553E-01  4.284151E-01 -1.844609E+00
     0.5500   -4.240386E-01  4.340392E-01 -1.785877E+00
     0.6000   -4.336077E-01  4.389794E-01 -1.727396E+00
     0.6500   -4.422179E-01  4.439567E-01 -1.659330E+00
     0.7000   -4.479253E-01  4.480229E-01 -1.591669E+00
     0.7500   -4.509501E-01  4.516525E-01 -1.515018E+00
     0.8000   -4.502105E-01  4.541497E-01 -1.438990E+00
     0.8500   -4.451418E-01  4.557494E-01 -1.354622E+00
     0.9000   -4.357212E-01  4.560362E-01 -1.271191E+00
     0.9500   -4.208226E-01  4.550551E-01 -1.180438E+00
     1.0000   -4.015447E-01  4.526423E-01 -1.091051E+00
     1.0500   -3.764037E-01  4.487116E-01 -9.951754E-01
     1.1000   -3.476269E-01  4.433461E-01 -9.012418E-01
     1.1500   -3.137437E-01  4.363439E-01 -8.024035E-01
     1.2000   -2.778250E-01  4.280738E-01 -7.062849E-01
     1.2500   -2.384982E-01  4.183467E-01 -6.066239E-01
     1.3000   -1.992584E-01  4.077195E-01 -5.106157E-01
     1.3500   -1.588789E-01  3.961042E-01 -4.127216E-01
     1.4000   -1.206384E-01  3.841820E-01 -3.194175E-01
     1.4500   -8.328023E-02  3.720385E-01 -2.257613E-01
     1.5000   -4.929599E-02  3.603776E-01 -1.372201E-01
     1.5500   -1.709465E-02  3.495395E-01 -4.892573E-02
     1.6000    1.188811E-02  3.400121E-01  3.497090E-02
     1.6500    3.979158E-02  3.323184E-01  1.200273E-01
     1.7000    6.594600E-02  3.264831E-01  2.033884E-01
     1.7500    9.291546E-02  3.230343E-01  2.917549E-01
     1.8000    1.200059E-01  3.213564E-01  3.827098E-01
     1.8500    1.496652E-01  3.218101E-01  4.837172E-01
     1.9000    1.801805E-01  3.231795E-01  5.914009E-01
     1.9500    2.129331E-01  3.256395E-01  7.127176E-01
     2.0000    2.446383E-01  3.276587E-01  8.429749E-01
     2.0500    2.758883E-01  3.297190E-01  9.912982E-01
     2.1000    3.010604E-01  3.299365E-01  1.149305E+00
     2.1500    3.171546E-01  3.277480E-01  1.315856E+00
     2.2000    3.217288E-01  3.227879E-01  1.489767E+00
     2.2500    3.132209E-01  3.153499E-01  1.687063E+00
     2.3000    2.890298E-01  3.045162E-01  1.891086E+00
     2.3500    2.505402E-01  2.904451E-01  2.101191E+00
     2.4000    2.007669E-01  2.734323E-01  2.317036E+00
     2.4500    1.372003E-01  2.507687E-01  2.562674E+00
     2.5000    7.218486E-02  2.253540E-01  2.815528E+00
     2.5500    1.280413E-02  1.981605E-01  3.076933E+00
     2.6000   -3.519009E-02  1.702216E-01  3.349825E+00
     2.6500   -6.335016E-02  1.390485E-01  3.614636E+00
     2.7000   -7.426457E-02  1.090096E-01  3.891084E+00
     2.7500   -7.038302E-02  8.115136E-02  4.191356E+00
     2.8000   -5.577118E-02  5.655890E-02  4.545296E+00
     2.8500   -3.979707E-02  4.169236E-02  5.015069E+00
     2.9000   -1.958611E-02  3.268022E-02  5.640526E+00
     2.9500    1.918822E-03  3.173576E-02  6.343685E+00
     3.0000    2.217418E-02  3.712341E-02  6.923328E+00
     3.0500    3.968503E-02  4.596336E-02  7.325167E+00
     3.1000    5.334522E-02  5.462267E-02  7.637286E+00
     3.1500    6.230132E-02  6.236655E-02  7.899723E+00
     3.2000    6.631144E-02  6.895449E-02  8.131751E+00
     3.2500    6.651804E-02  7.524258E-02  8.340325E+00
     3.3000    6.255632E-02  8.046383E-02  8.534182E+00
     3.3500    5.507823E-02  8.471810E-02  8.717015E+00
     3.4000    4.483458E-02  8.811880E-02  8.890991E+00
     3.4500    3.271787E-02  9.143748E-02  9.058849E+00
     3.5000    1.900502E-02  9.426241E-02  9.221768E+00
     3.5500    4.182067E-03  9.667627E-02  9.381506E+00
     3.6000   -1.130491E-02  9.870750E-02  9.539559E+00
     3.6500   -2.743833E-02  1.009542E-01  9.700031E+00
     3.7000   -4.343413E-02  1.027559E-01  9.861192E+00
     3.7500   -5.860987E-02  1.040124E-01  1.002338E+01
