 Calculating EXAFS parameters...
    Curved wave chi amplitude ratio   4.00%
    Discard feff.dat for paths with cw ratio <   2.67%
    path  cw ratio     deg    nleg  reff
      1   100.000     2.000     2   1.7195
      2    57.266     2.000     2   2.3824
      3    61.485     4.000     2   2.9381
      4    48.373     4.000     2   3.4390
      5    19.886     2.000     3   3.4389
      6    76.453     4.000     3   3.4390
      7    17.477     2.000     4   3.4389
      8     6.618     2.000     4   3.4389
      9    60.833     2.000     4   3.4390
     10     6.123     8.000     3   3.5200
     11    17.667     8.000     3   3.5200
     12    31.902     4.000     2   3.8449
     13    14.701    16.000     3   4.0309
     14    58.478     8.000     2   4.1836
     15    10.291     8.000     3   4.4206
     16    14.602     8.000     3   4.4206
     17     7.360     8.000     3   4.5016
     18     7.564     8.000     3   4.5016
     19    42.071     8.000     2   4.5231
     20     2.738     4.000     4   4.6576
     21     1.048    16.000     4   4.6576 neglected
     22     2.361     4.000     4   4.6576 neglected
     23    10.349     2.000     2   4.7648
     24     5.087     2.000     3   4.7648
     25    31.313     4.000     3   4.7648
     26     7.409     2.000     4   4.7648
     27     2.809     2.000     4   4.7648
     28    28.770     2.000     4   4.7648
     29    21.598    16.000     3   4.8234
     30    19.588     4.000     2   4.8634
     31     5.768    16.000     3   5.0025
     32     6.514    16.000     3   5.0025
     33     5.983     8.000     4   5.0025
     34     3.019     8.000     4   5.0025
     35    15.593     4.000     2   5.0656
     36     6.368    16.000     3   5.0936
     37     5.205     8.000     4   5.1237
     38     5.498     8.000     4   5.1237
     39     7.426     2.000     2   5.1584
     40     6.953     4.000     3   5.1584
     41    17.853     4.000     3   5.1584
     42    15.471     4.000     3   5.1584
     43     6.111     4.000     4   5.1584
     44     6.481     4.000     4   5.1584
     45     8.926     4.000     4   5.1584
     46     2.622     4.000     4   5.1584 neglected
     47     4.493     2.000     4   5.1584
     48    21.162     4.000     4   5.1584
     49    18.899     4.000     4   5.1584
     50    10.698     2.000     4   5.1584
     51    10.182     2.000     4   5.1584
     52    11.929     4.000     6   5.1584
     53     2.157     4.000     6   5.1584 neglected
     54     7.706     4.000     5   5.1584
     55     8.762     4.000     5   5.1584
     56     8.900     4.000     5   5.1584
     57     2.442     4.000     5   5.1584 neglected
     58     6.871     4.000     5   5.1584
     59     3.357     4.000     5   5.1584
     60     3.719     4.000     5   5.1584
     61     3.758     4.000     5   5.1584
     62    27.176     4.000     5   5.1584
     63    25.768     4.000     5   5.1584
     64     2.929     2.000     6   5.1584
     65     5.399     4.000     6   5.1584
     66     3.015     2.000     6   5.1584
     67    18.427     2.000     6   5.1584
     68     6.972     8.000     3   5.1930
     69    10.320     8.000     3   5.1931
     70     3.755    16.000     3   5.2131
     71     9.230    16.000     3   5.2131
     72     6.395     8.000     3   5.2139
     73     5.211     8.000     3   5.2139
     74     7.925     8.000     3   5.2139
     75     1.873     8.000     5   5.2395 neglected
     76     3.520     8.000     3   5.3205
     77     2.038     8.000     4   5.3205 neglected
     78     1.919     4.000     4   5.3205 neglected
     79     1.962     8.000     4   5.3205 neglected
     80     3.741     8.000     4   5.3205
     81     7.151    16.000     3   5.3752
     82    29.235     8.000     2   5.4156
     83     6.645    16.000     3   5.4501
     84     5.141    16.000     3   5.4501
     85     3.038    16.000     4   5.4501
     86    10.112    16.000     4   5.4501
     87    11.423     4.000     2   5.6820
     88     6.323    16.000     3   5.7040
     89     6.405    16.000     5   5.7504
     90     0.910    16.000     5   5.7504 neglected
     91     6.962     8.000     3   5.7925
     92     8.625     8.000     3   5.7925
     93     6.660    16.000     3   5.8291
     94     9.569    16.000     3   5.8291
     95     2.383    16.000     4   5.8314 neglected
     96     2.544    16.000     4   5.8314 neglected
     97    23.316     8.000     2   5.8762
     98     6.074     4.000     3   5.8762
     99    22.760     8.000     3   5.8762
    100     3.283     4.000     4   5.8762
    101    11.144     4.000     4   5.8762
    102     2.365     8.000     4   5.9030 neglected
   89 paths kept,  102 examined.
 Done with module 5: F_eff.
