# comment: None given                          Feff8L (EXAFS)       0.1      
# Source:
# Structure Summary:  Fe2 N2
# Reduced formula:  FeN
# space group: (P4_2/mmc), space number:  (131)
# abc:  3.438948   3.438948   4.764827
# angles: 90.000000  90.000000  90.000000
# sites: 4
# mp-1417269
# POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
# Abs   Z=26 Rmt= 1.138 Rnm= 1.339 K  shell
# Pot 1 Z=26 Rmt= 1.141 Rnm= 1.347
# Pot 2 Z= 7 Rmt= 0.888 Rnm= 1.094
# Gam_ch=1.309E+00 H-L exch
# Mu=-9.454E-01 kf=2.278E+00 Vint=-2.072E+01 Rs_int= 1.592
# PATH  Rmax= 6.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000                                        Global_sig2= 0.00000
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00      2.00     2   1.7195
#           2       0.00000     57.27      2.00     2   2.3824
#           3       0.00000     61.49      4.00     2   2.9381
#           4       0.00000     48.37      4.00     2   3.4389
#           5       0.00000     19.89      2.00     3   3.4389
#           6       0.00000     76.45      4.00     3   3.4389
#           7       0.00000     17.48      2.00     4   3.4389
#           8       0.00000      6.62      2.00     4   3.4389
#           9       0.00000     60.83      2.00     4   3.4389
#          10       0.00000      6.12      8.00     3   3.5200
#          11       0.00000     17.67      8.00     3   3.5200
#          12       0.00000     31.90      4.00     2   3.8449
#          13       0.00000     14.70     16.00     3   4.0309
#          14       0.00000     58.48      8.00     2   4.1836
#          15       0.00000     10.29      8.00     3   4.4206
#          16       0.00000     14.60      8.00     3   4.4206
#          17       0.00000      7.36      8.00     3   4.5016
#          18       0.00000      7.56      8.00     3   4.5016
#          19       0.00000     42.07      8.00     2   4.5231
#          23       0.00000     10.35      2.00     2   4.7648
#          24       0.00000      5.09      2.00     3   4.7648
#          25       0.00000     31.31      4.00     3   4.7648
#          26       0.00000      7.41      2.00     4   4.7648
#          28       0.00000     28.77      2.00     4   4.7648
#          29       0.00000     21.60     16.00     3   4.8234
#          30       0.00000     19.59      4.00     2   4.8634
#          31       0.00000      5.77     16.00     3   5.0025
#          32       0.00000      6.51     16.00     3   5.0025
#          33       0.00000      5.98      8.00     4   5.0025
#          35       0.00000     15.59      4.00     2   5.0656
#          36       0.00000      6.37     16.00     3   5.0936
#          37       0.00000      5.20      8.00     4   5.1237
#          38       0.00000      5.50      8.00     4   5.1237
#          39       0.00000      7.43      2.00     2   5.1584
#          40       0.00000      6.95      4.00     3   5.1584
#          41       0.00000     17.85      4.00     3   5.1584
#          42       0.00000     15.47      4.00     3   5.1584
#          43       0.00000      6.11      4.00     4   5.1584
#          44       0.00000      6.48      4.00     4   5.1584
#          45       0.00000      8.93      4.00     4   5.1584
#          47       0.00000      4.49      2.00     4   5.1584
#          48       0.00000     21.16      4.00     4   5.1584
#          49       0.00000     18.90      4.00     4   5.1584
#          50       0.00000     10.70      2.00     4   5.1584
#          51       0.00000     10.18      2.00     4   5.1584
#          52       0.00000     11.93      4.00     6   5.1584
#          54       0.00000      7.71      4.00     5   5.1584
#          55       0.00000      8.76      4.00     5   5.1584
#          56       0.00000      8.90      4.00     5   5.1584
#          58       0.00000      6.87      4.00     5   5.1584
#          62       0.00000     27.18      4.00     5   5.1584
#          63       0.00000     25.77      4.00     5   5.1584
#          65       0.00000      5.40      4.00     6   5.1584
#          67       0.00000     18.43      2.00     6   5.1584
#          68       0.00000      6.97      8.00     3   5.1930
#          69       0.00000     10.32      8.00     3   5.1931
#          71       0.00000      9.23     16.00     3   5.2131
#          72       0.00000      6.39      8.00     3   5.2139
#          73       0.00000      5.21      8.00     3   5.2139
#          74       0.00000      7.93      8.00     3   5.2139
#          81       0.00000      7.15     16.00     3   5.3752
#          82       0.00000     29.24      8.00     2   5.4156
#          83       0.00000      6.64     16.00     3   5.4501
#          84       0.00000      5.14     16.00     3   5.4501
#          86       0.00000     10.11     16.00     4   5.4501
#          87       0.00000     11.42      4.00     2   5.6820
#          88       0.00000      6.32     16.00     3   5.7040
#          89       0.00000      6.41     16.00     5   5.7504
#          91       0.00000      6.96      8.00     3   5.7925
#          92       0.00000      8.62      8.00     3   5.7925
#          93       0.00000      6.66     16.00     3   5.8291
#          94       0.00000      9.57     16.00     3   5.8291
#          97       0.00000     23.32      8.00     2   5.8762
#          98       0.00000      6.07      4.00     3   5.8762
#          99       0.00000     22.76      8.00     3   5.8762
#         101       0.00000     11.14      4.00     4   5.8762
#    76/  89 paths used
#  xsedge+50, used to normalize mu           3.1702E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
    7117.100     -0.936   0.050  1.67655E-01  4.85838E-01 -3.37946E-01
    7117.128     -0.907   0.100  1.74563E-01  4.94615E-01 -3.39803E-01
    7117.176     -0.860   0.150  1.94848E-01  5.20425E-01 -3.45283E-01
    7117.242     -0.793   0.200  2.15221E-01  5.46236E-01 -3.50659E-01
    7117.328     -0.707   0.250  2.45000E-01  5.84832E-01 -3.59345E-01
    7117.433     -0.603   0.300  2.75051E-01  6.23428E-01 -3.67713E-01
    7117.557     -0.479   0.350  3.04788E-01  6.64567E-01 -3.78812E-01
    7117.700     -0.336   0.400  3.35131E-01  7.05707E-01 -3.89221E-01
    7117.862     -0.174   0.450  3.56848E-01  7.40244E-01 -4.01466E-01
    7118.042      0.007   0.500  3.79696E-01  7.74781E-01 -4.12455E-01
    7118.243      0.207   0.550  3.93053E-01  8.00663E-01 -4.24039E-01
    7118.462      0.426   0.600  4.08276E-01  8.26545E-01 -4.33608E-01
    7118.700      0.664   0.650  4.17420E-01  8.45654E-01 -4.42218E-01
    7118.957      0.921   0.700  4.29322E-01  8.64764E-01 -4.47925E-01
    7119.233      1.198   0.750  4.39125E-01  8.79325E-01 -4.50950E-01
    7119.528      1.493   0.800  4.52592E-01  8.93886E-01 -4.50210E-01
    7119.843      1.807   0.850  4.67270E-01  9.05466E-01 -4.45142E-01
    7120.176      2.141   0.900  4.86294E-01  9.17046E-01 -4.35721E-01
    7120.529      2.493   0.950  5.08796E-01  9.26612E-01 -4.20823E-01
    7120.900      2.865   1.000  5.35792E-01  9.36178E-01 -4.01545E-01
    7121.290      3.255   1.050  5.67398E-01  9.44296E-01 -3.76404E-01
    7121.700      3.665   1.100  6.02871E-01  9.52415E-01 -3.47627E-01
    7122.129      4.093   1.150  6.42674E-01  9.59413E-01 -3.13744E-01
    7122.576      4.541   1.200  6.84813E-01  9.66410E-01 -2.77825E-01
    7123.043      5.008   1.250  7.29836E-01  9.72468E-01 -2.38498E-01
    7123.529      5.493   1.300  7.75065E-01  9.78526E-01 -1.99258E-01
    7124.034      5.998   1.350  8.20974E-01  9.83742E-01 -1.58879E-01
    7124.558      6.522   1.400  8.64958E-01  9.88957E-01 -1.20638E-01
    7125.100      7.065   1.450  9.07537E-01  9.93381E-01 -8.32802E-02
    7125.662      7.627   1.500  9.46846E-01  9.97804E-01 -4.92960E-02
    7126.243      8.208   1.550  9.83747E-01  1.00146E+00 -1.70947E-02
    7126.844      8.808   1.600  1.01746E+00  1.00511E+00  1.18881E-02
    7127.463      9.427   1.650  1.04941E+00  1.00801E+00  3.97916E-02
    7128.101     10.065   1.700  1.07963E+00  1.01091E+00  6.59460E-02
    7128.758     10.723   1.750  1.11000E+00  1.01307E+00  9.29155E-02
    7129.434     11.399   1.800  1.14056E+00  1.01522E+00  1.20006E-01
    7130.130     12.094   1.850  1.17302E+00  1.01664E+00  1.49665E-01
    7130.844     12.809   1.900  1.20641E+00  1.01806E+00  1.80180E-01
    7131.577     13.542   1.950  1.24127E+00  1.01872E+00  2.12933E-01
    7132.330     14.295   2.000  1.27502E+00  1.01938E+00  2.44638E-01
    7133.101     15.066   2.050  1.30704E+00  1.01908E+00  2.75888E-01
    7133.892     15.857   2.100  1.33265E+00  1.01878E+00  3.01060E-01
    7134.702     16.666   2.150  1.34875E+00  1.01848E+00  3.17155E-01
    7135.530     17.495   2.200  1.35282E+00  1.01819E+00  3.21729E-01
    7136.378     18.343   2.250  1.34143E+00  1.01644E+00  3.13221E-01
    7137.245     19.209   2.300  1.31385E+00  1.01470E+00  2.89030E-01
    7138.131     20.095   2.350  1.27163E+00  1.01296E+00  2.50540E-01
    7139.035     21.000   2.400  1.21798E+00  1.01122E+00  2.00767E-01
    7139.959     21.924   2.450  1.14878E+00  1.00808E+00  1.37200E-01
    7140.902     22.867   2.500  1.07866E+00  1.00495E+00  7.21849E-02
    7141.864     23.829   2.550  1.01484E+00  1.00182E+00  1.28041E-02
    7142.845     24.810   2.600  9.63061E-01  9.98686E-01 -3.51901E-02
    7143.846     25.810   2.650  9.35282E-01  9.99304E-01 -6.33502E-02
    7144.865     26.829   2.700  9.24998E-01  9.99921E-01 -7.42646E-02
    7145.903     27.868   2.750  9.29654E-01  1.00054E+00 -7.03830E-02
    7146.960     28.925   2.800  9.45085E-01  1.00116E+00 -5.57712E-02
    7148.037     30.001   2.850  9.62191E-01  1.00220E+00 -3.97971E-02
    7149.132     31.097   2.900  9.83553E-01  1.00324E+00 -1.95861E-02
    7150.246     32.211   2.950  1.00621E+00  1.00428E+00  1.91882E-03
    7151.380     33.344   3.000  1.02761E+00  1.00533E+00  2.21742E-02
    7152.532     34.497   3.050  1.04478E+00  1.00491E+00  3.96850E-02
