PATH  Rmax= 6.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 -----------------------------------------------------------------------
  pathindex     sig2   amp ratio    deg    nlegs  r effective
        1     0.00000   100.000     2.000     2   2.1292
        2     0.00000   199.355     4.000     2   2.1322
        3     0.00000   193.197     8.000     2   3.0133
        4     0.00000    96.438     4.000     2   3.0154
        5     0.00000    26.876    16.000     3   3.6373
        6     0.00000    18.009    16.000     3   3.6373
        7     0.00000    18.017    16.000     3   3.6373
        8     0.00000    13.395     8.000     3   3.6400
        9     0.00000    17.972    16.000     3   3.6400
       10     0.00000   107.734     8.000     2   3.6914
       11     0.00000    20.749     2.000     2   4.2583
       12     0.00000    14.317     2.000     3   4.2583
       13     0.00000    52.620     4.000     3   4.2583
       14     0.00000    12.216     2.000     4   4.2583
       15     0.00000     4.623     2.000     4   4.2583
       16     0.00000    33.292     2.000     4   4.2583
       17     0.00000     6.435     8.000     4   4.2614
       18     0.00000     6.444     8.000     4   4.2614
       20     0.00000    41.344     4.000     2   4.2645
       21     0.00000    28.485     4.000     3   4.2645
       22     0.00000   104.720     8.000     3   4.2645
       23     0.00000    24.275     4.000     4   4.2645
       24     0.00000     9.194     4.000     4   4.2645
       25     0.00000    66.178     4.000     4   4.2645
       26     0.00000     6.412     8.000     4   4.2645
       28     0.00000     6.744    16.000     3   4.4180
       29     0.00000    13.476    32.000     3   4.4184
       30     0.00000    18.418    16.000     3   4.4180
       31     0.00000    36.796    32.000     3   4.4184
       32     0.00000    24.067    16.000     3   4.4180
       33     0.00000    48.106    32.000     3   4.4184
       34     0.00000     7.927    16.000     3   4.5210
       35     0.00000    15.911    32.000     3   4.5210
       36     0.00000    55.272     8.000     2   4.7623
       37     0.00000    55.144     8.000     2   4.7665
       38     0.00000    55.101     8.000     2   4.7678
       39     0.00000    21.810    16.000     3   4.9524
       40     0.00000    47.069    16.000     3   4.9524
       41     0.00000    28.966    16.000     3   4.9524
       42     0.00000    21.800    16.000     3   4.9560
       43     0.00000    47.073    16.000     3   4.9560
       44     0.00000    28.956    16.000     3   4.9560
       45     0.00000    21.751    16.000     3   4.9578
       46     0.00000    46.948    16.000     3   4.9578
       47     0.00000    28.882    16.000     3   4.9578
       48     0.00000     6.804    16.000     3   5.1424
       49     0.00000     3.865    16.000     4   5.1424
       50     0.00000     6.084    16.000     4   5.1424
       51     0.00000     9.921    16.000     4   5.1424
       52     0.00000    10.156     8.000     4   5.1424
       53     0.00000    16.116     8.000     4   5.1424
       54     0.00000     4.583     8.000     4   5.1424
       55     0.00000     6.132    16.000     4   5.1424
       56     0.00000    12.799    16.000     4   5.1424
       57     0.00000     9.327    16.000     4   5.1424
       59     0.00000     6.916    32.000     4   5.1451
       60     0.00000     6.914    32.000     4   5.1451
       61     0.00000     6.802    16.000     3   5.1455
       62     0.00000     3.863    16.000     4   5.1455
       63     0.00000     6.084    16.000     4   5.1455
       64     0.00000     9.908    16.000     4   5.1455
       65     0.00000    10.152     8.000     4   5.1455
       66     0.00000     4.166    16.000     4   5.1455
       67     0.00000    16.125     8.000     4   5.1455
       68     0.00000     8.094    16.000     4   5.1455
       69     0.00000     4.593     8.000     4   5.1455
       71     0.00000     6.116    16.000     4   5.1455
       72     0.00000     6.915    32.000     4   5.1455
       73     0.00000    12.817    16.000     4   5.1455
       74     0.00000     9.307    16.000     4   5.1455
       75     0.00000     6.781    16.000     3   5.1477
       76     0.00000     3.851    16.000     4   5.1477
       77     0.00000     6.067    16.000     4   5.1477
       78     0.00000     9.877    16.000     4   5.1477
       79     0.00000    10.119     8.000     4   5.1477
       80     0.00000    16.070     8.000     4   5.1477
       81     0.00000     4.573     8.000     4   5.1477
       82     0.00000     6.102    16.000     4   5.1477
       83     0.00000    12.758    16.000     4   5.1477
       84     0.00000     9.281    16.000     4   5.1477
       85     0.00000    48.290     8.000     2   5.2179
       86     0.00000    96.390    16.000     2   5.2216
       87     0.00000    19.084    16.000     3   5.5192
       88     0.00000    13.723    16.000     3   5.5192
       89     0.00000    16.051    16.000     3   5.5192
       90     0.00000    38.152    32.000     3   5.5226
       91     0.00000    27.416    32.000     3   5.5226
       92     0.00000    32.000    32.000     3   5.5226
       93     0.00000     3.181    16.000     3   5.5765
       94     0.00000     8.241    16.000     3   5.5765
       95     0.00000    10.042    16.000     3   5.5765
       96     0.00000     2.808    16.000     4   5.5765
       97     0.00000    11.816    16.000     4   5.5765
       98     0.00000     8.389    16.000     4   5.5765
       99     0.00000     3.183    16.000     3   5.5800
      100     0.00000     8.233    16.000     3   5.5800
      101     0.00000    10.024    16.000     3   5.5800
      102     0.00000     2.806    16.000     4   5.5800
      103     0.00000    11.776    16.000     4   5.5800
      104     0.00000     8.369    16.000     4   5.5800
      105     0.00000     3.172    16.000     3   5.5823
      106     0.00000     8.212    16.000     3   5.5823
      107     0.00000    10.003    16.000     3   5.5823
      108     0.00000     2.797    16.000     4   5.5823
      109     0.00000    11.755    16.000     4   5.5823
      110     0.00000     8.347    16.000     4   5.5823
      111     0.00000     7.391    16.000     3   5.6222
      112     0.00000    16.883    32.000     3   5.6222
      113     0.00000    14.794    32.000     3   5.6252
      114     0.00000    16.905    32.000     3   5.6252
      115     0.00000    16.902    32.000     3   5.6252
      116     0.00000     4.660    32.000     3   5.7335
      117     0.00000    16.503    32.000     3   5.7335
      118     0.00000    12.236    32.000     3   5.7335
      119     0.00000     4.688    32.000     3   5.7362
      120     0.00000     4.666    32.000     3   5.7366
      121     0.00000    16.498    32.000     3   5.7362
      122     0.00000    16.479    32.000     3   5.7366
      123     0.00000    12.238    32.000     3   5.7362
      124     0.00000    12.221    32.000     3   5.7366
      126     0.00000     3.221    16.000     4   5.7665
      127     0.00000     8.457    16.000     4   5.7665
      129     0.00000     3.310    16.000     5   5.7665
      130     0.00000    10.843    16.000     5   5.7665
      133     0.00000     3.224    16.000     4   5.7696
      134     0.00000     8.452    16.000     4   5.7696
      136     0.00000     3.313    16.000     5   5.7696
      137     0.00000    10.818    16.000     5   5.7696
      140     0.00000     3.211    16.000     4   5.7722
      141     0.00000     8.423    16.000     4   5.7722
      143     0.00000     3.298    16.000     5   5.7722
      144     0.00000    10.784    16.000     5   5.7722
      146     0.00000     4.316    16.000     4   5.8205
      147     0.00000     3.740     8.000     4   5.8205
      149     0.00000     5.605    16.000     4   5.8205
      150     0.00000     4.900    16.000     4   5.8205
      151     0.00000     4.651    32.000     3   5.8236
      152     0.00000     8.634    32.000     4   5.8236
      153     0.00000     5.988    32.000     4   5.8236
      154     0.00000     4.642    16.000     4   5.8236
      155     0.00000     7.479    16.000     4   5.8236
      156     0.00000     3.218    16.000     4   5.8236
      157     0.00000     5.337    16.000     4   5.8236
      158     0.00000    11.174    32.000     4   5.8236
      159     0.00000     9.793    32.000     4   5.8236
      160     0.00000     6.317    32.000     4   5.8236
      161     0.00000     4.717    16.000     4   5.8236
      162     0.00000     7.008    32.000     4   5.9235
      163     0.00000     8.869    32.000     4   5.9235
      164     0.00000     4.262    32.000     4   5.9235
      165     0.00000     4.466    32.000     4   5.9235
      166     0.00000    10.131    32.000     4   5.9235
