 Calculating EXAFS parameters...
    Curved wave chi amplitude ratio   4.00%
    Discard feff.dat for paths with cw ratio <   2.67%
    path  cw ratio     deg    nleg  reff
      1   100.000     2.000     2   2.1292
      2   199.355     4.000     2   2.1322
      3   193.197     8.000     2   3.0133
      4    96.438     4.000     2   3.0154
      5    26.876    16.000     3   3.6373
      6    18.009    16.000     3   3.6373
      7    18.017    16.000     3   3.6373
      8    13.395     8.000     3   3.6400
      9    17.972    16.000     3   3.6400
     10   107.734     8.000     2   3.6914
     11    20.749     2.000     2   4.2583
     12    14.317     2.000     3   4.2583
     13    52.620     4.000     3   4.2583
     14    12.216     2.000     4   4.2583
     15     4.623     2.000     4   4.2583
     16    33.292     2.000     4   4.2583
     17     6.435     8.000     4   4.2614
     18     6.444     8.000     4   4.2614
     19     1.737    16.000     4   4.2614 neglected
     20    41.344     4.000     2   4.2645
     21    28.485     4.000     3   4.2645
     22   104.720     8.000     3   4.2645
     23    24.275     4.000     4   4.2645
     24     9.194     4.000     4   4.2645
     25    66.178     4.000     4   4.2645
     26     6.412     8.000     4   4.2645
     27     0.865     8.000     4   4.2645 neglected
     28     6.744    16.000     3   4.4180
     29    13.476    32.000     3   4.4184
     30    18.418    16.000     3   4.4180
     31    36.796    32.000     3   4.4184
     32    24.067    16.000     3   4.4180
     33    48.106    32.000     3   4.4184
     34     7.927    16.000     3   4.5210
     35    15.911    32.000     3   4.5210
     36    55.272     8.000     2   4.7623
     37    55.144     8.000     2   4.7665
     38    55.101     8.000     2   4.7678
     39    21.810    16.000     3   4.9524
     40    47.069    16.000     3   4.9524
     41    28.966    16.000     3   4.9524
     42    21.800    16.000     3   4.9560
     43    47.073    16.000     3   4.9560
     44    28.956    16.000     3   4.9560
     45    21.751    16.000     3   4.9578
     46    46.948    16.000     3   4.9578
     47    28.882    16.000     3   4.9578
     48     6.804    16.000     3   5.1424
     49     3.865    16.000     4   5.1424
     50     6.084    16.000     4   5.1424
     51     9.921    16.000     4   5.1424
     52    10.156     8.000     4   5.1424
     53    16.116     8.000     4   5.1424
     54     4.583     8.000     4   5.1424
     55     6.132    16.000     4   5.1424
     56    12.799    16.000     4   5.1424
     57     9.327    16.000     4   5.1424
     58     2.277    32.000     4   5.1451 neglected
     59     6.916    32.000     4   5.1451
     60     6.914    32.000     4   5.1451
     61     6.802    16.000     3   5.1455
     62     3.863    16.000     4   5.1455
     63     6.084    16.000     4   5.1455
     64     9.908    16.000     4   5.1455
     65    10.152     8.000     4   5.1455
     66     4.166    16.000     4   5.1455
     67    16.125     8.000     4   5.1455
     68     8.094    16.000     4   5.1455
     69     4.593     8.000     4   5.1455
     70     1.396    32.000     4   5.1455 neglected
     71     6.116    16.000     4   5.1455
     72     6.915    32.000     4   5.1455
     73    12.817    16.000     4   5.1455
     74     9.307    16.000     4   5.1455
     75     6.781    16.000     3   5.1477
     76     3.851    16.000     4   5.1477
     77     6.067    16.000     4   5.1477
     78     9.877    16.000     4   5.1477
     79    10.119     8.000     4   5.1477
     80    16.070     8.000     4   5.1477
     81     4.573     8.000     4   5.1477
