# comment: None given                          Feff8L (EXAFS)       0.1      
# Source:
# Structure Summary:  Fe4 S8
# Reduced formula:  FeS2
# space group: (Pa-3), space number:  (205)
# abc:  5.396824   5.396824   5.396824
# angles: 90.000000  90.000000  90.000000
# sites: 12
# mp-226
# POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
# Abs   Z=26 Rmt= 1.298 Rnm= 1.379 K  shell
# Pot 1 Z=26 Rmt= 1.302 Rnm= 1.388
# Pot 2 Z=16 Rmt= 1.274 Rnm= 1.379
# Gam_ch=1.309E+00 H-L exch
# Mu=-7.463E-01 kf=2.171E+00 Vint=-1.870E+01 Rs_int= 1.671
# PATH  Rmax= 6.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000                                        Global_sig2= 0.00000
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00      6.00     2   2.2563
#           2       0.00000     35.28      6.00     2   3.4304
#           3       0.00000     10.40      2.00     2   3.6024
#           4       0.00000      7.57     12.00     3   3.7907
#           5       0.00000     56.40     12.00     2   3.8161
#           6       0.00000      7.08     12.00     3   3.9107
#           7       0.00000     17.10     12.00     3   3.9148
#           8       0.00000     32.72     24.00     3   4.1644
#           9       0.00000      4.05     12.00     3   4.3777
#          10       0.00000     18.20      6.00     2   4.4333
#          11       0.00000      4.57     12.00     3   4.4637
#          12       0.00000     10.89      6.00     3   4.5126
#          13       0.00000     12.30      6.00     4   4.5126
#          14       0.00000      4.48      6.00     4   4.5126
#          15       0.00000     11.45     12.00     4   4.5126
#          16       0.00000      4.81     24.00     3   4.7514
#          17       0.00000      9.03     24.00     3   4.7514
#          18       0.00000      4.21     12.00     3   4.8374
#          19       0.00000      9.09     12.00     3   4.8791
#          20       0.00000      6.52     12.00     3   4.9991
#          21       0.00000     12.19      6.00     2   5.1313
#          22       0.00000     22.90     12.00     2   5.2478
#          23       0.00000      6.64     24.00     3   5.2529
#          24       0.00000     30.83     12.00     3   5.2864
#          26       0.00000     21.46      6.00     4   5.3250
#          27       0.00000      9.77     12.00     3   5.3482
#          28       0.00000     11.59      6.00     2   5.3968
#          29       0.00000     11.49     12.00     3   5.4064
#          30       0.00000      5.83     12.00     3   5.5418
#          31       0.00000     11.14     12.00     3   5.5418
#          32       0.00000     12.22     12.00     3   5.5418
#          35       0.00000      4.11     24.00     3   5.6601
#          39       0.00000     12.52     12.00     4   5.6867
#          41       0.00000     10.39      4.00     3   5.7452
#          42       0.00000     10.09      2.00     4   5.7452
#          43       0.00000     16.79     12.00     2   5.8495
#          44       0.00000      8.23     24.00     3   5.9610
#          45       0.00000      8.55     24.00     3   5.9610
#    38/  44 paths used
#  -----------------------------------------------------------------------
#       k          chi          mag           phase @#
     0.0000    3.473558E-01  3.529442E-01  1.392609E+00
     0.0500    3.451098E-01  3.500627E-01  1.402379E+00
     0.1000    3.428325E-01  3.471910E-01  1.412176E+00
     0.1500    3.358460E-01  3.386649E-01  1.441683E+00
     0.2000    3.286018E-01  3.302299E-01  1.471454E+00
     0.2500    3.160762E-01  3.164594E-01  1.521581E+00
     0.3000    3.029614E-01  3.029619E-01  1.572578E+00
     0.3500    2.838886E-01  2.846784E-01  1.645303E+00
     0.4000    2.640154E-01  2.669903E-01  1.720216E+00
     0.4500    2.377716E-01  2.453268E-01  1.819617E+00
     0.5000    2.109179E-01  2.247961E-01  1.924019E+00
     0.5500    1.780187E-01  2.014889E-01  2.058277E+00
     0.6000    1.453407E-01  1.802064E-01  2.203344E+00
     0.6500    1.077062E-01  1.577392E-01  2.389989E+00
     0.7000    7.179217E-02  1.388270E-01  2.598094E+00
     0.7500    3.312653E-02  1.213714E-01  2.865150E+00
     0.8000   -1.801011E-03  1.100316E-01  3.157962E+00
     0.8500   -3.699695E-02  1.030336E-01  3.508871E+00
     0.9000   -6.630896E-02  1.039597E-01  3.833274E+00
     0.9500   -9.365026E-02  1.090600E-01  4.174328E+00
     1.0000   -1.139894E-01  1.188465E-01  4.425509E+00
     1.0500   -1.310677E-01  1.310922E-01  4.693084E+00
     1.1000   -1.414162E-01  1.430536E-01  4.863831E+00
     1.1500   -1.448116E-01  1.543471E-01  5.065735E+00
     1.2000   -1.494980E-01  1.689340E-01  5.196800E+00
     1.2500   -1.446113E-01  1.802793E-01  5.352295E+00
     1.3000   -1.413458E-01  1.949095E-01  5.471879E+00
     1.3500   -1.282247E-01  2.054689E-01  5.609259E+00
     1.4000   -1.181531E-01  2.220827E-01  5.722197E+00
     1.4500   -9.904143E-02  2.346552E-01  5.847456E+00
     1.5000   -7.669520E-02  2.512855E-01  5.973025E+00
     1.5500   -4.729389E-02  2.648579E-01  6.103659E+00
     1.6000   -1.170022E-02  2.814237E-01  6.241598E+00
     1.6500    3.023630E-02  2.947147E-01  6.385961E+00
     1.7000    7.724950E-02  3.094239E-01  6.535510E+00
     1.7500    1.276592E-01  3.201917E-01  6.693280E+00
     1.8000    1.789572E-01  3.310624E-01  6.854281E+00
     1.8500    2.272431E-01  3.372301E-01  7.022595E+00
     1.9000    2.702172E-01  3.425238E-01  7.192203E+00
     1.9500    3.029538E-01  3.427779E-01  7.367150E+00
     2.0000    3.250880E-01  3.416825E-01  7.541043E+00
     2.0500    3.313572E-01  3.342879E-01  7.721469E+00
     2.1000    3.252861E-01  3.255874E-01  7.897001E+00
     2.1500    3.089660E-01  3.161162E-01  8.067075E+00
     2.2000    2.847388E-01  3.063642E-01  8.231959E+00
     2.2500    2.485727E-01  2.907556E-01  8.399382E+00
