PATH  Rmax= 6.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 -----------------------------------------------------------------------
  pathindex     sig2   amp ratio    deg    nlegs  r effective
        1     0.00000   100.000     6.000     2   2.2563
        2     0.00000    35.277     6.000     2   3.4304
        3     0.00000    10.401     2.000     2   3.6024
        4     0.00000     7.565    12.000     3   3.7907
        5     0.00000    56.397    12.000     2   3.8161
        6     0.00000     7.076    12.000     3   3.9107
        7     0.00000    17.105    12.000     3   3.9148
        8     0.00000    32.718    24.000     3   4.1644
        9     0.00000     4.050    12.000     3   4.3777
       10     0.00000    18.197     6.000     2   4.4333
       11     0.00000     4.569    12.000     3   4.4637
       12     0.00000    10.893     6.000     3   4.5126
       13     0.00000    12.297     6.000     4   4.5126
       14     0.00000     4.483     6.000     4   4.5126
       15     0.00000    11.453    12.000     4   4.5126
       16     0.00000     4.811    24.000     3   4.7514
       17     0.00000     9.027    24.000     3   4.7514
       18     0.00000     4.209    12.000     3   4.8374
       19     0.00000     9.086    12.000     3   4.8791
       20     0.00000     6.524    12.000     3   4.9991
       21     0.00000    12.194     6.000     2   5.1313
       22     0.00000    22.898    12.000     2   5.2478
       23     0.00000     6.640    24.000     3   5.2529
       24     0.00000    30.833    12.000     3   5.2864
       25     0.00000     3.169    12.000     3   5.3082
       26     0.00000    21.465     6.000     4   5.3250
       27     0.00000     9.766    12.000     3   5.3482
       28     0.00000    11.587     6.000     2   5.3968
       29     0.00000    11.485    12.000     3   5.4064
       30     0.00000     5.827    12.000     3   5.5418
       31     0.00000    11.144    12.000     3   5.5418
       32     0.00000    12.216    12.000     3   5.5418
       33     0.00000     2.978     6.000     4   5.5650
       35     0.00000     4.114    24.000     3   5.6601
       36     0.00000     3.640    24.000     3   5.6601
       37     0.00000     3.536     6.000     4   5.6867
       38     0.00000     3.512     6.000     4   5.6867
       39     0.00000    12.522    12.000     4   5.6867
       40     0.00000     2.947     2.000     2   5.7452
       41     0.00000    10.391     4.000     3   5.7452
       42     0.00000    10.095     2.000     4   5.7452
       43     0.00000    16.786    12.000     2   5.8495
       44     0.00000     8.235    24.000     3   5.9610
       45     0.00000     8.550    24.000     3   5.9610
