# comment: None given                          Feff8L (EXAFS)       0.1      
# Source:
# Structure Summary:  Fe4 S8
# Reduced formula:  FeS2
# space group: (Pa-3), space number:  (205)
# abc:  5.396824   5.396824   5.396824
# angles: 90.000000  90.000000  90.000000
# sites: 12
# mp-226
# POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
# Abs   Z=26 Rmt= 1.298 Rnm= 1.379 K  shell
# Pot 1 Z=26 Rmt= 1.302 Rnm= 1.388
# Pot 2 Z=16 Rmt= 1.274 Rnm= 1.379
# Gam_ch=1.309E+00 H-L exch
# Mu=-7.463E-01 kf=2.171E+00 Vint=-1.870E+01 Rs_int= 1.671
# PATH  Rmax= 6.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000                                        Global_sig2= 0.00000
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00      6.00     2   2.2563
#           2       0.00000     35.28      6.00     2   3.4304
#           3       0.00000     10.40      2.00     2   3.6024
#           4       0.00000      7.57     12.00     3   3.7907
#           5       0.00000     56.40     12.00     2   3.8161
#           6       0.00000      7.08     12.00     3   3.9107
#           7       0.00000     17.10     12.00     3   3.9148
#           8       0.00000     32.72     24.00     3   4.1644
#           9       0.00000      4.05     12.00     3   4.3777
#          10       0.00000     18.20      6.00     2   4.4333
#          11       0.00000      4.57     12.00     3   4.4637
#          12       0.00000     10.89      6.00     3   4.5126
#          13       0.00000     12.30      6.00     4   4.5126
#          14       0.00000      4.48      6.00     4   4.5126
#          15       0.00000     11.45     12.00     4   4.5126
#          16       0.00000      4.81     24.00     3   4.7514
#          17       0.00000      9.03     24.00     3   4.7514
#          18       0.00000      4.21     12.00     3   4.8374
#          19       0.00000      9.09     12.00     3   4.8791
#          20       0.00000      6.52     12.00     3   4.9991
#          21       0.00000     12.19      6.00     2   5.1313
#          22       0.00000     22.90     12.00     2   5.2478
#          23       0.00000      6.64     24.00     3   5.2529
#          24       0.00000     30.83     12.00     3   5.2864
#          26       0.00000     21.46      6.00     4   5.3250
#          27       0.00000      9.77     12.00     3   5.3482
#          28       0.00000     11.59      6.00     2   5.3968
#          29       0.00000     11.49     12.00     3   5.4064
#          30       0.00000      5.83     12.00     3   5.5418
#          31       0.00000     11.14     12.00     3   5.5418
#          32       0.00000     12.22     12.00     3   5.5418
#          35       0.00000      4.11     24.00     3   5.6601
#          39       0.00000     12.52     12.00     4   5.6867
#          41       0.00000     10.39      4.00     3   5.7452
#          42       0.00000     10.09      2.00     4   5.7452
#          43       0.00000     16.79     12.00     2   5.8495
#          44       0.00000      8.23     24.00     3   5.9610
#          45       0.00000      8.55     24.00     3   5.9610
#    38/  44 paths used
#  xsedge+50, used to normalize mu           3.1669E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
    7115.973     -0.746   0.000  8.12761E-01  4.81794E-01  3.47356E-01
    7115.982     -0.737   0.050  8.19607E-01  4.90674E-01  3.45110E-01
    7116.011     -0.708   0.100  8.26422E-01  4.99555E-01  3.42832E-01
    7116.059     -0.661   0.150  8.46175E-01  5.25663E-01  3.35846E-01
    7116.125     -0.594   0.200  8.65668E-01  5.51771E-01  3.28602E-01
    7116.211     -0.508   0.250  8.93176E-01  5.90778E-01  3.16076E-01
    7116.316     -0.403   0.300  9.20083E-01  6.29785E-01  3.02961E-01
    7116.440     -0.280   0.350  9.43856E-01  6.71269E-01  2.83889E-01
    7116.583     -0.137   0.400  9.66783E-01  7.12753E-01  2.64015E-01
    7116.744      0.025   0.450  9.76765E-01  7.47410E-01  2.37772E-01
    7116.925      0.206   0.500  9.86030E-01  7.82067E-01  2.10918E-01
    7117.125      0.406   0.550  9.80441E-01  8.07800E-01  1.78019E-01
    7117.345      0.625   0.600  9.74885E-01  8.33532E-01  1.45341E-01
    7117.583      0.863   0.650  9.57319E-01  8.52244E-01  1.07706E-01
    7117.840      1.121   0.700  9.41211E-01  8.70956E-01  7.17922E-02
    7118.116      1.397   0.750  9.17421E-01  8.84900E-01  3.31265E-02
    7118.411      1.692   0.800  8.97070E-01  8.98844E-01 -1.80101E-03
    7118.726      2.006   0.850  8.73057E-01  9.09611E-01 -3.69969E-02
    7119.059      2.340   0.900  8.54652E-01  9.20379E-01 -6.63090E-02
    7119.411      2.692   0.950  8.35840E-01  9.28957E-01 -9.36503E-02
    7119.783      3.064   1.000  8.23844E-01  9.37535E-01 -1.13989E-01
    7120.173      3.454   1.050  8.13405E-01  9.44509E-01 -1.31068E-01
    7120.583      3.864   1.100  8.09620E-01  9.51483E-01 -1.41416E-01
    7121.012      4.292   1.150  8.11557E-01  9.57203E-01 -1.44812E-01
    7121.459      4.740   1.200  8.12174E-01  9.62922E-01 -1.49498E-01
    7121.926      5.207   1.250  8.21451E-01  9.67592E-01 -1.44611E-01
    7122.412      5.693   1.300  8.29107E-01  9.72263E-01 -1.41346E-01
    7122.917      6.197   1.350  8.45919E-01  9.76014E-01 -1.28225E-01
    7123.440      6.721   1.400  8.59678E-01  9.79764E-01 -1.18153E-01
    7123.983      7.264   1.450  8.81891E-01  9.82679E-01 -9.90414E-02
    7124.545      7.826   1.500  9.07448E-01  9.85593E-01 -7.66952E-02
    7125.126      8.407   1.550  9.39509E-01  9.87732E-01 -4.72939E-02
    7125.726      9.007   1.600  9.77932E-01  9.89871E-01 -1.17002E-02
    7126.346      9.626   1.650  1.02214E+00  9.91284E-01  3.02363E-02
    7126.984     10.265   1.700  1.07155E+00  9.92697E-01  7.72495E-02
    7127.641     10.922   1.750  1.12368E+00  9.93430E-01  1.27659E-01
    7128.317     11.598   1.800  1.17668E+00  9.94164E-01  1.78957E-01
    7129.013     12.293   1.850  1.22580E+00  9.94261E-01  2.27243E-01
    7129.727     13.008   1.900  1.26942E+00  9.94359E-01  2.70217E-01
    7130.460     13.741   1.950  1.30175E+00  9.93829E-01  3.02954E-01
    7131.213     14.494   2.000  1.32323E+00  9.93299E-01  3.25088E-01
    7131.984     15.265   2.050  1.32757E+00  9.92031E-01  3.31357E-01
    7132.775     16.056   2.100  1.31942E+00  9.90763E-01  3.25286E-01
    7133.585     16.865   2.150  1.30096E+00  9.89495E-01  3.08966E-01
    7134.413     17.694   2.200  1.27463E+00  9.88227E-01  2.84739E-01
    7135.261     18.542   2.250  1.23446E+00  9.85429E-01  2.48573E-01
