# comment: None given                          Feff8L (EXAFS)       0.1      
# Source:
# Structure Summary:  Ni2
# Reduced formula:  Ni
# space group: (P6_3/mmc), space number:  (194)
# abc:  2.448023   2.448023   4.072808
# angles: 90.000000  90.000000 120.000002
# sites: 2
# mp-10257
# POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
# Abs   Z=28 Rmt= 1.311 Rnm= 1.347 K  shell
# Pot 1 Z=28 Rmt= 1.318 Rnm= 1.355
# Gam_ch=1.576E+00 H-L exch
# Mu=-1.189E+01 kf=2.095E+00 Vint=-2.862E+01 Rs_int= 1.731
# PATH  Rmax= 6.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000                                        Global_sig2= 0.00000
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00      6.00     2   2.4480
#           2       0.00000     97.36      6.00     2   2.4788
#           3       0.00000     44.87      6.00     2   3.4839
#           4       0.00000      5.36     12.00     3   3.6720
#           5       0.00000     10.19     24.00     3   3.7028
#           6       0.00000      5.39     12.00     3   3.7028
#           7       0.00000     10.22      2.00     2   4.0728
#           8       0.00000      6.59     24.00     3   4.2054
#           9       0.00000      9.52     24.00     3   4.2053
#          10       0.00000      9.54     24.00     3   4.2053
#          11       0.00000     27.71      6.00     2   4.2401
#          12       0.00000     54.84     12.00     2   4.2579
#          13       0.00000      4.97     12.00     3   4.5152
#          14       0.00000      5.48     12.00     3   4.5681
#          15       0.00000     11.58     24.00     3   4.5681
#          16       0.00000     10.57     24.00     3   4.5924
#          17       0.00000     11.12     24.00     3   4.5924
#          18       0.00000     11.10     24.00     3   4.5924
#          19       0.00000     41.35     12.00     2   4.7519
#          20       0.00000     11.15     12.00     3   4.8548
#          21       0.00000     21.53     24.00     3   4.8548
#          22       0.00000     19.11      6.00     2   4.8960
#          23       0.00000      8.57      6.00     3   4.8960
#          24       0.00000     50.28     12.00     3   4.8960
#          25       0.00000     10.37      6.00     4   4.8960
#          26       0.00000      4.01      6.00     4   4.8960
#          27       0.00000     40.89      6.00     4   4.8960
#          33       0.00000      4.62     24.00     3   5.0949
#          34       0.00000      4.86     24.00     3   5.0949
#          35       0.00000      5.08     24.00     3   5.3573
#          36       0.00000     28.12     12.00     2   5.4878
#          37       0.00000      5.55     24.00     3   5.4884
#          38       0.00000      8.57     24.00     3   5.7098
#          39       0.00000      8.23     24.00     3   5.7098
#          40       0.00000      8.88     24.00     3   5.7098
#          41       0.00000     23.23     12.00     2   5.8793
#          42       0.00000      7.49     12.00     3   5.9210
#          43       0.00000     14.44     12.00     3   5.9210
#          44       0.00000     13.68     12.00     3   5.9210
#          46       0.00000      4.81     12.00     4   5.9627
#          47       0.00000      4.91      6.00     4   5.9627
#          48       0.00000      4.50      6.00     4   5.9627
#    42/  46 paths used
#  -----------------------------------------------------------------------
#       k          chi          mag           phase @#
     0.0500   -4.808107E-01  4.834083E-01 -1.467083E+00
     0.1000   -4.801634E-01  4.831156E-01 -1.460188E+00
     0.1500   -4.780954E-01  4.822327E-01 -1.439710E+00
     0.2000   -4.757625E-01  4.812796E-01 -1.419235E+00
     0.2500   -4.714125E-01  4.796266E-01 -1.385458E+00
     0.3000   -4.663655E-01  4.777882E-01 -1.351692E+00
     0.3500   -4.584274E-01  4.750964E-01 -1.305118E+00
     0.4000   -4.492460E-01  4.720675E-01 -1.258584E+00
     0.4500   -4.361837E-01  4.680015E-01 -1.199929E+00
     0.5000   -4.213576E-01  4.634329E-01 -1.141381E+00
     0.5500   -4.017886E-01  4.576845E-01 -1.071401E+00
     0.6000   -3.801397E-01  4.512792E-01 -1.001648E+00
     0.6500   -3.532714E-01  4.435681E-01 -9.213706E-01
     0.7000   -3.244224E-01  4.350833E-01 -8.415186E-01
     0.7500   -2.905177E-01  4.252480E-01 -7.520981E-01
     0.8000   -2.553014E-01  4.145841E-01 -6.634024E-01
     0.8500   -2.159717E-01  4.026215E-01 -5.661819E-01
     0.9000   -1.765998E-01  3.898570E-01 -4.701120E-01
     0.9500   -1.347761E-01  3.759532E-01 -3.666518E-01
     1.0000   -9.461672E-02  3.613691E-01 -2.649163E-01
     1.0500   -5.409418E-02  3.459175E-01 -1.570233E-01
     1.1000   -1.701594E-02  3.300060E-01 -5.158540E-02
     1.1500    1.839621E-02  3.135978E-01  5.869550E-02
     1.2000    4.898336E-02  2.970384E-01  1.656625E-01
     1.2500    7.648536E-02  2.804996E-01  2.761728E-01
     1.3000    9.860225E-02  2.641754E-01  3.825047E-01
     1.3500    1.170557E-01  2.482065E-01  4.911110E-01
     1.4000    1.304683E-01  2.328251E-01  5.948329E-01
     1.4500    1.406713E-01  2.182970E-01  7.002426E-01
     1.5000    1.468978E-01  2.046554E-01  8.006101E-01
     1.5500    1.509002E-01  1.921829E-01  9.030041E-01
     1.6000    1.521943E-01  1.807457E-01  1.001045E+00
     1.6500    1.522341E-01  1.705776E-01  1.102774E+00
     1.7000    1.505312E-01  1.614050E-01  1.201636E+00
     1.7500    1.480793E-01  1.533880E-01  1.306936E+00
     1.8000    1.443166E-01  1.461771E-01  1.411077E+00
     1.8500    1.397179E-01  1.398665E-01  1.524688E+00
     1.9000    1.338300E-01  1.341363E-01  1.638383E+00
     1.9500    1.266186E-01  1.290257E-01  1.764261E+00
     2.0000    1.180323E-01  1.243479E-01  1.890877E+00
     2.0500    1.070854E-01  1.200958E-01  2.040579E+00
     2.1000    9.457043E-02  1.162316E-01  2.191210E+00
     2.1500    8.073536E-02  1.127891E-01  2.343812E+00
     2.2000    6.569284E-02  1.097615E-01  2.499959E+00
     2.2500    4.497259E-02  1.059986E-01  2.703431E+00
     2.3000    2.345543E-02  1.027847E-01  2.911365E+00
     2.3500    1.502791E-03  1.000343E-01  3.126569E+00
     2.4000   -2.036668E-02  9.757888E-02  3.351859E+00
