
======== running Feff module feff8l_genfmt ========
 Calculating EXAFS parameters...
    Curved wave chi amplitude ratio   4.00%
    Discard feff.dat for paths with cw ratio <   2.67%
    path  cw ratio     deg    nleg  reff
      1   100.000     6.000     2   2.4480
      2    97.358     6.000     2   2.4788
      3    44.868     6.000     2   3.4839
      4     5.358    12.000     3   3.6720
      5    10.188    24.000     3   3.7028
      6     5.388    12.000     3   3.7028
      7    10.219     2.000     2   4.0728
      8     6.589    24.000     3   4.2054
      9     9.521    24.000     3   4.2053
     10     9.542    24.000     3   4.2053
     11    27.712     6.000     2   4.2401
     12    54.839    12.000     2   4.2579
     13     4.967    12.000     3   4.5152
     14     5.478    12.000     3   4.5681
     15    11.575    24.000     3   4.5681
     16    10.572    24.000     3   4.5924
     17    11.125    24.000     3   4.5924
     18    11.099    24.000     3   4.5924
     19    41.348    12.000     2   4.7519
     20    11.148    12.000     3   4.8548
     21    21.531    24.000     3   4.8548
     22    19.112     6.000     2   4.8960
     23     8.569     6.000     3   4.8960
     24    50.281    12.000     3   4.8960
     25    10.371     6.000     4   4.8960
     26     4.008     6.000     4   4.8960
     27    40.885     6.000     4   4.8960
     28     2.337    24.000     4   4.9268 neglected
     29     3.323    24.000     4   4.9268
     30     3.112    12.000     4   4.9576
     31     3.781     6.000     4   4.9576
     32     3.809    12.000     4   4.9576
     33     4.617    24.000     3   5.0949
     34     4.863    24.000     3   5.0949
     35     5.084    24.000     3   5.3573
     36    28.119    12.000     2   5.4878
     37     5.553    24.000     3   5.4884
     38     8.568    24.000     3   5.7098
     39     8.230    24.000     3   5.7098
     40     8.881    24.000     3   5.7098
     41    23.234    12.000     2   5.8793
     42     7.486    12.000     3   5.9210
     43    14.441    12.000     3   5.9210
     44    13.681    12.000     3   5.9210
     45     1.786    24.000     4   5.9319 neglected
     46     4.813    12.000     4   5.9627
     47     4.912     6.000     4   5.9627
     48     4.502     6.000     4   5.9627
   46 paths kept,   48 examined.
 Done with module 5: F_eff.
Note: The following floating-point exceptions are signalling: IEEE_UNDERFLOW_FLAG IEEE_DENORMAL
