PATH  Rmax= 6.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 -----------------------------------------------------------------------
  pathindex     sig2   amp ratio    deg    nlegs  r effective
        1     0.00000   100.000     6.000     2   2.4480
        2     0.00000    97.358     6.000     2   2.4788
        3     0.00000    44.868     6.000     2   3.4839
        4     0.00000     5.358    12.000     3   3.6720
        5     0.00000    10.188    24.000     3   3.7028
        6     0.00000     5.388    12.000     3   3.7028
        7     0.00000    10.219     2.000     2   4.0728
        8     0.00000     6.589    24.000     3   4.2054
        9     0.00000     9.521    24.000     3   4.2053
       10     0.00000     9.542    24.000     3   4.2053
       11     0.00000    27.712     6.000     2   4.2401
       12     0.00000    54.839    12.000     2   4.2579
       13     0.00000     4.967    12.000     3   4.5152
       14     0.00000     5.478    12.000     3   4.5681
       15     0.00000    11.575    24.000     3   4.5681
       16     0.00000    10.572    24.000     3   4.5924
       17     0.00000    11.125    24.000     3   4.5924
       18     0.00000    11.099    24.000     3   4.5924
       19     0.00000    41.348    12.000     2   4.7519
       20     0.00000    11.148    12.000     3   4.8548
       21     0.00000    21.531    24.000     3   4.8548
       22     0.00000    19.112     6.000     2   4.8960
       23     0.00000     8.569     6.000     3   4.8960
       24     0.00000    50.281    12.000     3   4.8960
       25     0.00000    10.371     6.000     4   4.8960
       26     0.00000     4.008     6.000     4   4.8960
       27     0.00000    40.885     6.000     4   4.8960
       29     0.00000     3.323    24.000     4   4.9268
       30     0.00000     3.112    12.000     4   4.9576
       31     0.00000     3.781     6.000     4   4.9576
       32     0.00000     3.809    12.000     4   4.9576
       33     0.00000     4.617    24.000     3   5.0949
       34     0.00000     4.863    24.000     3   5.0949
       35     0.00000     5.084    24.000     3   5.3573
       36     0.00000    28.119    12.000     2   5.4878
       37     0.00000     5.553    24.000     3   5.4884
       38     0.00000     8.568    24.000     3   5.7098
       39     0.00000     8.230    24.000     3   5.7098
       40     0.00000     8.881    24.000     3   5.7098
       41     0.00000    23.234    12.000     2   5.8793
       42     0.00000     7.486    12.000     3   5.9210
       43     0.00000    14.441    12.000     3   5.9210
       44     0.00000    13.681    12.000     3   5.9210
       46     0.00000     4.813    12.000     4   5.9627
       47     0.00000     4.912     6.000     4   5.9627
       48     0.00000     4.502     6.000     4   5.9627
