# comment: None given                          Feff8L (EXAFS)       0.1      
# Source:
# Structure Summary:  Ni2
# Reduced formula:  Ni
# space group: (P6_3/mmc), space number:  (194)
# abc:  2.448023   2.448023   4.072808
# angles: 90.000000  90.000000 120.000002
# sites: 2
# mp-10257
# POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
# Abs   Z=28 Rmt= 1.311 Rnm= 1.347 K  shell
# Pot 1 Z=28 Rmt= 1.318 Rnm= 1.355
# Gam_ch=1.576E+00 H-L exch
# Mu=-1.189E+01 kf=2.095E+00 Vint=-2.862E+01 Rs_int= 1.731
# PATH  Rmax= 6.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000                                        Global_sig2= 0.00000
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00      6.00     2   2.4480
#           2       0.00000     97.36      6.00     2   2.4788
#           3       0.00000     44.87      6.00     2   3.4839
#           4       0.00000      5.36     12.00     3   3.6720
#           5       0.00000     10.19     24.00     3   3.7028
#           6       0.00000      5.39     12.00     3   3.7028
#           7       0.00000     10.22      2.00     2   4.0728
#           8       0.00000      6.59     24.00     3   4.2054
#           9       0.00000      9.52     24.00     3   4.2053
#          10       0.00000      9.54     24.00     3   4.2053
#          11       0.00000     27.71      6.00     2   4.2401
#          12       0.00000     54.84     12.00     2   4.2579
#          13       0.00000      4.97     12.00     3   4.5152
#          14       0.00000      5.48     12.00     3   4.5681
#          15       0.00000     11.58     24.00     3   4.5681
#          16       0.00000     10.57     24.00     3   4.5924
#          17       0.00000     11.12     24.00     3   4.5924
#          18       0.00000     11.10     24.00     3   4.5924
#          19       0.00000     41.35     12.00     2   4.7519
#          20       0.00000     11.15     12.00     3   4.8548
#          21       0.00000     21.53     24.00     3   4.8548
#          22       0.00000     19.11      6.00     2   4.8960
#          23       0.00000      8.57      6.00     3   4.8960
#          24       0.00000     50.28     12.00     3   4.8960
#          25       0.00000     10.37      6.00     4   4.8960
#          26       0.00000      4.01      6.00     4   4.8960
#          27       0.00000     40.89      6.00     4   4.8960
#          33       0.00000      4.62     24.00     3   5.0949
#          34       0.00000      4.86     24.00     3   5.0949
#          35       0.00000      5.08     24.00     3   5.3573
#          36       0.00000     28.12     12.00     2   5.4878
#          37       0.00000      5.55     24.00     3   5.4884
#          38       0.00000      8.57     24.00     3   5.7098
#          39       0.00000      8.23     24.00     3   5.7098
#          40       0.00000      8.88     24.00     3   5.7098
#          41       0.00000     23.23     12.00     2   5.8793
#          42       0.00000      7.49     12.00     3   5.9210
#          43       0.00000     14.44     12.00     3   5.9210
#          44       0.00000     13.68     12.00     3   5.9210
#          46       0.00000      4.81     12.00     4   5.9627
#          47       0.00000      4.91      6.00     4   5.9627
#          48       0.00000      4.50      6.00     4   5.9627
#    42/  46 paths used
#  xsedge+50, used to normalize mu           2.6830E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
    8342.621    -11.881   0.050  3.94919E-02  4.11264E-01 -4.80811E-01
    8342.649    -11.852   0.100  4.58913E-02  4.17404E-01 -4.80163E-01
    8342.697    -11.805   0.150  6.49730E-02  4.35598E-01 -4.78095E-01
    8342.764    -11.738   0.200  8.42667E-02  4.53793E-01 -4.75762E-01
    8342.849    -11.652   0.250  1.14680E-01  4.81983E-01 -4.71413E-01
    8342.954    -11.547   0.300  1.45659E-01  5.10173E-01 -4.66366E-01
    8343.078    -11.424   0.350  1.82757E-01  5.42606E-01 -4.58427E-01
    8343.221    -11.281   0.400  2.20889E-01  5.75039E-01 -4.49246E-01
    8343.383    -11.119   0.450  2.59329E-01  6.05012E-01 -4.36184E-01
    8343.564    -10.938   0.500  2.99284E-01  6.34985E-01 -4.21358E-01
    8343.764    -10.738   0.550  3.37371E-01  6.59468E-01 -4.01789E-01
    8343.983    -10.519   0.600  3.77329E-01  6.83951E-01 -3.80140E-01
    8344.221    -10.281   0.650  4.16416E-01  7.03342E-01 -3.53271E-01
    8344.478    -10.023   0.700  4.57424E-01  7.22732E-01 -3.24422E-01
    8344.754     -9.747   0.750  4.99074E-01  7.38434E-01 -2.90518E-01
    8345.050     -9.452   0.800  5.42228E-01  7.54136E-01 -2.55301E-01
    8345.364     -9.138   0.850  5.86687E-01  7.67359E-01 -2.15972E-01
    8345.697     -8.804   0.900  6.31695E-01  7.80582E-01 -1.76600E-01
    8346.050     -8.452   0.950  6.77590E-01  7.92133E-01 -1.34776E-01
    8346.421     -8.080   1.000  7.22629E-01  8.03684E-01 -9.46167E-02
    8346.812     -7.690   1.050  7.67333E-01  8.14048E-01 -5.40942E-02
    8347.221     -7.280   1.100  8.09600E-01  8.24413E-01 -1.70159E-02
    8347.650     -6.852   1.150  8.50005E-01  8.33864E-01  1.83962E-02
    8348.098     -6.404   1.200  8.86633E-01  8.43314E-01  4.89834E-02
    8348.564     -5.937   1.250  9.20151E-01  8.51993E-01  7.64854E-02
    8349.050     -5.451   1.300  9.49207E-01  8.60671E-01  9.86022E-02
    8349.555     -4.947   1.350  9.74504E-01  8.68639E-01  1.17056E-01
    8350.079     -4.423   1.400  9.95449E-01  8.76606E-01  1.30468E-01
    8350.622     -3.880   1.450  1.01287E+00  8.83879E-01  1.40671E-01
    8351.184     -3.318   1.500  1.02675E+00  8.91151E-01  1.46898E-01
    8351.765     -2.737   1.550  1.03785E+00  8.97720E-01  1.50900E-01
    8352.365     -2.137   1.600  1.04647E+00  9.04290E-01  1.52194E-01
    8352.984     -1.518   1.650  1.05312E+00  9.10139E-01  1.52234E-01
    8353.622     -0.879   1.700  1.05812E+00  9.15989E-01  1.50531E-01
    8354.279     -0.222   1.750  1.06154E+00  9.21096E-01  1.48079E-01
    8354.956      0.454   1.800  1.06370E+00  9.26204E-01  1.44317E-01
    8355.651      1.149   1.850  1.06416E+00  9.30551E-01  1.39718E-01
    8356.365      1.864   1.900  1.06335E+00  9.34898E-01  1.33830E-01
