# comment: None given                          Feff8L (EXAFS)       0.1      
# Source:
# Structure Summary:  P8 Pt4
# Reduced formula:  P2Pt
# space group: (Pa-3), space number:  (205)
# abc:  5.722614   5.722614   5.722614
# angles: 90.000000  90.000000  90.000000
# sites: 12
# mp-730
# POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
# Abs   Z=78 Rmt= 1.374 Rnm= 1.446 L3 shell
# Pot 1 Z=15 Rmt= 1.324 Rnm= 1.436
# Pot 2 Z=78 Rmt= 1.387 Rnm= 1.462
# Gam_ch=5.171E+00 H-L exch
# Mu= 1.703E+00 kf=2.133E+00 Vint=-1.564E+01 Rs_int= 1.700
# PATH  Rmax= 6.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000                                        Global_sig2= 0.00000
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00      6.00     2   2.4034
#           2       0.00000     28.96      6.00     2   3.6007
#           3       0.00000      7.67      2.00     2   3.8680
#           4       0.00000     53.58     12.00     2   4.0465
#           5       0.00000     10.13     12.00     3   4.0900
#           6       0.00000     23.95     24.00     3   4.4266
#           7       0.00000     11.87      6.00     2   4.7064
#           8       0.00000      6.46      6.00     3   4.8067
#           9       0.00000     18.60      6.00     4   4.8067
#          14       0.00000      7.18      6.00     2   5.4166
#          16       0.00000     12.73     12.00     2   5.5978
#          17       0.00000     14.07     12.00     3   5.6410
#          18       0.00000      4.02     12.00     3   5.6665
#          19       0.00000      7.87      6.00     4   5.6841
#          20       0.00000     10.29      6.00     2   5.7226
#          21       0.00000      4.92     12.00     3   5.7571
#          23       0.00000      8.07     12.00     3   5.8633
#          24       0.00000      8.65     12.00     3   5.8633
#    18/  21 paths used
#  -----------------------------------------------------------------------
#       k          chi          mag           phase @#
     0.0500    2.787324E-01  4.115326E-01  2.397502E+00
     0.1000    2.766627E-01  4.107194E-01  2.402517E+00
     0.1500    2.704826E-01  4.082794E-01  2.417449E+00
     0.2000    2.642991E-01  4.058304E-01  2.432355E+00
     0.2500    2.540393E-01  4.017314E-01  2.456995E+00
     0.3000    2.437925E-01  3.976106E-01  2.481558E+00
     0.3500    2.295888E-01  3.918103E-01  2.515517E+00
     0.4000    2.154716E-01  3.859773E-01  2.549318E+00
     0.4500    1.976631E-01  3.784347E-01  2.592026E+00
     0.5000    1.801168E-01  3.708594E-01  2.634458E+00
     0.5500    1.593626E-01  3.615532E-01  2.685134E+00
     0.6000    1.391851E-01  3.522363E-01  2.735365E+00
     0.6500    1.165547E-01  3.411909E-01  2.792962E+00
     0.7000    9.496027E-02  3.301914E-01  2.849881E+00
     0.7500    7.176400E-02  3.173883E-01  2.913512E+00
     0.8000    5.018147E-02  3.047427E-01  2.976171E+00
     0.8500    2.868429E-02  2.906205E-01  3.042732E+00
     0.9000    9.327687E-03  2.768312E-01  3.107892E+00
     0.9500   -8.696042E-03  2.616048E-01  3.174840E+00
     1.0000   -2.427054E-02  2.469993E-01  3.240013E+00
     1.0500   -3.706664E-02  2.314236E-01  3.302453E+00
     1.1000   -4.775620E-02  2.165515E-01  3.363951E+00
     1.1500   -5.472443E-02  2.013895E-01  3.416787E+00
     1.2000   -5.997295E-02  1.874854E-01  3.467196E+00
     1.2500   -6.291806E-02  1.745057E-01  3.510450E+00
     1.3000   -6.271592E-02  1.627459E-01  3.537192E+00
     1.3500   -6.165341E-02  1.529077E-01  3.556611E+00
     1.4000   -6.078024E-02  1.458828E-01  3.571336E+00
     1.4500   -6.035328E-02  1.417436E-01  3.581430E+00
     1.5000   -6.098544E-02  1.393880E-01  3.594435E+00
     1.5500   -6.456213E-02  1.404109E-01  3.619372E+00
     1.6000   -6.985388E-02  1.423361E-01  3.654563E+00
     1.6500   -7.915540E-02  1.463876E-01  3.712891E+00
     1.7000   -8.990804E-02  1.503015E-01  3.782826E+00
     1.7500   -1.037661E-01  1.547045E-01  3.876796E+00
     1.8000   -1.175230E-01  1.581871E-01  3.979040E+00
     1.8500   -1.317451E-01  1.608958E-01  4.100950E+00
     1.9000   -1.435705E-01  1.623195E-01  4.226999E+00
     1.9500   -1.527767E-01  1.623282E-01  4.367636E+00
     2.0000   -1.577441E-01  1.610662E-01  4.508932E+00
     2.0500   -1.577072E-01  1.578960E-01  4.663476E+00
     2.1000   -1.529791E-01  1.537914E-01  4.815216E+00
     2.1500   -1.442935E-01  1.489845E-01  4.963997E+00
     2.2000   -1.324378E-01  1.436454E-01  5.110029E+00
     2.2500   -1.164328E-01  1.368284E-01  5.265413E+00
     2.3000   -9.929338E-02  1.301833E-01  5.415677E+00
     2.3500   -8.167285E-02  1.237203E-01  5.562179E+00
     2.4000   -6.402680E-02  1.173251E-01  5.705936E+00
     2.4500   -4.801456E-02  1.104615E-01  5.833511E+00
     2.5000   -3.294574E-02  1.043228E-01  5.961880E+00
     2.5500   -1.879359E-02  9.832666E-02  6.090868E+00
     2.6000   -6.126582E-03  9.208094E-02  6.216601E+00
     2.6500    5.032623E-03  8.812842E-02  6.340322E+00
     2.7000    1.472166E-02  8.421718E-02  6.458894E+00
     2.7500    2.270730E-02  8.048150E-02  6.569213E+00
     2.8000    2.903178E-02  7.718815E-02  6.668787E+00
