PATH  Rmax= 6.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 -----------------------------------------------------------------------
  pathindex     sig2   amp ratio    deg    nlegs  r effective
        1     0.00000   100.000     6.000     2   2.4034
        2     0.00000    28.964     6.000     2   3.6007
        3     0.00000     7.667     2.000     2   3.8680
        4     0.00000    53.584    12.000     2   4.0465
        5     0.00000    10.133    12.000     3   4.0900
        6     0.00000    23.950    24.000     3   4.4266
        7     0.00000    11.869     6.000     2   4.7064
        8     0.00000     6.457     6.000     3   4.8067
        9     0.00000    18.601     6.000     4   4.8067
       10     0.00000     3.172     6.000     4   4.8067
       12     0.00000     3.126    24.000     3   5.0253
       14     0.00000     7.182     6.000     2   5.4166
       15     0.00000     3.548    24.000     3   5.5781
       16     0.00000    12.727    12.000     2   5.5978
       17     0.00000    14.071    12.000     3   5.6410
       18     0.00000     4.021    12.000     3   5.6665
       19     0.00000     7.870     6.000     4   5.6841
       20     0.00000    10.286     6.000     2   5.7226
       21     0.00000     4.917    12.000     3   5.7571
       23     0.00000     8.068    12.000     3   5.8633
       24     0.00000     8.645    12.000     3   5.8633
