# comment: None given                          Feff8L (EXAFS)       0.1      
# Source:
# Structure Summary:  P8 Pt4
# Reduced formula:  P2Pt
# space group: (Pa-3), space number:  (205)
# abc:  5.722614   5.722614   5.722614
# angles: 90.000000  90.000000  90.000000
# sites: 12
# mp-730
# POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
# Abs   Z=78 Rmt= 1.374 Rnm= 1.446 L3 shell
# Pot 1 Z=15 Rmt= 1.324 Rnm= 1.436
# Pot 2 Z=78 Rmt= 1.387 Rnm= 1.462
# Gam_ch=5.171E+00 H-L exch
# Mu= 1.703E+00 kf=2.133E+00 Vint=-1.564E+01 Rs_int= 1.700
# PATH  Rmax= 6.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000                                        Global_sig2= 0.00000
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00      6.00     2   2.4034
#           2       0.00000     28.96      6.00     2   3.6007
#           3       0.00000      7.67      2.00     2   3.8680
#           4       0.00000     53.58     12.00     2   4.0465
#           5       0.00000     10.13     12.00     3   4.0900
#           6       0.00000     23.95     24.00     3   4.4266
#           7       0.00000     11.87      6.00     2   4.7064
#           8       0.00000      6.46      6.00     3   4.8067
#           9       0.00000     18.60      6.00     4   4.8067
#          14       0.00000      7.18      6.00     2   5.4166
#          16       0.00000     12.73     12.00     2   5.5978
#          17       0.00000     14.07     12.00     3   5.6410
#          18       0.00000      4.02     12.00     3   5.6665
#          19       0.00000      7.87      6.00     4   5.6841
#          20       0.00000     10.29      6.00     2   5.7226
#          21       0.00000      4.92     12.00     3   5.7571
#          23       0.00000      8.07     12.00     3   5.8633
#          24       0.00000      8.65     12.00     3   5.8633
#    18/  21 paths used
#  xsedge+50, used to normalize mu           3.9248E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
   11563.069      1.712   0.050  8.34158E-01  5.27822E-01  2.78732E-01
   11563.097      1.741   0.100  8.34248E-01  5.30366E-01  2.76663E-01
   11563.145      1.788   0.150  8.34455E-01  5.37875E-01  2.70483E-01
   11563.212      1.855   0.200  8.34682E-01  5.45384E-01  2.64299E-01
   11563.297      1.941   0.250  8.34974E-01  5.57685E-01  2.54039E-01
   11563.402      2.046   0.300  8.35343E-01  5.69985E-01  2.43793E-01
   11563.526      2.169   0.350  8.35589E-01  5.86627E-01  2.29589E-01
   11563.669      2.312   0.400  8.36044E-01  6.03269E-01  2.15472E-01
   11563.831      2.474   0.450  8.35847E-01  6.23280E-01  1.97663E-01
   11564.012      2.655   0.500  8.36106E-01  6.43292E-01  1.80117E-01
   11564.212      2.855   0.550  8.34825E-01  6.65107E-01  1.59363E-01
   11564.431      3.074   0.600  8.34384E-01  6.86923E-01  1.39185E-01
   11564.669      3.312   0.650  8.31438E-01  7.08641E-01  1.16555E-01
   11564.926      3.570   0.700  8.29845E-01  7.30359E-01  9.49603E-02
   11565.202      3.846   0.750  8.25021E-01  7.50272E-01  7.17640E-02
   11565.498      4.141   0.800  8.22149E-01  7.70185E-01  5.01815E-02
   11565.812      4.455   0.850  8.16754E-01  7.87223E-01  2.86843E-02
   11566.145      4.789   0.900  8.13809E-01  8.04262E-01  9.32769E-03
   11566.498      5.141   0.950  8.09239E-01  8.18090E-01 -8.69604E-03
   11566.869      5.513   1.000  8.07356E-01  8.31918E-01 -2.42705E-02
   11567.260      5.903   1.050  8.05427E-01  8.42739E-01 -3.70666E-02
   11567.669      6.313   1.100  8.05744E-01  8.53560E-01 -4.77562E-02
   11568.098      6.741   1.150  8.07322E-01  8.61851E-01 -5.47244E-02
   11568.546      7.189   1.200  8.10673E-01  8.70142E-01 -5.99730E-02
   11569.012      7.656   1.250  8.14332E-01  8.76457E-01 -6.29181E-02
   11569.498      8.142   1.300  8.21109E-01  8.82772E-01 -6.27159E-02
   11570.003      8.646   1.350  8.27230E-01  8.87633E-01 -6.16534E-02
   11570.527      9.170   1.400  8.33158E-01  8.92494E-01 -6.07802E-02
   11571.070      9.713   1.450  8.37585E-01  8.96340E-01 -6.03533E-02
   11571.632     10.275   1.500  8.40982E-01  9.00185E-01 -6.09854E-02
   11572.213     10.856   1.550  8.40820E-01  9.03367E-01 -6.45621E-02
   11572.813     11.456   1.600  8.39013E-01  9.06549E-01 -6.98539E-02
   11573.432     12.075   1.650  8.32902E-01  9.09334E-01 -7.91554E-02
   11574.070     12.714   1.700  8.25414E-01  9.12118E-01 -8.99080E-02
   11574.727     13.371   1.750  8.14681E-01  9.14695E-01 -1.03766E-01
   11575.404     14.047   1.800  8.04060E-01  9.17272E-01 -1.17523E-01
   11576.099     14.742   1.850  7.92851E-01  9.19778E-01 -1.31745E-01
   11576.813     15.457   1.900  7.83947E-01  9.22284E-01 -1.43570E-01
   11577.547     16.190   1.950  7.77563E-01  9.24873E-01 -1.52777E-01
   11578.299     16.943   2.000  7.75257E-01  9.27461E-01 -1.57744E-01
   11579.071     17.714   2.050  7.77467E-01  9.29831E-01 -1.57707E-01
   11579.861     18.505   2.100  7.84214E-01  9.32201E-01 -1.52979E-01
   11580.671     19.314   2.150  7.94807E-01  9.34570E-01 -1.44294E-01
