# comment: None given                          Feff8L (EXAFS)       0.1      
# Source:
# Structure Summary:  Pt2
# Reduced formula:  Pt
# space group: (P6_3/mmc), space number:  (194)
# abc:  2.760666   2.760665   4.792134
# angles: 90.000000  90.000000 120.000009
# sites: 2
# mp-2647022
# POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
# Abs   Z=78 Rmt= 1.481 Rnm= 1.520 L3 shell
# Pot 1 Z=78 Rmt= 1.495 Rnm= 1.537
# Gam_ch=5.171E+00 H-L exch
# Mu=-1.529E-01 kf=1.999E+00 Vint=-1.538E+01 Rs_int= 1.814
# PATH  Rmax= 6.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000                                        Global_sig2= 0.00000
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00      6.00     2   2.7607
#           2       0.00000     93.63      6.00     2   2.8778
#           3       0.00000     48.09      6.00     2   3.9878
#           4       0.00000      7.51     12.00     3   4.1410
#           5       0.00000     13.12     24.00     3   4.2581
#           6       0.00000      6.00     12.00     3   4.2581
#           7       0.00000     30.27      6.00     2   4.7816
#           8       0.00000     10.03      2.00     2   4.7921
#           9       0.00000      5.37     24.00     3   4.8131
#          10       0.00000      5.43     24.00     3   4.8131
#          11       0.00000     58.25     12.00     2   4.8502
#          12       0.00000     16.46     24.00     3   5.1515
#          13       0.00000      9.64     24.00     3   5.2443
#          14       0.00000     13.70     24.00     3   5.2443
#          15       0.00000     13.79     24.00     3   5.2443
#          16       0.00000     20.18      6.00     2   5.5213
#          17       0.00000      8.36      6.00     3   5.5213
#          18       0.00000     87.37     12.00     3   5.5213
#          19       0.00000     15.19      6.00     4   5.5213
#          21       0.00000     99.11      6.00     4   5.5213
#          22       0.00000     40.17     12.00     2   5.5304
#          23       0.00000      4.13     24.00     4   5.6384
#          25       0.00000      5.99     12.00     3   5.6430
#          26       0.00000     42.48     24.00     3   5.6430
#          29       0.00000     12.96     12.00     4   5.7555
#    25/  28 paths used
#  -----------------------------------------------------------------------
#       k          chi          mag           phase @#
     0.0500   -8.148822E-03  1.489625E-01 -3.086861E+00
     0.1000   -8.770682E-03  1.483165E-01 -3.082423E+00
     0.1500   -1.056736E-02  1.464181E-01 -3.069357E+00
     0.2000   -1.229954E-02  1.445089E-01 -3.056377E+00
     0.2500   -1.498817E-02  1.414480E-01 -3.035431E+00
     0.3000   -1.750343E-02  1.383626E-01 -3.014749E+00
     0.3500   -2.065148E-02  1.342915E-01 -2.987199E+00
     0.4000   -2.347995E-02  1.301874E-01 -2.960245E+00
     0.4500   -2.657837E-02  1.253207E-01 -2.927887E+00
     0.5000   -2.920016E-02  1.204295E-01 -2.896685E+00
     0.5500   -3.189909E-02  1.150962E-01 -2.860764E+00
     0.6000   -3.400003E-02  1.097783E-01 -2.826699E+00
     0.6500   -3.571709E-02  1.042262E-01 -2.791816E+00
     0.7000   -3.676563E-02  9.875820E-02 -2.760129E+00
     0.7500   -3.753958E-02  9.341571E-02 -2.728051E+00
     0.8000   -3.768162E-02  8.826254E-02 -2.700501E+00
     0.8500   -3.771762E-02  8.352001E-02 -2.673035E+00
     0.9000   -3.725806E-02  7.908547E-02 -2.651042E+00
     0.9500   -3.700421E-02  7.527916E-02 -2.627713E+00
     1.0000   -3.645999E-02  7.187425E-02 -2.609573E+00
     1.0500   -3.639937E-02  6.913818E-02 -2.587146E+00
     1.1000   -3.624925E-02  6.682921E-02 -2.568282E+00
     1.1500   -3.681421E-02  6.510659E-02 -2.540620E+00
     1.2000   -3.742267E-02  6.375324E-02 -2.514254E+00
     1.2500   -3.875967E-02  6.277322E-02 -2.476089E+00
     1.3000   -4.016360E-02  6.206658E-02 -2.437811E+00
     1.3500   -4.222307E-02  6.156536E-02 -2.385856E+00
     1.4000   -4.428710E-02  6.125641E-02 -2.333488E+00
     1.4500   -4.680215E-02  6.103902E-02 -2.267817E+00
     1.5000   -4.923998E-02  6.099649E-02 -2.202099E+00
     1.5500   -5.198166E-02  6.104640E-02 -2.122733E+00
     1.6000   -5.458969E-02  6.130752E-02 -2.043317E+00
     1.6500   -5.737260E-02  6.171336E-02 -1.948097E+00
