PATH  Rmax= 6.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 -----------------------------------------------------------------------
  pathindex     sig2   amp ratio    deg    nlegs  r effective
        1     0.00000   100.000     6.000     2   2.7607
        2     0.00000    93.629     6.000     2   2.8778
        3     0.00000    48.089     6.000     2   3.9878
        4     0.00000     7.511    12.000     3   4.1410
        5     0.00000    13.119    24.000     3   4.2581
        6     0.00000     5.997    12.000     3   4.2581
        7     0.00000    30.275     6.000     2   4.7816
        8     0.00000    10.032     2.000     2   4.7921
        9     0.00000     5.368    24.000     3   4.8131
       10     0.00000     5.432    24.000     3   4.8131
       11     0.00000    58.254    12.000     2   4.8502
       12     0.00000    16.458    24.000     3   5.1515
       13     0.00000     9.635    24.000     3   5.2443
       14     0.00000    13.699    24.000     3   5.2443
       15     0.00000    13.791    24.000     3   5.2443
       16     0.00000    20.180     6.000     2   5.5213
       17     0.00000     8.362     6.000     3   5.5213
       18     0.00000    87.366    12.000     3   5.5213
       19     0.00000    15.186     6.000     4   5.5213
       20     0.00000     3.586     6.000     4   5.5213
       21     0.00000    99.106     6.000     4   5.5213
       22     0.00000    40.166    12.000     2   5.5304
       23     0.00000     4.130    24.000     4   5.6384
       25     0.00000     5.990    12.000     3   5.6430
       26     0.00000    42.481    24.000     3   5.6430
       27     0.00000     2.821    12.000     4   5.7555
       28     0.00000     2.928     6.000     4   5.7555
       29     0.00000    12.965    12.000     4   5.7555
