# comment: None given                          Feff8L (EXAFS)       0.1      
# Source:
# Structure Summary:  Pt2 O4
# Reduced formula:  PtO2
# space group: (Pn-3m), space number:  (224)
# abc:  4.483783   4.483783   4.483783
# angles: 90.000000  90.000000  90.000000
# sites: 6
# mp-20119
# POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
# Abs   Z=78 Rmt= 1.262 Rnm= 1.415 L3 shell
# Pot 1 Z= 8 Rmt= 0.968 Rnm= 1.088
# Pot 2 Z=78 Rmt= 1.267 Rnm= 1.427
# Gam_ch=5.171E+00 H-L exch
# Mu= 5.496E+00 kf=2.289E+00 Vint=-1.447E+01 Rs_int= 1.584
# PATH  Rmax= 6.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000                                        Global_sig2= 0.00000
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00      4.00     2   1.9415
#           2       0.00000     17.79     12.00     3   3.5268
#           3       0.00000     54.95     12.00     2   3.7178
#           4       0.00000     46.25      8.00     2   3.8831
#           5       0.00000     63.62      8.00     3   3.8831
#           6       0.00000      8.10      4.00     4   3.8831
#           7       0.00000     40.94      4.00     4   3.8831
#           8       0.00000      6.08     12.00     4   3.8831
#           9       0.00000     12.02     48.00     3   4.4149
#          10       0.00000     24.11      6.00     2   4.4838
#          11       0.00000      4.55     24.00     3   4.7712
#          12       0.00000     23.15     12.00     2   4.8861
#          13       0.00000     22.22     24.00     3   4.9991
#          14       0.00000      7.34     24.00     3   5.0715
#          17       0.00000      5.70     12.00     4   5.1121
#          18       0.00000      9.37     12.00     4   5.1121
#          19       0.00000      5.47     24.00     3   5.3554
#          20       0.00000      7.33     24.00     3   5.3553
#          21       0.00000      5.32     24.00     4   5.3554
#          22       0.00000     11.12     24.00     4   5.3553
#          23       0.00000      5.47     24.00     4   5.4683
#          24       0.00000      4.13     24.00     4   5.4683
#          25       0.00000     11.13     24.00     5   5.4683
#          27       0.00000     10.01     24.00     3   5.5754
#          28       0.00000     10.27     24.00     4   5.6593
#          31       0.00000     16.75     16.00     2   5.8246
#          32       0.00000      4.63      8.00     3   5.8246
#          33       0.00000     20.11      8.00     3   5.8246
#          34       0.00000      8.85      8.00     4   5.8246
#          36       0.00000     25.41      4.00     4   5.8246
#    30/  33 paths used
#  -----------------------------------------------------------------------
#       k          chi          mag           phase @#
     0.0500    3.181607E-03  3.850665E-01  3.133330E+00
     0.1000    1.658686E-03  3.848095E-01  3.137282E+00
     0.1500   -2.879276E-03  3.840389E-01  3.149090E+00
     0.2000   -7.406575E-03  3.832506E-01  3.160920E+00
     0.2500   -1.490552E-02  3.819301E-01  3.180629E+00
     0.3000   -2.236651E-02  3.805612E-01  3.200399E+00
     0.3500   -3.296974E-02  3.785746E-01  3.228792E+00
     0.4000   -4.346634E-02  3.764953E-01  3.257301E+00
     0.4500   -5.640158E-02  3.738758E-01  3.293027E+00
     0.5000   -6.912152E-02  3.711055E-01  3.328945E+00
     0.5500   -8.427656E-02  3.676748E-01  3.372864E+00
     0.6000   -9.901517E-02  3.640231E-01  3.417066E+00
     0.6500   -1.157527E-01  3.596332E-01  3.469289E+00
     0.7000   -1.317573E-01  3.549407E-01  3.521904E+00
     0.7500   -1.491580E-01  3.494142E-01  3.582633E+00
     0.8000   -1.653639E-01  3.434909E-01  3.643868E+00
     0.8500   -1.821317E-01  3.366130E-01  3.713303E+00
     0.9000   -1.970815E-01  3.292326E-01  3.783356E+00
     0.9500   -2.115404E-01  3.207633E-01  3.861734E+00
     1.0000   -2.234138E-01  3.116780E-01  3.940809E+00
     1.0500   -2.334840E-01  3.013212E-01  4.028098E+00
     1.1000   -2.401452E-01  2.902339E-01  4.116090E+00
     1.1500   -2.436922E-01  2.777115E-01  4.212219E+00
     1.2000   -2.431314E-01  2.643606E-01  4.308898E+00
     1.2500   -2.383627E-01  2.494308E-01  4.413372E+00
     1.3000   -2.292089E-01  2.336122E-01  4.517924E+00
     1.3500   -2.153707E-01  2.161159E-01  4.629322E+00
     1.4000   -1.976706E-01  1.977438E-01  4.739605E+00
     1.4500   -1.759080E-01  1.776998E-01  4.854516E+00
     1.5000   -1.519275E-01  1.569154E-01  4.965202E+00
     1.5500   -1.258995E-01  1.346311E-01  5.074519E+00
     1.6000   -1.004642E-01  1.119764E-01  5.169819E+00
     1.6500   -7.632320E-02  8.846020E-02  5.242409E+00
     1.7000   -5.626131E-02  6.573396E-02  5.255908E+00
     1.7500   -4.129950E-02  4.506041E-02  5.123853E+00
     1.8000   -3.345984E-02  3.347667E-02  4.680680E+00
     1.8500   -3.355246E-02  3.997599E-02  4.137615E+00
     1.9000   -4.184371E-02  5.841092E-02  3.940175E+00
     1.9500   -5.825538E-02  8.080774E-02  3.946712E+00
     2.0000   -8.067811E-02  1.032523E-01  4.038448E+00
     2.0500   -1.083280E-01  1.258231E-01  4.178736E+00
     2.1000   -1.364418E-01  1.464363E-01  4.340790E+00
     2.1500   -1.614314E-01  1.646330E-01  4.514852E+00
     2.2000   -1.800715E-01  1.800961E-01  4.695871E+00
     2.2500   -1.906072E-01  1.938797E-01  4.896383E+00
     2.3000   -1.890158E-01  2.040955E-01  5.099206E+00
     2.3500   -1.750456E-01  2.106737E-01  5.302490E+00
     2.4000   -1.500261E-01  2.136551E-01  5.504719E+00
     2.4500   -1.134186E-01  2.140016E-01  5.724598E+00
     2.5000   -7.086959E-02  2.103700E-01  5.939583E+00
     2.5500   -2.750574E-02  2.032403E-01  6.147433E+00
     2.6000    1.205356E-02  1.932485E-01  6.345599E+00
     2.6500    4.417217E-02  1.786412E-01  6.533044E+00
     2.7000    6.646655E-02  1.638693E-01  6.700828E+00
     2.7500    8.029693E-02  1.500549E-01  6.847832E+00
     2.8000    8.815125E-02  1.381134E-01  6.975411E+00
     2.8500    9.389889E-02  1.293577E-01  7.095507E+00
     2.9000    9.750372E-02  1.222510E-01  7.206441E+00
