 comment: None given                            Feff8L (EXAFS)       0.1
 Source:
 Structure Summary:  Pt2 O4
 Reduced formula:  PtO2
 space group: (Pn-3m), space number:  (224)
 abc:  4.483783   4.483783   4.483783
 angles: 90.000000  90.000000  90.000000
 sites: 6
 mp-20119
 POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
 Abs   Z=78 Rmt= 1.262 Rnm= 1.415 L3 shell
 Pot 1 Z= 8 Rmt= 0.968 Rnm= 1.088
 Pot 2 Z=78 Rmt= 1.267 Rnm= 1.427
 Gam_ch=5.171E+00 H-L exch
 Mu= 5.496E+00 kf=2.289E+00 Vint=-1.447E+01 Rs_int= 1.584
 PATH  Rmax= 6.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 Path   16      icalc       2
 -----------------------------------------------------------------------
   4  12.000   5.1121    2.3109    5.49615 nleg, deg, reff, rnrmav(bohr), edge
        x         y         z   pot at#
    -0.0000   -0.0000   -0.0000  0  78 Pt       absorbing atom
     1.1210   -1.1210    1.1210  1   8 O
    -1.1210    1.1210    1.1210  1   8 O
     1.1210   -1.1210    1.1210  1   8 O
    k   real[2*phc]   mag[feff]  phase[feff] red factor   lambda     real[p]@#
  0.000  1.1450E+01  4.7022E-05 -1.2743E+01  1.068E+00  6.7607E+00  2.2939E+00
  0.100  1.1449E+01  2.4646E-02 -1.3746E+01  1.068E+00  6.7668E+00  2.2959E+00
  0.200  1.1447E+01  4.8835E-02 -1.4715E+01  1.068E+00  6.7849E+00  2.3022E+00
  0.300  1.1442E+01  7.2138E-02 -1.5649E+01  1.068E+00  6.8146E+00  2.3125E+00
  0.400  1.1435E+01  9.4179E-02 -1.6548E+01  1.068E+00  6.8550E+00  2.3269E+00
  0.500  1.1427E+01  1.1466E-01 -1.7413E+01  1.067E+00  6.9050E+00  2.3452E+00
  0.600  1.1417E+01  1.3337E-01 -1.8243E+01  1.067E+00  6.9630E+00  2.3675E+00
  0.700  1.1405E+01  1.5016E-01 -1.9041E+01  1.067E+00  7.0275E+00  2.3936E+00
  0.800  1.1391E+01  1.6499E-01 -1.9805E+01  1.067E+00  7.0965E+00  2.4234E+00
  0.900  1.1376E+01  1.7788E-01 -2.0538E+01  1.067E+00  7.1679E+00  2.4568E+00
  1.000  1.1359E+01  1.8889E-01 -2.1239E+01  1.067E+00  7.2395E+00  2.4938E+00
  1.100  1.1340E+01  1.9813E-01 -2.1910E+01  1.067E+00  7.3091E+00  2.5341E+00
  1.200  1.1320E+01  2.0573E-01 -2.2550E+01  1.067E+00  7.3746E+00  2.5777E+00
  1.300  1.1298E+01  2.1183E-01 -2.3160E+01  1.067E+00  7.4338E+00  2.6245E+00
  1.400  1.1275E+01  2.1656E-01 -2.3740E+01  1.067E+00  7.4851E+00  2.6744E+00
  1.500  1.1250E+01  2.2004E-01 -2.4291E+01  1.067E+00  7.5271E+00  2.7273E+00
  1.600  1.1224E+01  2.2239E-01 -2.4813E+01  1.068E+00  7.5588E+00  2.7832E+00
  1.700  1.1196E+01  2.2367E-01 -2.5306E+01  1.068E+00  7.5799E+00  2.8421E+00
  1.800  1.1167E+01  2.2395E-01 -2.5770E+01  1.069E+00  7.5907E+00  2.9038E+00
  1.900  1.1137E+01  2.2327E-01 -2.6206E+01  1.070E+00  7.5922E+00  2.9684E+00
  2.000  1.1105E+01  2.2161E-01 -2.6612E+01  1.071E+00  7.5861E+00  3.0359E+00
  2.200  1.1037E+01  2.1533E-01 -2.7339E+01  1.073E+00  7.5625E+00  3.1796E+00
  2.400  1.0961E+01  2.0477E-01 -2.7950E+01  1.075E+00  7.5501E+00  3.3354E+00
  2.600  1.0863E+01  1.8801E-01 -2.8400E+01  1.076E+00  7.5977E+00  3.5121E+00
  2.800  1.0770E+01  2.0992E-01 -2.8827E+01  1.156E+00  5.7518E+00  3.6942E+00
  3.000  1.0755E+01  2.1959E-01 -2.9413E+01  1.199E+00  4.9815E+00  3.8336E+00
  3.200  1.0749E+01  2.1292E-01 -2.9999E+01  1.221E+00  4.6504E+00  3.9673E+00
  3.400  1.0727E+01  1.9631E-01 -3.0525E+01  1.228E+00  4.4890E+00  4.1111E+00
  3.600  1.0697E+01  1.7339E-01 -3.1009E+01  1.233E+00  4.4257E+00  4.2602E+00
  3.800  1.0660E+01  1.4907E-01 -3.1465E+01  1.230E+00  4.4235E+00  4.4142E+00
  4.000  1.0616E+01  1.2550E-01 -3.1895E+01  1.226E+00  4.4629E+00  4.5725E+00
  4.200  1.0565E+01  1.0412E-01 -3.2307E+01  1.219E+00  4.5326E+00  4.7348E+00
  4.400  1.0507E+01  8.5294E-02 -3.2705E+01  1.210E+00  4.6258E+00  4.9007E+00
  4.600  1.0443E+01  6.9378E-02 -3.3089E+01  1.200E+00  4.7376E+00  5.0698E+00
  4.800  1.0373E+01  5.6249E-02 -3.3462E+01  1.189E+00  4.8648E+00  5.2417E+00
  5.000  1.0299E+01  4.5528E-02 -3.3823E+01  1.178E+00  5.0050E+00  5.4162E+00
  5.200  1.0222E+01  3.6832E-02 -3.4172E+01  1.165E+00  5.1563E+00  5.5929E+00
  5.400  1.0142E+01  2.9772E-02 -3.4509E+01  1.153E+00  5.3175E+00  5.7717E+00
  5.600  1.0061E+01  2.4026E-02 -3.4834E+01  1.140E+00  5.4873E+00  5.9523E+00
  5.800  9.9808E+00  1.9382E-02 -3.5149E+01  1.127E+00  5.6650E+00  6.1345E+00
  6.000  9.9004E+00  1.5658E-02 -3.5452E+01  1.115E+00  5.8499E+00  6.3182E+00
  6.500  9.7038E+00  9.2765E-03 -3.6162E+01  1.086E+00  6.3393E+00  6.7828E+00
  7.000  9.5109E+00  5.6198E-03 -3.6805E+01  1.060E+00  6.8627E+00  7.2537E+00
  7.500  9.3150E+00  3.5449E-03 -3.7399E+01  1.037E+00  7.4152E+00  7.7294E+00
  8.000  9.1132E+00  2.3519E-03 -3.7959E+01  1.018E+00  7.9932E+00  8.2091E+00
  8.500  8.9094E+00  1.6282E-03 -3.8482E+01  1.002E+00  8.5941E+00  8.6917E+00
  9.000  8.7080E+00  1.1481E-03 -3.8973E+01  9.876E-01  9.2160E+00  9.1768E+00
  9.500  8.5151E+00  8.0813E-04 -3.9430E+01  9.757E-01  9.8570E+00  9.6639E+00
 10.000  8.3301E+00  5.6808E-04 -3.9859E+01  9.665E-01  1.0516E+01  1.0153E+01
 11.000  7.9735E+00  2.9706E-04 -4.0642E+01  9.545E-01  1.1883E+01  1.1134E+01
 12.000  7.6304E+00  1.7371E-04 -4.1340E+01  9.461E-01  1.3309E+01  1.2119E+01
 13.000  7.3125E+00  1.0188E-04 -4.1993E+01  9.401E-01  1.4789E+01  1.3107E+01
 14.000  7.0128E+00  5.8322E-05 -4.2612E+01  9.372E-01  1.6319E+01  1.4097E+01
 15.000  6.7273E+00  3.3386E-05 -4.3126E+01  9.350E-01  1.7893E+01  1.5089E+01
 16.000  6.4616E+00  1.7843E-05 -4.3517E+01  9.333E-01  1.9510E+01  1.6082E+01
 17.000  6.2091E+00  8.6678E-06 -4.3666E+01  9.314E-01  2.1167E+01  1.7076E+01
 18.000  5.9686E+00  6.2378E-06 -4.3526E+01  9.291E-01  2.2860E+01  1.8071E+01
 19.000  5.7398E+00  6.1180E-06 -4.3613E+01  9.278E-01  2.4588E+01  1.9066E+01
 20.000  5.5207E+00  6.1968E-06 -4.3896E+01  9.272E-01  2.6348E+01  2.0062E+01
