PATH  Rmax= 6.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 -----------------------------------------------------------------------
  pathindex     sig2   amp ratio    deg    nlegs  r effective
        1     0.00000   100.000     4.000     2   1.9415
        2     0.00000    17.793    12.000     3   3.5268
        3     0.00000    54.953    12.000     2   3.7178
        4     0.00000    46.250     8.000     2   3.8831
        5     0.00000    63.624     8.000     3   3.8831
        6     0.00000     8.103     4.000     4   3.8831
        7     0.00000    40.938     4.000     4   3.8831
        8     0.00000     6.083    12.000     4   3.8831
        9     0.00000    12.019    48.000     3   4.4149
       10     0.00000    24.106     6.000     2   4.4838
       11     0.00000     4.555    24.000     3   4.7712
       12     0.00000    23.148    12.000     2   4.8861
       13     0.00000    22.223    24.000     3   4.9991
       14     0.00000     7.345    24.000     3   5.0715
       16     0.00000     3.775    24.000     3   5.0715
       17     0.00000     5.701    12.000     4   5.1121
       18     0.00000     9.372    12.000     4   5.1121
       19     0.00000     5.475    24.000     3   5.3554
       20     0.00000     7.334    24.000     3   5.3553
       21     0.00000     5.319    24.000     4   5.3554
       22     0.00000    11.117    24.000     4   5.3553
       23     0.00000     5.472    24.000     4   5.4683
       24     0.00000     4.128    24.000     4   5.4683
       25     0.00000    11.128    24.000     5   5.4683
       26     0.00000     3.992    24.000     5   5.4683
       27     0.00000    10.005    24.000     3   5.5754
       28     0.00000    10.268    24.000     4   5.6593
       31     0.00000    16.753    16.000     2   5.8246
       32     0.00000     4.629     8.000     3   5.8246
       33     0.00000    20.111     8.000     3   5.8246
       34     0.00000     8.855     8.000     4   5.8246
       36     0.00000    25.412     4.000     4   5.8246
       40     0.00000     2.738     8.000     6   5.8246
