 Calculating EXAFS parameters...
    Curved wave chi amplitude ratio   4.00%
    Discard feff.dat for paths with cw ratio <   2.67%
    path  cw ratio     deg    nleg  reff
      1   100.000     4.000     2   1.9415
      2    17.793    12.000     3   3.5268
      3    54.953    12.000     2   3.7178
      4    46.250     8.000     2   3.8831
      5    63.624     8.000     3   3.8831
      6     8.103     4.000     4   3.8831
      7    40.938     4.000     4   3.8831
      8     6.083    12.000     4   3.8831
      9    12.019    48.000     3   4.4149
     10    24.106     6.000     2   4.4838
     11     4.555    24.000     3   4.7712
     12    23.148    12.000     2   4.8861
     13    22.223    24.000     3   4.9991
     14     7.345    24.000     3   5.0715
     15     2.042    24.000     3   5.0715 neglected
     16     3.775    24.000     3   5.0715
     17     5.701    12.000     4   5.1121
     18     9.372    12.000     4   5.1121
     19     5.475    24.000     3   5.3554
     20     7.334    24.000     3   5.3553
     21     5.319    24.000     4   5.3554
     22    11.117    24.000     4   5.3553
     23     5.472    24.000     4   5.4683
     24     4.128    24.000     4   5.4683
     25    11.128    24.000     5   5.4683
     26     3.992    24.000     5   5.4683
     27    10.005    24.000     3   5.5754
     28    10.268    24.000     4   5.6593
     29     1.870    48.000     4   5.6593 neglected
     30     2.661    48.000     4   5.6593 neglected
     31    16.753    16.000     2   5.8246
     32     4.629     8.000     3   5.8246
     33    20.111     8.000     3   5.8246
     34     8.855     8.000     4   5.8246
     35     2.363     8.000     4   5.8246 neglected
     36    25.412     4.000     4   5.8246
     37     2.277     8.000     5   5.8246 neglected
     38     2.546     8.000     5   5.8246 neglected
     39     2.370     8.000     5   5.8246 neglected
     40     2.738     8.000     6   5.8246
     41     1.416     4.000     6   5.8246 neglected
   33 paths kept,   41 examined.
 Done with module 5: F_eff.
