# comment: None given                          Feff8L (EXAFS)       0.1      
# Source:
# Structure Summary:  U1 O2
# Reduced formula:  UO2
# space group: (Fm-3m), space number:  (225)
# abc:  3.856567   3.856567   3.856567
# angles: 60.000000  60.000000  60.000000
# sites: 3
# mp-1597
# POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
# Abs   Z=92 Rmt= 1.626 Rnm= 1.706 L3 shell
# Pot 1 Z= 8 Rmt= 1.042 Rnm= 1.093
# Gam_ch=8.104E+00 H-L exch
# Mu=-4.652E+00 kf=2.032E+00 Vint=-2.038E+01 Rs_int= 1.785
# PATH  Rmax= 6.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000                                        Global_sig2= 0.00000
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00      8.00     2   2.3617
#           2       0.00000      7.66     24.00     3   3.7252
#           3       0.00000      8.06     24.00     3   4.2899
#           4       0.00000     34.73     24.00     2   4.5222
#           5       0.00000      5.91      8.00     3   4.7233
#           6       0.00000     12.51      8.00     4   4.7233
#           7       0.00000      5.60      8.00     4   4.7233
#           8       0.00000     12.56     48.00     3   4.8054
#          10       0.00000      4.56     96.00     3   5.3702
#          11       0.00000     11.36     24.00     2   5.9434
#    10/  11 paths used
#  -----------------------------------------------------------------------
#       k          chi          mag           phase @#
     0.0000    4.561924E-02  1.911401E-01  2.409951E-01
     0.0500    4.689943E-02  1.914074E-01  2.475445E-01
     0.1000    4.818095E-02  1.916734E-01  2.540955E-01
     0.1500    5.202232E-02  1.924847E-01  2.736706E-01
     0.2000    5.587359E-02  1.932839E-01  2.932606E-01
     0.2500    6.229462E-02  1.945968E-01  3.258577E-01
     0.3000    6.872409E-02  1.958752E-01  3.584855E-01
     0.3500    7.768740E-02  1.976148E-01  4.040282E-01
     0.4000    8.661060E-02  1.992850E-01  4.496016E-01
     0.4500    9.791436E-02  2.013275E-01  5.079005E-01
     0.5000    1.090287E-01  2.032522E-01  5.661903E-01
     0.5500    1.221561E-01  2.054130E-01  6.368739E-01
     0.6000    1.347850E-01  2.073958E-01  7.074431E-01
     0.6500    1.487490E-01  2.094274E-01  7.898748E-01
     0.7000    1.617081E-01  2.112132E-01  8.719977E-01
     0.7500    1.749719E-01  2.128178E-01  9.652083E-01
     0.8000    1.865513E-01  2.141115E-01  1.057807E+00
     0.8500    1.971267E-01  2.149740E-01  1.160441E+00
     0.9000    2.052900E-01  2.154795E-01  1.262040E+00
     0.9500    2.110959E-01  2.153229E-01  1.372325E+00
     1.0000    2.139397E-01  2.148045E-01  1.481033E+00
     1.0500    2.134187E-01  2.134914E-01  1.596901E+00
     1.1000    2.098108E-01  2.118771E-01  1.710570E+00
