PATH  Rmax= 6.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 -----------------------------------------------------------------------
  pathindex     sig2   amp ratio    deg    nlegs  r effective
        1     0.00000   100.000     8.000     2   2.3617
        2     0.00000     7.658    24.000     3   3.7252
        3     0.00000     8.061    24.000     3   4.2899
        4     0.00000    34.726    24.000     2   4.5222
        5     0.00000     5.911     8.000     3   4.7233
        6     0.00000    12.511     8.000     4   4.7233
        7     0.00000     5.604     8.000     4   4.7233
        8     0.00000    12.561    48.000     3   4.8054
        9     0.00000     3.636    24.000     4   5.0887
       10     0.00000     4.558    96.000     3   5.3702
       11     0.00000    11.363    24.000     2   5.9434
