# comment: None given                          Feff8L (EXAFS)       0.1      
# Source:
# Structure Summary:  U1 O2
# Reduced formula:  UO2
# space group: (Fm-3m), space number:  (225)
# abc:  3.856567   3.856567   3.856567
# angles: 60.000000  60.000000  60.000000
# sites: 3
# mp-1597
# POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
# Abs   Z=92 Rmt= 1.626 Rnm= 1.706 L3 shell
# Pot 1 Z= 8 Rmt= 1.042 Rnm= 1.093
# Gam_ch=8.104E+00 H-L exch
# Mu=-4.652E+00 kf=2.032E+00 Vint=-2.038E+01 Rs_int= 1.785
# PATH  Rmax= 6.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000                                        Global_sig2= 0.00000
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00      8.00     2   2.3617
#           2       0.00000      7.66     24.00     3   3.7252
#           3       0.00000      8.06     24.00     3   4.2899
#           4       0.00000     34.73     24.00     2   4.5222
#           5       0.00000      5.91      8.00     3   4.7233
#           6       0.00000     12.51      8.00     4   4.7233
#           7       0.00000      5.60      8.00     4   4.7233
#           8       0.00000     12.56     48.00     3   4.8054
#          10       0.00000      4.56     96.00     3   5.3702
#          11       0.00000     11.36     24.00     2   5.9434
#    10/  11 paths used
#  xsedge+50, used to normalize mu           2.1866E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
   17165.091     -4.652   0.000  7.74426E-01  6.93750E-01  4.56192E-02
   17165.101     -4.643   0.050  7.78720E-01  6.95803E-01  4.68994E-02
   17165.130     -4.614   0.100  7.83014E-01  6.97856E-01  4.81810E-02
   17165.177     -4.567   0.150  7.95973E-01  7.04112E-01  5.20223E-02
   17165.244     -4.500   0.200  8.08936E-01  7.10368E-01  5.58736E-02
   17165.330     -4.414   0.250  8.30528E-01  7.20827E-01  6.22946E-02
   17165.434     -4.309   0.300  8.52095E-01  7.31287E-01  6.87241E-02
   17165.558     -4.186   0.350  8.81985E-01  7.45808E-01  7.76874E-02
   17165.701     -4.043   0.400  9.11714E-01  7.60330E-01  8.66106E-02
   17165.863     -3.881   0.450  9.48981E-01  7.78556E-01  9.79144E-02
   17166.044     -3.700   0.500  9.85754E-01  7.96782E-01  1.09029E-01
   17166.244     -3.500   0.550  1.02854E+00  8.18032E-01  1.22156E-01
   17166.463     -3.281   0.600  1.07021E+00  8.39281E-01  1.34785E-01
   17166.701     -3.043   0.650  1.11546E+00  8.62505E-01  1.48749E-01
   17166.958     -2.785   0.700  1.15867E+00  8.85729E-01  1.61708E-01
   17167.235     -2.509   0.750  1.20220E+00  9.09575E-01  1.74972E-01
   17167.530     -2.214   0.800  1.24253E+00  9.33420E-01  1.86551E-01
   17167.844     -1.900   0.850  1.27955E+00  9.56433E-01  1.97127E-01
   17168.178     -1.566   0.900  1.31229E+00  9.79446E-01  2.05290E-01
   17168.530     -1.214   0.950  1.33839E+00  1.00032E+00  2.11096E-01
   17168.901     -0.842   1.000  1.35959E+00  1.02120E+00  2.13940E-01
   17169.292     -0.452   1.050  1.37200E+00  1.03898E+00  2.13419E-01
   17169.702     -0.042   1.100  1.37969E+00  1.05676E+00  2.09811E-01
   17170.130      0.386   1.150  1.37795E+00  1.07089E+00  2.02412E-01
   17170.578      0.834   1.200  1.37258E+00  1.08503E+00  1.92375E-01
   17171.045      1.301   1.250  1.35883E+00  1.09535E+00  1.78967E-01
   17171.530      1.787   1.300  1.34314E+00  1.10568E+00  1.63810E-01
   17172.035      2.291   1.350  1.32098E+00  1.11233E+00  1.46205E-01
   17172.559      2.815   1.400  1.29851E+00  1.11898E+00  1.27811E-01
   17173.102      3.358   1.450  1.27153E+00  1.12232E+00  1.07918E-01
   17173.664      3.920   1.500  1.24520E+00  1.12565E+00  8.78613E-02
   17174.245      4.501   1.550  1.21570E+00  1.12614E+00  6.68579E-02
   17174.845      5.101   1.600  1.18711E+00  1.12663E+00  4.58704E-02
   17175.464      5.720   1.650  1.15617E+00  1.12483E+00  2.41358E-02
   17176.102      6.359   1.700  1.12621E+00  1.12302E+00  2.49651E-03
   17176.759      7.016   1.750  1.09485E+00  1.11948E+00 -1.95424E-02
   17177.436      7.692   1.800  1.06510E+00  1.11593E+00 -4.09347E-02
   17178.131      8.387   1.850  1.03561E+00  1.11118E+00 -6.16986E-02
   17178.845      9.102   1.900  1.00910E+00  1.10642E+00 -8.05663E-02
   17179.579      9.835   1.950  9.84947E-01  1.10086E+00 -9.71744E-02
   17180.331     10.588   2.000  9.65159E-01  1.09529E+00 -1.10501E-01
   17181.103     11.359   2.050  9.49692E-01  1.08981E+00 -1.20233E-01
   17181.893     12.150   2.100  9.38876E-01  1.08433E+00 -1.26139E-01
   17182.703     12.959   2.150  9.31908E-01  1.07885E+00 -1.28799E-01
   17183.532     13.788   2.200  9.27674E-01  1.07337E+00 -1.29096E-01
   17184.379     14.636   2.250  9.27620E-01  1.07026E+00 -1.27254E-01
   17185.246     15.503   2.300  9.27699E-01  1.06714E+00 -1.25268E-01
   17186.132     16.388   2.350  9.27054E-01  1.06402E+00 -1.23908E-01
   17187.037     17.293   2.400  9.25676E-01  1.06091E+00 -1.23197E-01
   17187.961     18.217   2.450  9.25561E-01  1.05811E+00 -1.21696E-01
   17188.904     19.160   2.500  9.27343E-01  1.05532E+00 -1.18416E-01
   17189.866     20.122   2.550  9.32445E-01  1.05253E+00 -1.11987E-01
   17190.847     21.103   2.600  9.41727E-01  1.04973E+00 -1.01527E-01
   17191.847     22.103   2.650  9.51671E-01  1.04450E+00 -8.79996E-02
   17192.866     23.123   2.700  9.65179E-01  1.03928E+00 -7.08362E-02
   17193.904     24.161   2.750  9.81738E-01  1.03405E+00 -5.04375E-02
   17194.962     25.218   2.800  1.00045E+00  1.02882E+00 -2.75934E-02
   17196.038     26.294   2.850  1.02249E+00  1.02588E+00 -3.30851E-03
   17197.133     27.390   2.900  1.04456E+00  1.02293E+00  2.12581E-02
   17198.248     28.504   2.950  1.06529E+00  1.01998E+00  4.47624E-02
   17199.381     29.638   3.000  1.08344E+00  1.01703E+00  6.59573E-02
   17200.534     30.790   3.050  1.09911E+00  1.01474E+00  8.39944E-02
   17201.705     31.962   3.100  1.11051E+00  1.01246E+00  9.78470E-02
   17202.896     33.152   3.150  1.11734E+00  1.01018E+00  1.07201E-01
   17204.106     34.362   3.200  1.11974E+00  1.00790E+00  1.12154E-01
   17205.334     35.591   3.250  1.12057E+00  1.00746E+00  1.13484E-01
   17206.582     36.838   3.300  1.11797E+00  1.00703E+00  1.11378E-01
   17207.849     38.105   3.350  1.11274E+00  1.00660E+00  1.06615E-01
   17209.135     39.391   3.400  1.10559E+00  1.00617E+00  9.99268E-02
   17210.440     40.696   3.450  1.09788E+00  1.00636E+00  9.18817E-02
   17211.764     42.020   3.500  1.08907E+00  1.00656E+00  8.27617E-02
   17213.107     43.363   3.550  1.07924E+00  1.00675E+00  7.26284E-02
   17214.469     44.725   3.600  1.06823E+00  1.00694E+00  6.13360E-02
   17215.850     46.106   3.650  1.05661E+00  1.00809E+00  4.84768E-02
   17217.250     47.506   3.700  1.04322E+00  1.00923E+00  3.38916E-02
   17218.669     48.926   3.750  1.02803E+00  1.01037E+00  1.75687E-02
   17220.108     50.364   3.800  1.01132E+00  1.01151E+00 -1.92689E-04
   17221.565     51.821   3.850  9.93649E-01  1.01287E+00 -1.90465E-02
   17223.041     53.298   3.900  9.76039E-01  1.01422E+00 -3.77588E-02
   17224.537     54.793   3.950  9.59764E-01  1.01557E+00 -5.50724E-02
   17226.051     56.307   4.000  9.46161E-01  1.01693E+00 -6.96786E-02
   17227.585     57.841   4.050  9.36232E-01  1.01831E+00 -8.06301E-02
   17229.137     59.394   4.100  9.31156E-01  1.01969E+00 -8.67764E-02
   17230.709     60.965   4.150  9.31315E-01  1.02106E+00 -8.77741E-02
   17232.300     62.556   4.200  9.36521E-01  1.02244E+00 -8.38429E-02
   17233.909     64.166   4.250  9.45768E-01  1.02360E+00 -7.58182E-02
   17235.538     65.794   4.300  9.58217E-01  1.02476E+00 -6.47080E-02
   17237.186     67.442   4.350  9.72455E-01  1.02592E+00 -5.18982E-02
   17238.853     69.109   4.400  9.87064E-01  1.02707E+00 -3.87739E-02
   17240.539     70.795   4.450  1.00040E+00  1.02779E+00 -2.65051E-02
   17242.244     72.500   4.500  1.01201E+00  1.02850E+00 -1.59422E-02
   17243.968     74.224   4.550  1.02146E+00  1.02922E+00 -7.48204E-03
   17245.711     75.967   4.600  1.02879E+00  1.02993E+00 -1.09932E-03
   17247.473     77.729   4.650  1.03396E+00  1.03027E+00  3.55022E-03
   17249.254     79.510   4.700  1.03797E+00  1.03062E+00  7.07292E-03
   17251.054     81.310   4.750  1.04143E+00  1.03096E+00  1.00762E-02
   17252.873     83.130   4.800  1.04490E+00  1.03130E+00  1.30713E-02
   17254.712     84.968   4.850  1.04824E+00  1.03113E+00  1.64389E-02
   17256.569     86.825   4.900  1.05205E+00  1.03096E+00  2.02612E-02
   17258.446     88.702   4.950  1.05623E+00  1.03080E+00  2.44324E-02
   17260.341     90.597   5.000  1.06051E+00  1.03063E+00  2.87030E-02
   17262.255     92.512   5.050  1.06456E+00  1.03030E+00  3.29049E-02
   17264.189     94.445   5.100  1.06806E+00  1.02998E+00  3.65891E-02
   17266.142     96.398   5.150  1.07072E+00  1.02966E+00  3.94715E-02
   17268.113     98.370   5.200  1.07232E+00  1.02933E+00  4.13241E-02
   17270.104    100.360   5.250  1.07246E+00  1.02872E+00  4.20665E-02
   17272.114    102.370   5.300  1.07115E+00  1.02811E+00  4.14143E-02
